Brand,Model Name,Model Image,Technology,2G bands,3G bands,4G bands,Speed,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,OS,Chipset,CPU,GPU,Card slot,Internal,Triple,Features,Video,Single,Video_1,Loudspeaker,3.5mm jack,,WLAN,Bluetooth,GPS,Radio,USB,Sensors,_1,Colors,Price,Models,Dual,Features_1,Single_1,_1_1,5G,Build,Protection,NFC,Charging,Dual or Triple,Performance,Display,Camera,Loudspeaker_1,Audio quality,Battery life,GPRS,EDGE,Stand-by,SAR,SAR EU,Talk time,Infrared port,Phonebook,Call records,Messaging,Games,Java,Keyboard,Browser,Music play,Alert types,Languages,Clock,Alarm
lg,LG W30 Pro,https://fdn2.gsmarena.com/vv/bigpic/lg-w30-lmx440im.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 850 / 900 / 1900 / 2100,LTE (unspecified),"HSPA, LTE-A","2019, June","Coming soon. Exp. release 2019, August",157.7 x 75.9 x 8.3 mm (6.21 x 2.99 x 0.33 in),172.7 g (6.10 oz),"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.21 inches, 96.3 cm2 (~80.4% screen-to-body ratio)","720 x 1520 pixels, 19:9 ratio (~271 ppi density)",Android 9.0 (Pie),Qualcomm SDM632 Snapdragon 632 (14 nm),Octa-core (4x1.8 GHz Kryo 250 Gold & 4x1.8 GHz Kryo 250 Silver),Adreno 506,"microSD, up to 256 GB (uses shared SIM slot)","64 GB, 4 GB RAM","12 MP, PDAF 8 MP, (ultrawide) 5 MP, depth sensor","LED flash, panorama, HDR",1080p@30fps,16 MP,,Yes,Yes,Active noise cancellation with dedicated mic,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.2, A2DP, LE","Yes, with A-GPS, GLONASS",FM radio,microUSB 2.0,"Fingerprint (rear-mounted), accelerometer, proximity",Non-removable Li-Po 4000 mAh battery,"Pine Green, Denim Blue, Black",About 160 EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lg,LG W30,https://fdn2.gsmarena.com/vv/bigpic/lg-w30-lmx440im.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 850 / 900 / 1900 / 2100,LTE (unspecified),"HSPA, LTE-A","2019, June","Available. Released 2019, July",162.7 x 78.8 x 8.5 mm (6.41 x 3.10 x 0.33 in),172 g (6.07 oz),"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.26 inches, 97.8 cm2 (~76.3% screen-to-body ratio)","720 x 1520 pixels, 19:9 ratio (~269 ppi density)",Android 9.0 (Pie),Mediatek MT6762 Helio P22 (12 nm),Octa-core 2.0 GHz Cortex-A53,PowerVR GE8320,"microSD, up to 256 GB (uses shared SIM slot)","32 GB, 3 GB RAM","12 MP, PDAF 13 MP, (wide), AF 2 MP, depth sensor","LED flash, panorama, HDR",1080p@30fps,16 MP,,Yes,Yes,Active noise cancellation with dedicated mic,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.2, A2DP, LE","Yes, with A-GPS, GLONASS",FM radio,"microUSB 2.0, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, gyro, proximity",Non-removable Li-Po 4000 mAh battery,"Thunder Blue, Platinum Grey, Aurora Green",About 130 EUR,LMX440IM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lg,LG W10,https://fdn2.gsmarena.com/vv/bigpic/lg-w10-lmx130im.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 850 / 900 / 1900 / 2100,LTE (unspecified),"HSPA, LTE-A","2019, June","Available. Released 2019, July",156 x 76.2 x 8.5 mm (6.14 x 3.00 x 0.33 in),164 g (5.78 oz),"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.19 inches, 96.0 cm2 (~80.7% screen-to-body ratio)","720 x 1512 pixels, 19:9 ratio (~271 ppi density)",Android 9.0 (Pie),Mediatek MT6762 Helio P22 (12 nm),Octa-core 2.0 GHz Cortex-A53,PowerVR GE8320,"microSD, up to 256 GB (dedicated slot)","32 GB, 3 GB RAM",,"LED flash, panorama, HDR",1080p@30fps,8 MP,,Yes,Yes,Active noise cancellation with dedicated mic,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.2, A2DP, LE","Yes, with A-GPS, GLONASS",FM radio,"microUSB 2.0, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, gyro, proximity",Non-removable Li-Po 4000 mAh battery,"Tulip Purple, Smokey Grey",About 110 EUR,LMX130IM,"13 MP, PDAF 5 MP, depth sensor",LED flash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lg,LG Stylo 5,https://fdn2.gsmarena.com/vv/bigpic/lg-stylo-5.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 1700(AWS) / 1900,"LTE band 2(1900), 4(1700/2100), 5(850), 12(700), 14(700), 29(700), 30(2300), 66(1700/2100)","HSPA, LTE-A","2019, June","Available. Released 2019, June",160 x 77.7 x 8.4 mm (6.30 x 3.06 x 0.33 in),179 g (6.31 oz),Nano-SIM,"IPS LCD capacitive touchscreen, 16M colors","6.2 inches, 99.2 cm2 (~79.8% screen-to-body ratio)","1080 x 2160 pixels, 18:9 ratio (~390 ppi density)",Android 9.0 (Pie),Qualcomm SDM450 Snapdragon 450 (14 nm),Octa-core 1.8 GHz Cortex-A53,Adreno 506,"microSD, up to 1 TB (dedicated slot)","32 GB, 3 GB RAM",,"LED flash, panorama, HDR",1080p@30fps,"13 MP, PDAF",1080p@30fps,Yes,Yes,Stylus,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","4.2, A2DP, LE","Yes, with A-GPS",No,"2.0, Type-C 1.0 reversible connector","Fingerprint (rear-mounted), accelerometer, proximity",DTS: X Surround Sound Active noise cancellation with dedicated mic,"Blonde Rose, Platinum Gray",About 200 EUR,,,,5 MP,Non-removable Li-Ion 3500 mAh battery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lg,LG V50 ThinQ 5G,https://fdn2.gsmarena.com/vv/bigpic/lg-gv50-thinq-.jpg,GSM / CDMA / HSPA / EVDO / LTE / 5G,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM only),HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - USA,"LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 13(700), 17(700), 20(800), 25(1900), 26(850), 28(700), 40(2300), 41(2500), 46, 66(1700/2100), 71(600) - USA","HSPA 42.2/5.76 Mbps, LTE-A (6CA) Cat18 1200/75 Mbps; 5G (2+ Gbps DL)","2019, February","Available. Released 2019, May",159.2 x 76.1 x 8.3 mm (6.27 x 3.00 x 0.33 in),183 g (6.46 oz),"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","P-OLED capacitive touchscreen, 16M colors","6.4 inches, 100.2 cm2 (~82.7% screen-to-body ratio)","1440 x 3120 pixels, 19.5:9 ratio (~538 ppi density)",Android 9.0 (Pie); LG UX 8.0,Qualcomm SDM855 Snapdragon 855 (7 nm),Octa-core (1x2.84 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.79 GHz Kryo 485),Adreno 640,"microSD, up to 1 TB (dedicated slot)","128 GB, 6 GB RAM","12 MP, 27mm (standard), f/1.5, 1/2.6"", 1.4µm, dual pixel PDAF, 3-axis OIS 12 MP, 52mm (telephoto), f/2.4, 1/3.4"", 1.0µm, 2x optical zoom, PDAF, OIS 16 MP, 16mm (ultrawide), f/1.9, 1/3.1"", 1.0µm, no AF","LED flash, HDR, panorama","2160p@30/60fps, 1080p@30/60/240fps, 24-bit/192kHz stereo sound rec., HDR10 video, gyro-EIS",,1080p@60fps,"Yes, with stereo speakers",Yes,CDMA 800 / 1900,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA, hotspot","5.0, A2DP, LE, aptX HD","Yes, with A-GPS, GLONASS, GALILEO",No,"3.1, Type-C 1.0 reversible connector","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass, barometer",CDMA2000 1xEV-DO,New Aurora Black,About 950 EUR,"LM-V500, LM-V500N, LM-V500EM, LM-V500XM, LM-V450PM","8 MP, 26mm (standard), f/1.9, 1/4"", 1.12µm 5 MP, 21mm (wide), f/2.2, 1/5"", 1.12µm",HDR,,Non-removable Li-Po 4000 mAh battery,5G NSA / Sub6 / mmWave,"Front glass (Gorilla Glass 5), back glass (Gorilla Glass 6), aluminum frame",Corning Gorilla Glass 5,Yes,Fast battery charging 18W: 50% in 36 min (Quick Charge 3.0) USB Power Delivery 2.0 Qi fast wireless charging 10W,,,,,,,,,,,,,,,,,,,,,,,,,,
lg,LG G8S ThinQ,https://fdn2.gsmarena.com/vv/bigpic/lg-g8s-thinq.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 850 / 900 / 1700(AWS) / 1800 / 1900 / 2100,"LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 17(700), 20(800), 28(700), 32(1500), 38(2600), 39(1900), 40(2300), 41(2500)","HSPA 42.2/5.76 Mbps, LTE-A Cat19 1600/150 Mbps","2019, February","Available. Released 2019, June",155.3 x 76.6 x 8 mm (6.11 x 3.02 x 0.31 in),181 g (6.38 oz),"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)","G-OLED capacitive touchscreen, 16M colors","6.21 inches, 97.6 cm2 (~82.0% screen-to-body ratio)",1080 x 2248 pixels (~401 ppi density),Android 9.0 (Pie); LG UX 8.0,Qualcomm SDM855 Snapdragon 855 (7 nm),Octa-core (1x2.84 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.79 GHz Kryo 485),Adreno 640,"microSD, up to 1 TB (dedicated slot) - single-SIM modelmicroSD, up to 1 TB (uses shared SIM slot) - dual-SIM model","128 GB, 6 GB RAM or 64 GB, 6 GB RAM (Korea only)","12 MP, f/1.8, 27mm (standard), 1.4µm, PDAF, OIS 12 MP, f/2.6, 49mm (telephoto), 1.0µm, PDAF, 2x optical zoom 13 MP, f/2.4, 14mm (ultrawide), 1.0µm","LED flash, HDR, panorama","2160p@30/60fps, 1080p@30/60fps, 1080p@240fps, HDR, 24-bit/192kHz stereo sound rec.",,1080p@60fps,"Yes, with stereo speakers",Yes,IP68 dust/water proof (up to 1.5m for 30 mins),"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA, hotspot","5.0, A2DP, LE, aptX HD","Yes, with A-GPS, GLONASS, GALILEO, BDS",FM radio,"3.1, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass, barometer",DCI-P3 100% HDR10 Dolby Vision Always-on display,"Mirror Black, Mirror Teal, Mirror White, Carmine Red, New Aurora Black, New Moroccan Blue",About 770 EUR,"LMG810, LM-G810","8 MP, f/1.9, 26mm (wide), 1.12µm, AF TOF 3D camera, f/1.4",HDR,,Non-removable Li-Po 3550 mAh battery,,"Front glass (Gorilla Glass 5), back glass (Gorilla Glass 6), aluminum frame",Corning Gorilla Glass 5,Yes,Fast battery charging 18W (Quick Charge 3.0) Wireless charging,,,,,,,,,,,,,,,,,,,,,,,,,,
lg,LG G8 ThinQ,https://fdn2.gsmarena.com/vv/bigpic/lg-g8-thinq-r1.jpg,GSM / CDMA / HSPA / EVDO / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 850 / 900 / 1900 / 2100,"LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 13(700), 14(700), 17(700), 20(800), 25(1900), 26(850), 28(700), 29(700), 30(2300), 38(2600), 39(1900), 40(2300), 41(2500), 46, 48, 66(1700/2100), 71(600) - USA","HSPA 42.2/5.76 Mbps, LTE-A Cat19 1600/150 Mbps","2019, February","Available. Released 2019, April",151.9 x 71.8 x 8.4 mm (5.98 x 2.83 x 0.33 in),167 g (5.89 oz),"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)","P-OLED capacitive touchscreen, 16M colors","6.1 inches, 91.0 cm2 (~83.5% screen-to-body ratio)","1440 x 3120 pixels, 19.5:9 ratio (~564 ppi density)",Android 9.0 (Pie); LG UX 8.0,Qualcomm SDM855 Snapdragon 855 (7 nm),Octa-core (1x2.84 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.79 GHz Kryo 485),Adreno 640,"microSD, up to 1 TB (dedicated slot) - single-SIM modelmicroSD, up to 1 TB (uses shared SIM slot) - dual-SIM model","128 GB, 6 GB RAM",,"LED flash, HDR, panorama","2160p@30/60fps, 1080p@30/60fps, 720p@240fps, HDR10, 24-bit/192kHz stereo sound rec.",,1080p@60fps,Yes,Yes,"CDMA 800 / 1900 - Sprint, Verison","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA, hotspot","5.0, A2DP, LE, aptX HD","Yes, with A-GPS, GLONASS, GALILEO, BDS",FM radio,"3.1, Type-C 1.0 reversible connector, USB On-The-Go","Face ID, Hand ID, fingerprint (rear-mounted), accelerometer, gyro, proximity, compass, barometer","HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - USA, Sprint","Platinum Gray, New Aurora Black, New Moroccan Blue, Carmine Red",About 620 EUR,"LMG820QM7, LM-G820UMB, LMG820UM0, LMG820UM1, LMG820UM2, LM-G820N, LM-G820","8 MP, f/1.7, 26mm (wide), 1/3.6"", 1.22µm, AF  TOF 3D camera, f/1.4",HDR,,Non-removable Li-Po 3500 mAh battery,,"Front glass (Gorilla Glass 5), back glass (Gorilla Glass 6), aluminum frame",Corning Gorilla Glass 5,Yes,Fast battery charging 21W (Quick Charge 3.0) USB Power Delivery Wireless charging 9W,"12 MP, f/1.5, 27mm (standard), 1/2.6"", 1.4µm, Dual pixel PDAF, OIS 16 MP, f/1.9, 16mm (ultrawide), 1/3.1"", 1.0µm, no AF or 12 MP, f/1.5, 27mm (standard), 1/2.6"", 1.4µm, dual pixel PDAF, OIS 16 MP, f/1.9, 16mm (ultrawide), 1/3.1"", 1.0µm, no AF 12 MP, 52mm (telephoto), f/2.4, 1.0µm, 2x optical zoom, dual pixel PDAF, OIS",Basemark OS II: 5342 / Basemark OS II 2.0: 4735Basemark X: 44602,Contrast ratio: infinite,Photo / Video,Voice 68dB / Noise 74dB / Ring 92dB,Noise -94.1dB / Crosstalk -87.6dB,Endurance rating 79h,,,,,,,,,,,,,,,,,,,
lg,LG Q60,https://fdn2.gsmarena.com/vv/bigpic/lg-q60-.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 850 / 900 / 1900 / 2100,"LTE band 1(2100), 3(1800), 7(2600), 8(900), 20(800), 38(2600)","HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/75 Mbps","2019, February","Available. Released 2019, May",161.3 x 77 x 8.7 mm (6.35 x 3.03 x 0.34 in),172 g (6.07 oz),"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.26 inches, 97.8 cm2 (~78.8% screen-to-body ratio)","720 x 1520 pixels, 19:9 ratio (~269 ppi density)",Android 9.0 (Pie); LG UX 7,Mediatek MT6762 Helio P22 (12 nm),Octa-core 2.0 GHz Cortex-A53,PowerVR GE8320,"microSD, up to 1 TB (dedicated slot)","64 GB, 3 GB RAM","16 MP, f/2.0, 26mm (wide), PDAF 5 MP, f/2.2, 13mm (ultrawide) 2 MP, f/2.4, depth sensor","LED flash, panorama, HDR",1080p@30fps,13 MP,1080p@30fps,Yes,Yes,MIL-STD-810G compliant,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS",No,microUSB 2.0,"Fingerprint (rear-mounted), accelerometer, proximity, compass",DTS: X Surround Sound Active noise cancellation with dedicated mic,"New Moroccan Blue, Aurora Black",About 230 EUR,"LMX525EAW, LMX525BAW",,,,Non-removable Li-Ion 3500 mAh battery,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
lg,LG K50,https://fdn2.gsmarena.com/vv/bigpic/lg-k50-.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 850 / 900 / 1900 / 2100,LTE (unspecified),"HSPA, LTE-A","2019, February","Coming soon. Exp. release 2019, August",161.3 x 77 x 8.7 mm (6.35 x 3.03 x 0.34 in),-,"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.26 inches, 97.8 cm2 (~78.8% screen-to-body ratio)","720 x 1520 pixels, 19:9 ratio (~269 ppi density)",Android 9.0 (Pie),,Octa-core 2.0 GHz,,"microSD, up to 1 TB","32 GB, 3 GB RAM",,"LED flash, panorama, HDR",1080p@30fps,13 MP,,Yes,Yes,MIL-STD-810G compliant,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.2, A2DP, LE","Yes, with A-GPS, GLONASS",No,microUSB 2.0,"Fingerprint (rear-mounted), accelerometer, proximity",DTS: X Surround Sound Active noise cancellation with dedicated mic,Gray,,,"13 MP, PDAF 2 MP, depth sensor",,,Non-removable Li-Ion 3500 mAh battery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lg,LG K40,https://fdn2.gsmarena.com/vv/bigpic/lg-k40-.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 850 / 900 / 1900 / 2100,"LTE band 1(2100), 3(1800), 7(2600), 8(900), 20(800)","HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps","2019, February","Available. Released 2019, April",153 x 71.9 x 8.3 mm (6.02 x 2.83 x 0.33 in),144 g (5.08 oz),"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.7 inches, 83.8 cm2 (~76.2% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~282 ppi density)",Android 8.1 (Oreo); LG UX 7,Mediatek MT6762 Helio P22 (12 nm),Octa-core 2.0 GHz Cortex-A53,PowerVR GE8320,"microSD, up to 1 TB (dedicated slot)","32 GB, 2/3 GB RAM",,"LED flash, panorama, HDR",1080p@30fps,"16 MP, f/2.0, 1/3"", 1.0µm, PDAF",1080p@30fps,Yes,Yes,MIL-STD-810G compliant,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS",No,"microUSB 2.0, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, proximity, compass",DTS: X Surround Sound Active noise cancellation with dedicated mic,"Black, New Moroccan Blue, New Platinum Gray",About 140 EUR,"LMX420, LMX420EMW, LM-X420",,LED flash,"8 MP, f/2.0",Non-removable Li-Ion 3000 mAh battery,,"Front glass, plastic body",,Yes (market/region dependent),,,,,,,,,,,,,,,,,,,,,,,,,,,
lg,LG Q9,https://fdn2.gsmarena.com/vv/bigpic/lg-q9-.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 850 / 900 / 1900 / 2100,LTE (unspecified),"HSPA 42.2/5.76 Mbps, LTE-A","2019, January","Available. Released 2019, July",153.2 x 71.9 x 7.9 mm (6.03 x 2.83 x 0.31 in),159 g (5.61 oz),"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.1 inches, 91.0 cm2 (~82.6% screen-to-body ratio)","1440 x 3120 pixels, 19.5:9 ratio (~564 ppi density)",Android 8.1 (Oreo),Qualcomm MSM8996 Snapdragon 821 (14 nm),Quad-core (2x2.15 GHz Kryo & 2x1.6 GHz Kryo),Adreno 530,"microSD, up to 1 TB","64 GB, 4 GB RAM",,"LED flash, HDR, panorama",2160p@30fps,"16 MP, f/2.2, 28mm (wide), PDAF",1080p@30fps,Yes,Yes,IP68 dust/water proof (up to 1.5m for 30 mins) MIL-STD-810G compliant,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS, BDS",FM radio,"3.1, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Always-on display HDR10,"Carmine Red, New Aurora Black, New Moroccan Blue",About 400 EUR,,,HDR,"8 MP, f/1.9, 26mm (wide)",Non-removable Li-Ion 3000 mAh battery,,,,Yes,Fast battery charging 18W (Quick Charge 3.0),,,,,,,,,,,,,,,,,,,,,,,,,,
lg,LG V40 ThinQ,https://fdn2.gsmarena.com/vv/bigpic/lg-v40-carmine-red.jpg,GSM / CDMA / HSPA / EVDO / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM only),HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - V405QA7,"LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 13(700), 14(700), 17(700), 20(800), 25(1900), 26(850), 28(700), 29(700), 30(2300), 38(2600), 39(1900), 40(2300), 41(2500), 46, 66(1700/2100), 71(600) - V405QA7","HSPA 42.2/5.76 Mbps, LTE-A (4CA) Cat16 1024/150 Mbps","2018, October","Available. Released 2018, October",158.8 x 75.7 x 7.6 mm (6.25 x 2.98 x 0.30 in),169 g (5.96 oz),"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","P-OLED capacitive touchscreen, 16M colors","6.4 inches, 100.5 cm2 (~83.6% screen-to-body ratio)","1440 x 3120 pixels, 19.5:9 ratio (~537 ppi density)","Android 8.1 (Oreo), upgradable to Android 9.0 (Pie)",Qualcomm SDM845 Snapdragon 845 (10 nm),Octa-core (4x2.7 GHz Kryo 385 Gold & 4x1.7 GHz Kryo 385 Silver),Adreno 630,"microSD, up to 1 TB (dedicated slot)","64/128 GB, 6 GB RAM","12 MP, 27mm (standard), f/1.5, 1/2.6"", 1.4µm, dual pixel PDAF, 3-axis OIS 12 MP, 52mm (telephoto), f/2.4, 1.0µm, 2x optical zoom, PDAF, OIS 16 MP, 16mm (ultrawide), f/1.9, 1/3.1"", 1.0µm, no AF","LED flash, HDR, panorama","2160p@30/60fps, 1080p@30/60/240fps, 24-bit/192kHz stereo sound rec., HDR video, gyro-EIS",,1080p@30fps,Yes,Yes,CDMA 800 / 1900 - V405QA7,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA, hotspot","5.0, A2DP, LE, aptX HD","Yes, with A-GPS, GLONASS, GALILEO",Stereo FM radio with RDS,"2.0, Type-C 1.0 reversible connector","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass, barometer",CDMA2000 1xEV-DO - V405QA7,"New Platinum Gray, Carmine Red, New Aurora Black, New Moroccan Blue",About 540 EUR,"V405, LM-V405, LM-V409N","8 MP, 26mm (standard), f/1.9, 1.4µm 5 MP, 21mm (wide), f/2.2, 1.4µm",HDR,,Non-removable Li-Po 3300 mAh battery,,"Front/back glass (Gorilla Glass 5), aluminum frame",Corning Gorilla Glass 5,Yes,Fast battery charging 18W: 50% in 36 min (Quick Charge 3.0) USB Power Delivery 2.0 Qi fast wireless charging 10W,,Basemark OS II 2.0: 4003 / Basemark X: 44260,"Contrast ratio: 161500:1 (nominal), 4.256 (sunlight)",Photo / Video,Voice 68dB / Noise 74dB / Ring 77dB,Noise -93.3dB / Crosstalk -94.1dB,Endurance rating 64h,,,,,,,,,,,,,,,,,,,
lg,LG Watch W7,https://fdn2.gsmarena.com/vv/bigpic/lg-watch-w7-.jpg,No cellular connectivity,N/A,,,,"2018, October","Available. Released 2018, October",45.5 x 44.5 x 13 mm (1.79 x 1.75 x 0.51 in),79 g (2.79 oz),No,"P-OLED capacitive touchscreen, 16M colors","1.2 inches, 9.3 cm2 (~45.8% screen-to-body ratio)","360 x 360 pixels, 1:1 ratio (~300 ppi density)",Android Wear OS 2.0,Qualcomm MSM8909W Snapdragon Wear 2100,Quad-core 1.3 GHz Cortex-A7,Adreno 304,No,"4 GB, 768 MB RAM",,,,,,No,No,IP68 dust/water resistant (up to 1.5m for 30 mins) Compatible with standard 22mm straps,Wi-Fi 802.11 b/g/n,"4.2, A2DP, LE",Yes,No,No,"Accelerometer, gyro, proximity, compass, barometer, altimeter",Standard watch mechanism and hands,Silver,About 260 EUR,,,,,Non-removable Li-Ion 240 mAh battery,,,,,,,,,,,,,No,No,Up to 48 h (mixed usage),,,,,,,,,,,,,,,,
lg,LG Tribute Empire,https://fdn2.gsmarena.com/vv/bigpic/lg-tribute-empire.jpg,GSM / CDMA / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 1700(AWS) / 1900 / 2100,"LTE band 2(1900), 4(1700/2100), 5(850), 12(700), 13(700), 25(1900), 26(850), 41(2500)","HSPA 42.2/5.76 Mbps, LTE-A (2CA), EV-DO Rev.A 3.1 Mbps","2019, January","Available. Released 2019, January",144.8 x 71.8 x 8.1 mm (5.70 x 2.83 x 0.32 in),140.1 g (4.94 oz),Nano-SIM,"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~66.3% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Android 8.1 (Oreo),Mediatek MT6750 (28 nm),Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),Mali-T860MP2,"microSD, up to 32 GB","16 GB, 2 GB RAM",,"LED flash, HDR",1080p@30fps,"8 MP, AF",,Yes,Yes,CDMA 800 / 1900,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.2, A2DP, LE","Yes, with A-GPS",No,microUSB 2.0,"Accelerometer, proximity",Removable Li-Ion 2500 mAh battery,White,About 70 EUR,,,,5 MP,,,Plastic body,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
