Brand,Model Name,Model Image,Technology,2G bands,3G bands,4G bands,Speed,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,OS,Card slot,Internal,Single,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,,WLAN,Bluetooth,GPS,Radio,USB,Sensors,_1,Colors,Protection,Chipset,CPU,GPU,Dual,Features,Features_1,NFC,Models,_1_1,Price,Infrared port,Charging,Stand-by,Talk time,GPRS,EDGE,Build,Music play,Phonebook,Call records,Messaging,Games,Java,SAR EU,Display,Camera,Loudspeaker_1,Audio quality,Battery life,SAR,Keyboard,Browser,Alert types,Clock,Alarm,Languages,Dual_1,Performance,Triple,5G,Quad
b'i_mobile',b'i-mobile i858',b'https://cdn2.gsmarena.com/vv/bigpic/i858.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 2100',,b'HSPA',b'2010. Released 2010',b'Discontinued',b'120 x 67 x 12.8 mm (4.72 x 2.64 x 0.50 in)',b'-',b'Mini-SIM',"b'TFT capacitive touchscreen, 256K colors'","b'4.3 inches, 52.6 cm2 (~65.5% screen-to-body ratio)'","b'480 x 800 pixels, 5:3 ratio (~217 ppi density)'",b'Android 2.0 (Donut)',"b'microSD, up to 16 GB (dedicated slot)'",,"b'5 MP, AF'",b'Yes',,,b'Yes',b'No',b'3D Widget UI',b'Wi-Fi 802.11 b/g',"b'2.0, A2DP'","b'Yes, with A-GPS'",b'Stereo FM radio',b'Proprietary',b'Accelerometer',b'No',"b'Black, White'",,,,,,,,,,b'Removable Li-Ion 1500 mAh battery',,,,b'Up to 250 h',b'Up to 4 h 30 min',,,,,,,,,,,,,,,,,,b'WAP 2.0/xHTML',,,,,,,,,
b'i_mobile',b'i-mobile 8500',b'https://cdn2.gsmarena.com/vv/bigpic/8500.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 2100',,b'HSPA',b'2010. Released 2010',b'Discontinued',b'112 x 56.5 x 14.9 mm (4.41 x 2.22 x 0.59 in)',b'-',b'Mini-SIM',"b'TFT capacitive touchscreen, 256K colors'","b'3.2 inches, 30.5 cm2 (~48.2% screen-to-body ratio)'","b'320 x 480 pixels, 3:2 ratio (~180 ppi density)'",b'Android OS',"b'microSD, up to 16 GB (dedicated slot)'","b'256 MB, 128 MB RAM'",b'5 MP',b'Yes',,,b'Yes',b'Yes',b'Trackball',b'Wi-Fi 802.11 b/g',"b'2.0, A2DP'","b'Yes, with A-GPS'",b'Stereo FM radio',b'Proprietary',b'Accelerometer',b'No',b'Silver',,,,,,,,,,b'Removable Li-Ion 1500 mAh battery',,,,b'Up to 250 h',b'Up to 8 h',,,,,,,,,,,,,,,,,,b'WAP 2.0/xHTML',,,,,,,,,
b'i_mobile',b'i-mobile 5230',b'https://cdn2.gsmarena.com/vv/bigpic/5230.jpg',b'GSM',b'GSM 900 / 1800 / 1900 - SIM 1',,,,b'2010. Released 2010',b'Discontinued',b'116 x 58 x 14.4 mm (4.57 x 2.28 x 0.57 in)',b'-',b'Dual SIM (Mini-SIM)',"b'TFT resistive touchscreen, 256K colors'","b'2.8 inches, 24.3 cm2 (~36.1% screen-to-body ratio)'","b'240 x 320 pixels, 4:3 ratio (~143 ppi density)'",,b'microSD (dedicated slot)',b'48 MB',"b'5 MP, AF'",b'176x144@15fps',,,b'Yes',b'Yes',b'GSM 900 / 1800 / 1900 - SIM 2',b'No',"b'2.0, A2DP'",b'No',b'Stereo FM radio',b'miniUSB 2.0',b'Accelerometer',b'No',b'Silver',,,,,,b'LED flash',,,,b'Removable Li-Ion 1200 mAh battery',,,,b'Up to 400 h',b'Up to 7 h 30 min',b'Class 12',b'Class 12',,,"b'1000 entries, Photocall'",b'Yes',"b'SMS, MMS'",b'Yes',"b'Yes, MIDP 2.0'",,,,,,,,b'QWERTY',"b'WAP 2.0/xHTML, HTML'",,,,,,,,,
b'i_mobile',b'i-mobile Hitz 2206',b'https://cdn2.gsmarena.com/vv/bigpic/imobile-hitz-2206.jpg',b'GSM',b'GSM 900 / 1800 - SIM 1',,,,b'2010. Released 2010',b'Discontinued',b'110 x 59.4 x 13.4 mm (4.33 x 2.34 x 0.53 in)',b'-',b'Dual SIM (Mini-SIM)',"b'TFT, 65K colors'",b'',b'220 x 176 pixels',,b'microSD (dedicated slot)',,b'Yes',b'No',,,b'Yes',b'No',b'GSM 900 / 1800 - SIM 2',b'No',b'No',b'No',b'Stereo FM radio',b'No',b'',b'Flashlight',b'Silver',,,,,,,,,,b'Removable Li-Ion 1000 mAh battery',,,,b'Up to 667 h',b'Up to 4 h',b'Class 10',b'No',,,"b'Yes, Photocall'",b'Yes',"b'SMS, MMS'",b'Yes',b'No',,,,,,,,b'QWERTY',b'No',,,,,,,,,
b'i_mobile',b'i-mobile 5220',b'https://cdn2.gsmarena.com/vv/bigpic/5220.jpg',b'GSM',b'GSM 900 / 1800 / 1900',,,,b'2010. Released 2010',b'Discontinued',b'116.5 x 52.5 x 13 mm (4.59 x 2.07 x 0.51 in)',b'-',b'Mini-SIM',"b'TFT, 256K colors'","b'2.4 inches, 17.8 cm2 (~29.2% screen-to-body ratio)'","b'240 x 320 pixels, 4:3 ratio (~167 ppi density)'",,b'microSD (dedicated slot)',,"b'5 MP, AF'",b'Yes',,,b'Yes',b'No',b'No',b'No',"b'2.0, A2DP'",b'No',b'Stereo FM radio',b'miniUSB',b'',b'TV tuner/recorder MP3/AAC player H.263 player Organizer Voice memo Predictive text input',"b'Black, White, Red'",,,,,,b'LED flash',,,,b'Removable Li-Ion 1100 mAh battery',,,,b'Up to 420 h',b'Up to 8 h',b'Class 10',b'Class 10',,,"b'1000 entries, Photocall'",b'Yes',"b'SMS, MMS, EMS'",b'Yes',"b'Yes, MIDP 2.1'",,,,,,,,,b'WAP 2.0/xHTML',,,,,,,,,
b'i_mobile',b'i-mobile TV658 Touch&Move;',b'https://cdn2.gsmarena.com/vv/bigpic/imobile-hitz658.jpg',b'GSM',b'GSM 900 / 1800 / 1900',,,,"b'2009, October. Released 2009, October'",b'Discontinued',b'111 x 56 x 13 mm (4.37 x 2.20 x 0.51 in)',b'',b'Dual SIM (Mini-SIM)',"b'TFT touchscreen, 256K colors'","b'3.0 inches, 25.6 cm2 (~41.2% screen-to-body ratio)'","b'240 x 400 pixels, 5:3 ratio (~155 ppi density)'",,b'microSD (dedicated slot)',,"b'8 MP, AF'",b'Yes',,,b'Yes',b'No',b'No',b'No',"b'1.2, A2DP'",b'No',"b'FM radio, built-in antenna'",b'miniUSB',b'Accelerometer',b'TV tuner MP3 player MP4/3GP player Organizer Voice memo Predictive text input',b'Black',,,,,,b'flash',,,,b'Removable Li-Ion 1050 mAh battery',,,,b'Up to 300 h',b'Up to 4 h',b'Class 10',b'Class 10',,,"b'1000 entries, Photocall'",b'Yes',"b'SMS, MMS, Email, Push Email'",b'Yes',b'Yes',,,,,,,,,b'WAP 2.0/xHTML',,,,,,,,,
b'i_mobile',b'i-mobile Hitz 212',b'https://cdn2.gsmarena.com/vv/bigpic/imobile-hitz212.jpg',b'GSM',b'GSM 900 / 1800',,,,"b'2009, October. Released 2009, October'",b'Discontinued',b'105 x 46 x 13.3 mm (4.13 x 1.81 x 0.52 in)',b'80 g (2.82 oz)',b'Dual SIM (Mini-SIM)',"b'TFT, 65K colors'","b'1.77 inches, 9.9 cm2 (~20.4% screen-to-body ratio)'",b'128 x 160 pixels (~116 ppi density)',,"b'microSD, up to 1 GB (dedicated slot)'",,b'CIF',b'No',,,b'Yes',b'No',b'No',b'No',b'Yes',b'No',b'FM radio',b'Proprietary',b'',b'MP3 player Organizer Voice memo Predictive text input',"b'Black-Green, Silver-Blue, Silver-Orange, Pink'",,,,,,,,,,b'Removable Li-Ion 750 mAh battery',,,,b'Up to 240 h',b'Up to 3 h',b'No',b'No',,,"b'300 entries, Photocall'",b'Yes',"b'SMS, EMS'",b'Yes',b'',,,,,,,,,b'WAP 2.0/xHTML',,,,,,,,,
b'i_mobile',b'i-mobile Hitz 210',b'https://cdn2.gsmarena.com/vv/bigpic/imobile-hitz210.jpg',b'GSM',b'GSM 900 / 1800 / 1900',,,,"b'2009, October. Released 2009, October'",b'Discontinued',b'112 x 49 x 12.8 mm (4.41 x 1.93 x 0.50 in)',b'',b'Dual SIM (Mini-SIM)',"b'TFT, 65K colors'","b'1.8 inches, 10.2 cm2 (~18.6% screen-to-body ratio)'",b'128 x 160 pixels (~114 ppi density)',,"b'microSD, up to 1 GB (dedicated slot)'",,b'CIF',b'No',,,b'Yes',b'No',b'No',b'No',b'No',b'No',b'FM radio',b'Proprietary',b'',b'MP3 player Organizer Predictive text input',b'Black',,,,,,,,,,b'Removable Li-Ion 700 mAh battery',,,,b'Up to 150 h',b'Up to 2 h 30 min',b'No',b'No',,,"b'300 entries, Photocall'",b'Yes',"b'SMS, EMS, MMS'",b'Yes',b'',,,,,,,,,b'WAP 2.0/xHTML',,,,,,,,,
b'i_mobile',b'i-mobile TV650 Touch',b'https://cdn2.gsmarena.com/vv/bigpic/i-mobile-tv650-touch.jpg',b'GSM',b'GSM 900 / 1800 / 1900',,,,"b'2009, July. Released 2009, Q4'",b'Discontinued',b'110 x 55 x 13.4 mm (4.33 x 2.17 x 0.53 in)',b'',b'Dual SIM (Mini-SIM)',"b'TFT touchscreen, 256K colors'","b'3.0 inches, 27.9 cm2 (~46.1% screen-to-body ratio)'","b'240 x 320 pixels, 4:3 ratio (~133 ppi density)'",,"b'microSD, up to 8 GB (dedicated slot)'",,b'3.15 MP',b'Yes',,,b'Yes',b'No',b'No',b'No',"b'1.2, A2DP'",b'No',b'FM radio',b'miniUSB',b'Accelerometer',b'TV tuner MP3 player MP4/3GP player Organizer Predictive text input',b'Black',,,,,,,,,,b'Removable Li-Ion 1000 mAh battery',,,,b'Up to 200 h',b'Up to 2 h 30 min',b'Class 10',b'Class 10',,,"b'1000 entries, Photocall'",b'Yes',"b'SMS(threaded view), EMS, MMS'",b'Yes',b'Yes',,,,,,,,,b'WAP 2.0/xHTML',,,,,,,,,
b'i_mobile',b'i-mobile TV550 Touch',b'https://cdn2.gsmarena.com/vv/bigpic/i-mobile-tv550-touch.jpg',b'GSM',b'GSM 900 / 1800 / 1900',,,,"b'2009, July. Released 2009, Q4'",b'Discontinued',b'108 x 52 x 14 mm (4.25 x 2.05 x 0.55 in)',b'',b'Dual SIM (Mini-SIM)',"b'TFT touchscreen, 256K colors'","b'2.8 inches, 24.3 cm2 (~43.2% screen-to-body ratio)'","b'240 x 320 pixels, 4:3 ratio (~143 ppi density)'",,"b'microSD, up to 8 GB (dedicated slot)'",,b'VGA',b'Yes',,,b'Yes',b'No',b'No',b'No',"b'1.2, A2DP'",b'No',b'FM radio',b'miniUSB',b'Accelerometer',b'TV tuner MP3 player MP4/3GP player Organizer Predictive text input',b'Black',,,,,,,,,,b'Removable Li-Ion 1000 mAh battery',,,,b'Up to 200 h',b'Up to 2 h 30 min',b'Class 10',b'Class 10',,,"b'1000 entries, Photocall'",b'Yes',"b'SMS(threaded view), EMS, MMS'",b'Yes',b'Yes',,,,,,,,,b'WAP 2.0/xHTML',,,,,,,,,
b'i_mobile',b'i-mobile TV 630',b'https://cdn2.gsmarena.com/vv/bigpic/i-mobile-630.jpg',b'GSM',b'GSM 900 / 1800 / 1900',,,,"b'2009, July. Released 2009, Q4'",b'Discontinued',b'115 x 52.5 x 13 mm (4.53 x 2.07 x 0.51 in)',b'102 g (3.60 oz)',b'Dual SIM (Mini-SIM)',"b'TFT, 256K colors'","b'2.4 inches, 17.8 cm2 (~29.5% screen-to-body ratio)'","b'240 x 320 pixels, 4:3 ratio (~167 ppi density)'",,"b'microSD, up to 8 GB (dedicated slot)'",,"b'8 MP, AF'",b'480p',,,b'Yes',b'No',b'No',b'No',b'Yes',b'No',b'FM radio',b'miniUSB',b'',b'TV tuner/recorder MP3 player MP4/3GP player Organizer Predictive text input',b'Black',,,,,,,,,,b'Removable Li-Ion 1100 mAh battery',,,,b'Up to 420 h',b'Up to 8 h',b'Class 10',b'Class 10',,,"b'1000 entries, Photocall'",b'Yes',"b'SMS(threaded view), EMS, MMS'",b'Yes',b'Yes',,,,,,,,,b'WAP 2.0/xHTML',,,,,,,,,
b'i_mobile',b'i-mobile TV 628',b'https://cdn2.gsmarena.com/vv/bigpic/i-mobile-628.jpg',b'GSM',b'GSM 900 / 1800 / 1900',,,,"b'2009, July. Released 2009, Q4'",b'Discontinued',b'113 x 51 x 17 mm (4.45 x 2.01 x 0.67 in)',b'109.5 g (3.84 oz)',b'Dual SIM (Mini-SIM)',"b'TFT, 256K colors'","b'2.4 inches, 17.8 cm2 (~31.0% screen-to-body ratio)'","b'240 x 320 pixels, 4:3 ratio (~167 ppi density)'",,"b'microSD, up to 8 GB (dedicated slot)'",b'10 MB',b'3.15 MP',b'Yes',,,b'Yes',b'No',b'No',b'No',b'Yes',b'No',b'FM radio',b'miniUSB',b'',b'TV tuner MP3 player MP4/3GP player Organizer Predictive text input',b'Black',,,,,,,,,,b'Removable Li-Ion 950 mAh battery',,,,b'Up to 380 h',b'Up to 7 h',b'Class 12',b'No',,,"b'1000 entries, Photocall'",b'Yes',"b'SMS(threaded view), EMS, MMS'",b'Yes',b'Yes',,,,,,,,,b'WAP 2.0/xHTML',,,,,,,,,
