Brand,Model Name,Model Image,Technology,2G bands,3G bands,4G bands,Speed,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,OS,Card slot,Internal,Single,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,,WLAN,Bluetooth,GPS,Radio,USB,Sensors,_1,Colors,Protection,Chipset,CPU,GPU,Dual,Features,Features_1,NFC,Models,_1_1,Price,Infrared port,Charging,Stand-by,Talk time,GPRS,EDGE,Build,Music play,Phonebook,Call records,Messaging,Games,Java,SAR EU,Display,Camera,Loudspeaker_1,Audio quality,Battery life,SAR,Keyboard,Browser,Alert types,Clock,Alarm,Languages,Dual_1,Performance,Triple,5G,Quad
b'huawei',b'Huawei MediaPad M6 10.8',b'https://cdn2.gsmarena.com/vv/bigpic/huawei-mediapad-m6-108.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 850 / 900 / 1900 / 2100',b'LTE (unspecified)',"b'HSPA 42.2/5.76 Mbps, LTE-A (3CA) Cat12 600/75 Mbps'","b'2019, June'","b'Available. Released 2019, July 10'",b'257 x 170 x 7.2 mm (10.12 x 6.69 x 0.28 in)',b'498 g (1.10 lb)',b'Nano-SIM',"b'IPS LCD capacitive touchscreen, 16M colors'","b'10.8 inches, 338.2 cm2 (~77.4% screen-to-body ratio)'","b'2560 x 1600 pixels, 16:10 ratio (~280 ppi density)'",b'Android 9.0 (Pie); EMUI 9.1',"b'microSD, up to 512 GB'","b'64/128 GB, 4 GB RAM'","b'13 MP, PDAF'",b'1080p@30fps',b'8 MP',b'',"b'Yes, with stereo speakers'",b'Yes',b'Stylus support',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS'",b'No',"b'2.0, Type-C 1.0 reversible connector, magnetic connector'","b'Fingerprint (front-mounted), accelerometer, gyro, proximity, compass'",b'- Harman Kardon sound',b'Champagne Gold',,b'HiSilicon Kirin 980 (7 nm)',b'Octa-core (2x2.6 GHz Cortex-A76 & 2x1.92 GHz Cortex-A76 & 4x1.8 GHz Cortex-A55)',b'Mali-G76 MP10',,"b'LED flash, HDR, panorama'",,,,b'Non-removable Li-Po 7500 mAh battery',b'About 300 EUR',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'huawei',b'Huawei MediaPad M6 8.4',b'https://cdn2.gsmarena.com/vv/bigpic/huawei-mediapad-m6-84.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 850 / 900 / 1900 / 2100',b'LTE (unspecified)',"b'HSPA 42.2/5.76 Mbps, LTE-A (3CA) Cat12 600/75 Mbps'","b'2019, June'","b'Coming soon. Exp. release 2019, July 20'",b'206.4 x 125.2 x 7.4 mm (8.13 x 4.93 x 0.29 in)',b'320 g (11.29 oz)',b'Nano-SIM',"b'IPS LCD capacitive touchscreen, 16M colors'","b'8.4 inches, 204.6 cm2 (~79.2% screen-to-body ratio)'","b'2560 x 1600 pixels, 16:10 ratio (~359 ppi density)'",b'Android 9.0 (Pie); EMUI 9.1',"b'microSD, up to 512 GB'","b'64/128 GB, 4 GB RAM'","b'13 MP, PDAF'",b'1080p@30fps',b'8 MP',b'',"b'Yes, with stereo speakers'",b'No',b'- Harman Kardon sound',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS'",b'No',"b'2.0, Type-C 1.0 reversible connector'","b'Accelerometer, gyro, proximity, compass'",b'Non-removable Li-Po 6100 mAh battery',b'Champagne Gold',,b'HiSilicon Kirin 980 (7 nm)',b'Octa-core (2x2.6 GHz Cortex-A76 & 2x1.92 GHz Cortex-A76 & 4x1.8 GHz Cortex-A55)',b'Mali-G76 MP10',,"b'LED flash, HDR, panorama'",,,,,b'About 260 EUR',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'huawei',b'Huawei nova 5 Pro',b'https://cdn2.gsmarena.com/vv/bigpic/huawei-nova-5-pro-new.jpg',b'GSM / CDMA / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 800 / 850 / 900 / 1700(AWS) / 2100',"b'LTE band 1(2100), 3(1800), 4(1700/2100), 5(850), 8(900), 19(800), 34(2000), 38(2600), 39(1900), 40(2300), 41(2500)'","b'HSPA, LTE-A'","b'2019, June'","b'Available. Released 2019, June'",b'157.4 x 74.8 x 7.3 mm (6.20 x 2.94 x 0.29 in)',b'171 g (6.03 oz)',"b'Hybrid Dual SIM (Nano-SIM, dual stand-by)'","b'OLED capacitive touchscreen, 16M colors'","b'6.39 inches, 100.2 cm2 (~85.1% screen-to-body ratio)'","b'1080 x 2340 pixels, 19.5:9 ratio (~403 ppi density)'","b'Android 9.0 (Pie), EMUI 9.1'","b'NM (Nano Memory), up to 256GB (uses shared SIM slot)'","b'128/256 GB, 8 GB RAM'","b'32 MP, f/2.0'","b'2160p@30fps, 1080p@30fps'",,b'1080p@30fps',b'Yes',b'No',b'CDMA 800 & TD-SCDMA',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE, aptX HD'","b'Yes, with A-GPS, GLONASS, BDS'",b'No',"b'2.0, Type-C 1.0 reversible connector, USB On-The-Go'","b'Fingerprint (under display), accelerometer, gyro, proximity, compass'",b'DCI-P3 108%',"b'Black, Purple, Green, Orange'",,b'HiSilicon Kirin 980 (7 nm)',b'Octa-core (2x2.6 GHz Cortex-A76 & 2x1.92 GHz Cortex-A76 & 4x1.8 GHz Cortex-A55)',b'Mali-G76 MP10',,"b'LED flash, HDR, panorama'",b'HDR',b'Yes',"b'SEA-AL10, SEA-TL10'",b'Non-removable Li-Po 3500 mAh battery',b'About 390 EUR',,b'Fast battery charging 40W (85% in 30 min)',,,,,,,,,,,,,,,,,,,,,,,,,,,,,"b'48 MP, f/1.8, 26mm (wide), 1/2"", 0.8\xc2\xb5m, PDAF 16 MP, f/2.2, (wide) 2 MP, f/2.4, 27mm (wide) dedicated macro camera 2 MP, f/2.4, depth sensor'"
b'huawei',b'Huawei nova 5',b'https://cdn2.gsmarena.com/vv/bigpic/huawei-nova-5-.jpg',b'GSM / CDMA / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 800 / 850 / 900 / 1700(AWS) / 2100',"b'LTE band 1(2100), 3(1800), 4(1700/2100), 5(850), 8(900), 19(800), 34(2000), 38(2600), 39(1900), 40(2300), 41(2500)'","b'HSPA, LTE-A'","b'2019, June'","b'Available. Released 2019, June'",b'157.4 x 74.8 x 7.3 mm (6.20 x 2.94 x 0.29 in)',b'171 g (6.03 oz)',"b'Hybrid Dual SIM (Nano-SIM, dual stand-by)'","b'OLED capacitive touchscreen, 16M colors'","b'6.39 inches, 100.2 cm2 (~85.1% screen-to-body ratio)'","b'1080 x 2340 pixels, 19.5:9 ratio (~403 ppi density)'","b'Android 9.0 (Pie), EMUI 9.1'","b'NM (Nano Memory), up to 256GB (uses shared SIM slot)'","b'128 GB, 8 GB RAM'","b'32 MP, f/2.0'",b'1080p@30fps',,b'1080p@30fps',b'Yes',b'No',b'CDMA 800 & TD-SCDMA',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE, aptX HD'","b'Yes, with A-GPS, GLONASS, BDS'",b'No',"b'2.0, Type-C 1.0 reversible connector, USB On-The-Go'","b'Fingerprint (under display), accelerometer, gyro, proximity, compass'",b'DCI-P3 108%',"b'Black, Purple, Green'",,b'HiSilicon Kirin 810 (7 nm)',b'Octa-core (2x2.27 GHz Cortex-A76 & 6x1.88 GHz Cortex-A55)',b'Mali-G52 MP6',,"b'LED flash, HDR, panorama'",b'HDR',,"b'SEA-AL00, SEA-TL00'",b'Non-removable Li-Po 3500 mAh battery',b'About 360 EUR',,b'Fast battery charging 40W (85% in 30 min)',,,,,,,,,,,,,,,,,,,,,,,,,,,,,"b'48 MP, f/1.8, 26mm (wide), 1/2"", 0.8\xc2\xb5m, PDAF 16 MP, f/2.2, (wide) 2 MP, f/2.4, 27mm (wide) dedicated macro camera 2 MP, f/2.4, depth sensor'"
b'huawei',b'Huawei nova 5i',b'https://cdn2.gsmarena.com/vv/bigpic/huawei-p20-lite-2019-.jpg',b'GSM / CDMA / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 800 / 850 / 900 / 1700(AWS) / 2100',"b'LTE band 1(2100), 3(1800), 4(1700/2100), 5(850), 8(900), 19(800), 34(2000), 38(2600), 39(1900), 40(2300), 41(2500)'","b'HSPA, LTE-A'","b'2019, June'","b'Available. Released 2019, June'",b'159.1 x 75.9 x 8.3 mm (6.26 x 2.99 x 0.33 in)',b'178 g (6.28 oz)',"b'Hybrid Dual SIM (Nano-SIM, dual stand-by)'","b'IPS LCD capacitive touchscreen, 16M colors'","b'6.4 inches, 101.4 cm2 (~84.0% screen-to-body ratio)'",b'1080 x 2310 pixels (~398 ppi density)',"b'Android 9.0 (Pie), EMUI 9.1'","b'microSD, up to 512 GB (uses shared SIM slot)'","b'128 GB, 6/8 GB RAM'","b'24 MP, f/2.0'",b'1080p@30fps',,b'1080p@30fps',b'Yes',b'Yes',b'CDMA 800 & TD-SCDMA',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'4.2, A2DP, LE'","b'Yes, with A-GPS, GLONASS, BDS'",b'FM radio',"b'2.0, Type-C 1.0 reversible connector, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, proximity, compass'",b'DCI-P3',"b'Black, Gradient Blue, Red'",,b'Hisilicon Kirin 710F (12 nm)',b'Octa-core (4x2.2 GHz Cortex-A73 & 4x1.7 GHz Cortex-A53)',b'Mali-G51 MP4',,"b'LED flash, HDR, panorama'",b'HDR',,"b'GLK-LX1, GLK-LX2, GLK-LX3, GLK-LX1U, GLK-AL00, GLK-TL00'",b'Non-removable Li-Po 4000 mAh battery',b'About 260 EUR',,b'Fast battery charging 10W',,,,,,,,,,,,,,,,,,,,,,,,,,,,,"b'24 MP, f/1.8, 27mm (wide), PDAF 8 MP, (ultrawide) 2 MP, f/2.4, 27mm (wide) dedicated macro camera 2 MP, f/2.4, depth sensor'"
b'huawei',b'Huawei Y9 Prime (2019)',b'https://cdn2.gsmarena.com/vv/bigpic/huawei-y9-prime-2019-.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (Dual SIM model only)',b'HSDPA 850 / 900 / 1900 / 2100',"b'LTE band 1(2100), 3(1800), 7(2600), 8(900), 20(800)'","b'HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat12 600/50 Mbps'","b'2019, May'","b'Available. Released 2019, June'",b'163.5 x 77.3 x 8.8 mm (6.44 x 3.04 x 0.35 in)',b'196.8 g (6.95 oz)',"b'Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)'","b'LTPS IPS LCD capacitive touchscreen, 16M colors'","b'6.59 inches, 106.6 cm2 (~84.3% screen-to-body ratio)'","b'1080 x 2340 pixels, 19.5:9 ratio (~391 ppi density)'",b'Android 9.0 (Pie); EMUI 9',"b'microSD, up to 1 TB'","b'64/128 GB, 4 GB RAM'","b'Motorized pop-up 16 MP, f/2.0'",b'1080p@30fps',,b'1080p@30fps',b'Yes',b'Yes',b'Active noise cancellation with dedicated mic',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS, BDS'",b'FM radio',"b'2.0, Type-C 1.0 reversible connector'","b'Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass'",b'Non-removable Li-Po 4000 mAh battery',"b'Emerald Green, Midnight Black, Sapphire Blue'",,b'Hisilicon Kirin 710F (12 nm)',b'Octa-core (4x2.2 GHz Cortex-A73 & 4x1.7 GHz Cortex-A53)',b'Mali-G51 MP4',,"b'LED flash, HDR, panorama'",,,"b'STK-L21, STK-L22, STK-LX3'",,b'About 220 EUR',,,,,,,"b'Front glass, plastic back'",,,,,,,,,,,,,,,,,,,,,,"b'16 MP, f/1.8, (wide), PDAF 8 MP (ultrawide) 2 MP, f/2.4, depth sensor'",,
b'huawei',b'Huawei P20 lite (2019)',b'https://cdn2.gsmarena.com/vv/bigpic/huawei-p20-lite-2019-.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only)',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',"b'LTE band 1(2100), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 20(800)'","b'HSPA, LTE-A'","b'2019, June'","b'Coming soon. Exp. release 2019, July'",b'159.1 x 75.9 x 8.3 mm (6.26 x 2.99 x 0.33 in)',b'178 g (6.28 oz)',"b'Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)'","b'LTPS IPS LCD capacitive touchscreen, 16M colors'","b'6.4 inches, 101.4 cm2 (~84.0% screen-to-body ratio)'",b'1080 x 2310 pixels (~398 ppi density)',"b'Android 9.0 (Pie), EMUI 9.1'","b'microSD, up to 256 GB (uses shared SIM slot)'","b'64/128 GB, 4 GB RAM'","b'16 MP, f/2.2'",b'1080p@30fps',,b'1080p@30fps',b'Yes',b'Yes',b'Active noise cancellation with dedicated mic',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE, aptX HD'","b'Yes, with A-GPS, GLONASS, BDS'",b'FM radio',"b'2.0, Type-C 1.0 reversible connector, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass'",b'Non-removable Li-Po 4000 mAh battery',"b'Midnight Black, Crush Blue, Charming Red'",,b'Hisilicon Kirin 710 (12 nm)',b'Octa-core (4x2.2 GHz Cortex-A73 & 4x1.7 GHz Cortex-A53)',b'Mali-G51 MP4',,"b'LED flash, HDR, panorama'",b'HDR',b'Yes (market/region dependent)',,,b'About 280 EUR',,b'Fast battery charging 18W',,,,,"b'Front glass, plastic body'",,,,,,,,,,,,,,,,,,,,,,,,"b'16 MP, f/1.8, PDAF 8 MP, (ultrawide) 2 MP, f/2.4, 27mm (wide) dedicated macro camera 2 MP, f/2.4, depth sensor'"
b'huawei',b'Huawei Mate 20 X (5G)',b'https://cdn2.gsmarena.com/vv/bigpic/huawei-mate-20x-5g-.jpg',b'GSM / HSPA / LTE / 5G',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100',"b'LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 6(900), 7(2600), 8(900), 9(1800), 12(700), 17(700), 18(800), 19(800), 20(800), 26(850), 28(700), 32(1500), 34(2000), 38(2600), 39(1900), 40(2300), 41(2500)'","b'HSPA 42.2/5.76 Mbps, LTE-A Cat21 1400/200 Mbps; 5G (2+ Gbps DL)'","b'2019, May'","b'Coming soon. Exp. release 2019, July 18'",b'174.6 x 85.4 x 8.4 mm (6.87 x 3.36 x 0.33 in)',b'233 g (8.22 oz)',"b'Hybrid Dual SIM (Nano-SIM, dual stand-by)'","b'OLED capacitive touchscreen, 16M colors'","b'7.2 inches, 130.7 cm2 (~87.6% screen-to-body ratio)'","b'1080 x 2244 pixels, 18.7:9 ratio (~346 ppi density)'",b'Android 9.0 (Pie); EMUI 9.1',"b'NM (Nano Memory), up to 256GB (uses shared SIM slot)'","b'256 GB, 8 GB RAM'","b'24 MP, f/2.0, 26mm (wide)'","b'2160p@30fps, 1080p@60fps, 1080p@30fps (gyro-EIS), 720p@960fps'",,b'1080p@30fps',"b'Yes, with stereo speakers'",b'Yes',b'IP53 dust and splash protection Stylus (optional)',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, DLNA, Wi-Fi Direct, hotspot'","b'5.0, A2DP, aptX HD, LE'","b'Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO, QZSS'",b'No',"b'3.1, Type-C 1.0 reversible connector, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, gyro, proximity, barometer, compass'",b'DCI-P3 HDR10',b'Emerald Green',b'Corning Gorilla Glass (unspecified version)',b'HiSilicon Kirin 980 (7 nm)',b'Octa-core (2x2.6 GHz Cortex-A76 & 2x1.92 GHz Cortex-A76 & 4x1.8 GHz Cortex-A55)',b'Mali-G76 MP10',,"b'Leica optics, dual-LED dual-tone flash, panorama, HDR'",b'HDR',b'Yes',b'EVR-N29',b'Non-removable Li-Po 4200 mAh battery',b'About 900 EUR',b'Yes',b'Fast battery charging 40W',,,,,b'Front/back glass & aluminum frame',,,,,,,,,,,,,,,,,,,,,,"b'40 MP, f/1.8, 27mm (wide), 1/1.7"", PDAF/Laser AF 8 MP, f/2.4, 80mm (telephoto), 1/4"", PDAF/Laser AF, OIS, 5x optical zoom 20 MP, f/2.2, 16mm (ultrawide), 1/2.7"", PDAF/Laser AF'",b'5G SA / NSA / Sub6 / mmWave; N77/N78/N79',
b'huawei',b'Huawei P Smart Z',b'https://cdn2.gsmarena.com/vv/bigpic/huawei-p-smart-z-.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (Dual SIM model only)',b'HSDPA 850 / 900 / 1900 / 2100',"b'LTE band 1(2100), 3(1800), 7(2600), 8(900), 20(800)'","b'HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat12 600/50 Mbps'","b'2019, May'","b'Available. Released 2019, June'",b'163.5 x 77.3 x 8.8 mm (6.44 x 3.04 x 0.35 in)',b'196.8 g (6.95 oz)',"b'Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)'","b'LTPS IPS LCD capacitive touchscreen, 16M colors'","b'6.59 inches, 106.6 cm2 (~84.3% screen-to-body ratio)'","b'1080 x 2340 pixels, 19.5:9 ratio (~391 ppi density)'",b'Android 9.0 (Pie); EMUI 9',"b'microSD, up to 1 TB'","b'64 GB, 4 GB RAM'","b'Motorized pop-up 16 MP, f/2.0'",b'1080p@30fps',,b'1080p@30fps',b'Yes',b'Yes',b'Active noise cancellation with dedicated mic',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS, BDS'",b'FM radio',"b'2.0, Type-C 1.0 reversible connector'","b'Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass'",b'Non-removable Li-Po 4000 mAh battery',"b'Emerald Green, Midnight Black, Sapphire Blue'",,b'Hisilicon Kirin 710F (12 nm)',b'Octa-core (4x2.2 GHz Cortex-A73 & 4x1.7 GHz Cortex-A53)',b'Mali-G51 MP4',"b'16 MP, f/1.8, PDAF 2 MP, f/2.4, depth sensor'","b'LED flash, HDR, panorama'",,b'Yes (market/region dependent)',,,b'About 280 EUR',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'huawei',b'Huawei P30 Pro',b'https://cdn2.gsmarena.com/vv/bigpic/huawei-p30-pro.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only)',b'HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100',"b'LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 6(900), 7(2600), 8(900), 9(1800), 12(700), 17(700), 18(800), 19(800), 20(800), 26(850), 28(700), 32(1500), 34(2000), 38(2600), 39(1900), 40(2300)'","b'HSPA 42.2/5.76 Mbps, LTE-A Cat21 1400/200 Mbps'","b'2019, March'","b'Available. Released 2019, March'",b'158 x 73.4 x 8.4 mm (6.22 x 2.89 x 0.33 in)',b'192 g (6.77 oz)',"b'Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)'","b'OLED capacitive touchscreen, 16M colors'","b'6.47 inches, 102.8 cm2 (~88.6% screen-to-body ratio)'","b'1080 x 2340 pixels, 19.5:9 ratio (~398 ppi density)'",b'Android 9.0 (Pie); EMUI 9.1',"b'NM (Nano Memory), up to 256GB (uses shared SIM slot)'","b'128/256/512 GB, 8 GB RAM or 128 GB, 6 GB RAM'","b'32 MP, f/2.0, (wide), 0.8\xc2\xb5m'","b'2160p@30fps, 1080p@60fps, 1080p@30fps (gyro-EIS), 720p@960fps'",,b'1080p@30fps',b'Yes',b'No',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, aptX HD, LE'","b'Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO, QZSS'",b'No',"b'3.1, Type-C 1.0 reversible connector'","b'Fingerprint (under display), accelerometer, gyro, proximity, compass, color spectrum'","b'LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 6(900), 7(2600), 8(900), 9(1800), 12(700), 17(700), 18(800), 19(800), 20(800), 26(850), 28(700), 34(2000), 38(2600), 39(1900), 40(2300), 66(1700/2100)'","b'Aurora, Amber Sunrise, Breathing Crystal, Black, Pearl White'",,b'HiSilicon Kirin 980 (7 nm)',b'Octa-core (2x2.6 GHz Cortex-A76 & 2x1.92 GHz Cortex-A76 & 4x1.8 GHz Cortex-A55)',b'Mali-G76 MP10',,"b'Leica optics, dual-LED dual-tone flash, panorama, HDR'",b'HDR',b'Yes',"b'VOG-L29, VOG-L09, VOG-AL00, VOG-TL00, VOG-L04'",b'Non-removable Li-Po 4200 mAh battery',b'About 760 EUR',b'Yes',b'Fast battery charging 40W (70% in 30 min) Fast wireless charging 15W Power bank/Reverse wireless charging',,,,,"b'Front/back glass, aluminum frame'",,,,,,,,"b'Contrast ratio: Infinite (nominal), 5.119 (sunlight)'",b'Photo / Video',b'Voice 70dB / Noise 73dB / Ring 90dB',b'Noise -90.5dB / Crosstalk -93.0dB',b'Endurance rating 100h',,,,,,,,,b'Basemark OS II: 4654 / Basemark OS II 2.0: 4675Basemark X: 45889',,,"b'40 MP, f/1.6, 27mm (wide), 1/1.7"", PDAF, OIS Periscope 8 MP, f/3.4, 125mm (telephoto), 1/4"", PDAF, OIS, 5x optical zoom 20 MP, f/2.2, 16mm (ultrawide), 1/2.7"", PDAF TOF 3D camera'"
b'huawei',b'Huawei P30',b'https://cdn2.gsmarena.com/vv/bigpic/huawei-p30.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only)',b'HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100',"b'LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 6(900), 7(2600), 8(900), 9(1800), 12(700), 17(700), 18(800), 19(800), 20(800), 26(850), 28(700), 32(1500), 34(2000), 38(2600), 39(1900), 40(2300)'","b'HSPA 42.2/5.76 Mbps, LTE-A Cat21 1400/200 Mbps'","b'2019, March'","b'Available. Released 2019, March'",b'149.1 x 71.4 x 7.6 mm (5.87 x 2.81 x 0.30 in)',b'165 g (5.82 oz)',"b'Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)'","b'OLED capacitive touchscreen, 16M colors'","b'6.1 inches, 91.3 cm2 (~85.8% screen-to-body ratio)'","b'1080 x 2340 pixels, 19.5:9 ratio (~422 ppi density)'",b'Android 9.0 (Pie); EMUI 9.1',"b'NM (Nano Memory), up to 256GB (uses shared SIM slot)'","b'64/128/256 GB, 8 GB RAM or 128 GB, 6 GB RAM'","b'32 MP, f/2.0, (wide), 0.8\xc2\xb5m'","b'2160p@30fps, 1080p@60fps, 1080p@30fps (gyro-EIS), 720p@960fps'",,b'1080p@30fps',b'Yes',b'Yes',b'IP53 dust and splash protection',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, aptX HD, LE'","b'Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO, QZSS'",b'No',"b'3.1, Type-C 1.0 reversible connector'","b'Fingerprint (under display), accelerometer, gyro, proximity, compass, color spectrum'",b'DCI-P3 HDR10',"b'Aurora, Amber Sunrise, Breathing Crystal, Black, Pearl White'",,b'HiSilicon Kirin 980 (7 nm)',b'Octa-core (2x2.6 GHz Cortex-A76 & 2x1.92 GHz Cortex-A76 & 4x1.8 GHz Cortex-A55)',b'Mali-G76 MP10',,"b'Leica optics, dual-LED dual-tone flash, panorama, HDR'",b'HDR',b'Yes',"b'ELE-L29, ELE-L09, ELE-AL00, ELE-TL00, ELE-L04'",b'Non-removable Li-Po 3650 mAh battery',b'About 550 EUR',,b'Fast battery charging 22.5W',,,,,"b'Front/back glass, aluminum frame'",,,,,,,,b'Contrast ratio: Infinite (nominal)',b'Photo / Video',b'Voice 83dB / Noise 75dB / Ring 83dB',b'Noise -96.2dB / Crosstalk -97.5dB',b'Endurance rating 83h',,,,,,,,,b'Basemark OS II: 4685 / Basemark OS II 2.0: 4718Basemark X: 44948',"b'40 MP, f/1.8, 27mm (wide), 1/1.7"", PDAF/Laser AF 8 MP, f/2.4, 80mm (telephoto), 1/4"", PDAF/Laser AF, OIS, 3x optical zoom 16 MP, f/2.2, 17mm (ultrawide), PDAF/Laser AF'",,
