Brand,Model Name,Model Image,Technology,2G bands,3G bands,4G bands,Speed,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,OS,Card slot,Internal,Single,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,,WLAN,Bluetooth,GPS,Radio,USB,Sensors,_1,Colors,Protection,Chipset,CPU,GPU,Dual,Features,Features_1,NFC,Models,_1_1,Price,Infrared port,Charging,Stand-by,Talk time,GPRS,EDGE,Build,Music play,Phonebook,Call records,Messaging,Games,Java,SAR EU,Display,Camera,Loudspeaker_1,Audio quality,Battery life,SAR,Keyboard,Browser,Alert types,Clock,Alarm,Languages,Dual_1,Performance,Triple
b'blackberry',b'BlackBerry Storm2 9550',b'https://cdn2.gsmarena.com/vv/bigpic/bb-storm2-9550.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 2100',,"b'HSPA 7.2/2 Mbps, EV-DO RevA 3.1 Mbps'","b'2009, October. Released 2009, November'",b'Discontinued',b'112.5 x 62.2 x 14 mm (4.43 x 2.45 x 0.55 in)',b'160 g (5.64 oz)',b'Mini-SIM',"b'TFT capacitive touchscreen, 65K colors'","b'3.25 inches, 32.7 cm2 (~46.7% screen-to-body ratio)'","b'360 x 480 pixels, 4:3 ratio (~185 ppi density)'",b'BlackBerry OS',b'microSD (dedicated slot)',b'2 GB',"b'3.15 MP, AF'",b'Yes',,,b'Yes',b'Yes',b'CDMA2000 800 / 1900',b'Wi-Fi 802.11 b/g',"b'2.1, A2DP'","b'Yes, with A-GPS'",b'No',b'microUSB 2.0',b'Accelerometer',b'EV-DO 800 / 1900',b'Black',,,,,,b'LED flash',,,,b'Removable Li-Ion 1400 mAh battery',b'About 70 EUR',,,b'Up to 305 h (2G) / Up to 280 h (3G)',b'Up to 5 h (2G) / Up to 6 h (3G)',,,,,,,,,,b'0.92 W/kg (head) \xc2\xa0 \xc2\xa0 0.45 W/kg (body)',,,,,,b'1.01 W/kg (head) \xc2\xa0 \xc2\xa0 0.63 W/kg (body)',,b'HTML',,,,,,,
b'blackberry',b'BlackBerry Curve 8530',b'https://cdn2.gsmarena.com/vv/bigpic/blackberry-curve-8530.jpg',b'CDMA / EVDO',b'CDMA 800 / 1900',b'CDMA2000 1xEV-DO',,"b'EV-DO Rev.0, 153.2 Kbps'","b'2009, November. Released 2009, December'",b'Discontinued',b'109 x 60 x 13.9 mm (4.29 x 2.36 x 0.55 in)',b'106 g (3.74 oz)',b'Mini-SIM',"b'TFT, 65K colors'","b'2.46 inches, 18.7 cm2 (~28.7% screen-to-body ratio)'","b'320 x 240 pixels, 4:3 ratio (~163 ppi density)'",b'BlackBerry OS 5.0',"b'microSD, up to 32 GB (dedicated slot)'",b'256 MB ROM',b'2 MP',b'Yes',,,b'Yes',b'Yes',b'Optical trackpad',b'Wi-Fi 802.11 b/g',"b'2.1, A2DP'","b'Yes, with A-GPS'",b'No',b'microUSB',b'',b'No',"b'Black, Purple'",,,b'528 MHz',,,,,,,b'Removable Li-Ion 1150 mAh battery',b'About 60 EUR',,,b'Up to 252 h',b'Up to 4 h 30 min',,,,,,,,,,,,,,,,b'1.24 W/kg (head) \xc2\xa0 \xc2\xa0 0.66 W/kg (body)',b'QWERTY',b'HTML',,,,,,,
b'blackberry',b'BlackBerry Curve 8520',b'https://cdn2.gsmarena.com/vv/bigpic/bb-curve-8520.jpg',b'GSM',b'GSM 850 / 900 / 1800 / 1900',,,,"b'2009, July. Released 2009, August'",b'Discontinued',b'109 x 60 x 13.9 mm (4.29 x 2.36 x 0.55 in)',b'106 g (3.74 oz)',b'Mini-SIM',"b'TFT, 65K colors'","b'2.46 inches, 18.7 cm2 (~28.7% screen-to-body ratio)'","b'320 x 240 pixels, 4:3 ratio (~163 ppi density)'",b'BlackBerry OS 5.0',"b'microSD, up to 32 GB (dedicated slot)'",b'256 MB',b'2 MP',b'320p',,,b'Yes',b'Yes',b'Optical trackpad',b'Wi-Fi 802.11b/g',"b'2.0, A2DP'",b'No',b'No',b'microUSB',b'',b'No',b'Black',,,b'512 MHz',,,,,,,b'Removable Li-Ion 1150 mAh battery',b'About 70 EUR',,,b'Up to 408 h',b'Up to 4 h 30 min',b'Class 10',b'Class 10',,,,,,,,b'1.02 W/kg (head) \xc2\xa0 \xc2\xa0 0.78 W/kg (body)',,,b'Voice 69dB / Noise 68dB / Ring 76dB',b'Noise -87.2dB / Crosstalk -86.6dB',,b'1.22 W/kg (head) \xc2\xa0 \xc2\xa0 0.83 W/kg (body)',b'QWERTY',b'HTML',,,,,,,
b'blackberry',b'BlackBerry Tour 9630',b'https://cdn2.gsmarena.com/vv/bigpic/bb-tour-9630.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 2100',,b'HSPA',"b'2009, July. Released 2009, July'",b'Discontinued',b'112 x 62 x 14.2 mm (4.41 x 2.44 x 0.56 in)',b'130 g (4.59 oz)',b'Mini-SIM',b'65K colors',"b'2.4 inches, 17.8 cm2 (~25.7% screen-to-body ratio)'","b'480 x 360 pixels, 4:3 ratio (~250 ppi density)'",b'BlackBerry OS',"b'microSD, up to 8 GB (dedicated slot)'",b'256 MB',"b'3.15 MP, AF'",b'Yes',,,b'Yes',b'Yes',b'CDMA/EVDO Rev A 800/1900',b'No',"b'2.0, A2DP'","b'Yes, with A-GPS, BlackBerry Maps'",b'No',b'microUSB 2.0',b'',b'Trackball',b'Black',,,,,,b'LED flash',,,,b'Removable Li-Ion 1400 mAh battery',b'About 70 EUR',,,b'Up to 336 h',b'Up to 5 h',,,,,,,,,,b'1.72 W/kg (head) \xc2\xa0 \xc2\xa0 0.48 W/kg (body)',,,,,,b'1.43 W/kg (head) \xc2\xa0 \xc2\xa0 0.53 W/kg (body)',b'QWERTY',b'HTML',,,,,,,
b'blackberry',b'BlackBerry Curve 8900',b'https://cdn2.gsmarena.com/vv/bigpic/bb-curve-8900.jpg',b'GSM',b'GSM 850 / 900 / 1800 / 1900',,,,"b'2008, November. Released 2008, November'",b'Discontinued',b'109 x 60 x 13.5 mm (4.29 x 2.36 x 0.53 in)',b'110 g (3.88 oz)',b'Mini-SIM',"b'TFT, 65K colors'","b'2.4 inches, 17.8 cm2 (~27.3% screen-to-body ratio)'","b'480 x 360 pixels, 4:3 ratio (~250 ppi density)'",b'BlackBerry OS',"b'microSD, up to 32 GB (dedicated slot)'",b'256 MB ROM',"b'3.15 MP, AF'",b'SCIF',,,b'Yes',b'Yes',b'Trackball',b'Wi-Fi 802.11b/g',"b'2.0, A2DP'","b'Yes, with A-GPS'",b'No',b'microUSB 2.0',b'',b'No',b'Black',,,b'512 MHz',,,b'LED flash',,,,b'Removable Li-Ion 1400 mAh battery',b'About 60 EUR',,,b'Up to 356 h',b'Up to 5 h 30 min',b'Class 10',b'Class 10',,,,,,,,b'0.65 W/kg (head) \xc2\xa0 \xc2\xa0 0.45 W/kg (body)',,,b'Voice 75dB / Noise 66dB / Ring 75dB',b'Noise -89.4dB / Crosstalk -88.9dB',,b'1.01 W/kg (head) \xc2\xa0 \xc2\xa0 0.59 W/kg (body)',b'QWERTY',b'HTML',,,,,,,
b'blackberry',b'BlackBerry Curve 8980',b'https://cdn2.gsmarena.com/vv/bigpic/bb-8980.jpg',b'GSM',b'GSM 850 / 900 / 1800 / 1900',,,,b'2012',b'Discontinued',b'109 x 60 x 13.6 mm (4.29 x 2.36 x 0.54 in)',b'117 g (4.13 oz)',b'Mini-SIM',b'TFT',"b'2.4 inches, 17.8 cm2 (~27.3% screen-to-body ratio)'","b'480 x 360 pixels, 4:3 ratio (~250 ppi density)'",b'BlackBerry OS 5.0',"b'microSD, up to 32 GB (dedicated slot)'",b'256 MB',"b'3.15 MP, AF'",b'Yes',,,b'Yes',b'Yes',b'Optical trackpad',b'Wi-Fi 802.11 b/g/n',"b'2.1, A2DP'","b'Yes, with A-GPS'",b'No',b'microUSB 2.0',b'',b'No',b'Black',,,,,,b'LED flash',,,,b'Removable Li-Ion battery',b'About 70 EUR',,,,,b'Yes',b'Yes',,,,,,,,,,,,,,b'0.64 W/kg (head) \xc2\xa0 \xc2\xa0 0.66 W/kg (body)',b'QWERTY',b'HTML',,,,,,,
b'blackberry',b'BlackBerry Storm3',b'https://cdn2.gsmarena.com/vv/bigpic/BlackBerry-Storm3.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 850 / 1900 / 2100',,b'HSPA 7.2/0.384 Mbps',b'Not officially announced yet',b'Discontinued',b'-',b'-',b'Mini-SIM',"b'TFT capacitive touchscreen, 65K colors'","b'3.7 inches, 39.0 cm2'","b'480 x 800 pixels, 5:3 ratio (~252 ppi density)'",b'BlackBerry OS 6.1',"b'microSD, up to 32 GB (dedicated slot)'","b'8 GB, 512 MB RAM'","b'5 MP, AF'",b'720p',,,b'Yes',b'Yes',b'Optical trackpad',"b'Wi-Fi 802.11 b/g/n, UMA'","b'2.1, A2DP, EDR'","b'Yes, with A-GPS'",b'No',b'microUSB 2.0',"b'Accelerometer, proximity, compass'",b'No',b'Black',,,b'1.2GHz',,,,,,,b'Removable Li-Ion 1230 mAh battery',,,,,,,,,,,,,,,,,,,,,,,b'HTML',,,,,,,
b'blackberry',b'BlackBerry Storm 9500',b'https://cdn2.gsmarena.com/vv/bigpic/blackberry-9500-storm2.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 2100',,b'HSPA 7.2/0.384 Mbps',"b'2008, September. Released 2008, November'",b'Discontinued',b'112.5 x 62.2 x 14 mm (4.43 x 2.45 x 0.55 in)',b'155 g (5.47 oz)',b'Mini-SIM',"b'TFT capacitive touchscreen, 65K colors'","b'3.25 inches, 32.7 cm2 (~46.7% screen-to-body ratio)'","b'360 x 480 pixels, 4:3 ratio (~185 ppi density)'",b'BlackBerry OS',"b'microSD, up to 16 GB (dedicated slot), 8 GB included'","b'1 GB, 128 MB RAM, 192 MB ROM'","b'3.15 MP, AF'",b'320p',,,b'Yes',b'Yes',b'No',b'No',"b'2.0, A2DP'","b'Yes, with A-GPS'",b'No',b'microUSB 2.0',b'Accelerometer',"b'BlackBerry maps  Document editor (Word, Excel, PowerPoint, PDF) MP3/WMA/eAAC+ player MP4/H.264/WMV player Organizer Voice dial/memo'",b'Black',,b'Qualcomm MSM7600',b'528 MHz ARM 11',b'Adreno 130',,b'LED flash',,,,b'Removable Li-Ion 1400 mAh battery',b'About 80 EUR',,,b'Up to 360 h',b'Up to 5 h 30 min',,,,,,,,,,b'0.47 W/kg (head) \xc2\xa0 \xc2\xa0 0.27 W/kg (body)',,,b'Voice 75dB / Noise 65dB / Ring 72dB',b'Noise -87.6dB / Crosstalk -85.8dB',,b'0.57 W/kg (head) \xc2\xa0 \xc2\xa0 0.50 W/kg (body)',,b'HTML',,,,,,,
b'blackberry',b'BlackBerry Storm 9530',b'https://cdn2.gsmarena.com/vv/bigpic/blackberry-9500-storm1.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 2100',,b'HSPA 7.2/0.384 Mbps',"b'2008, September. Released 2008, November'",b'Discontinued',b'112.5 x 62.2 x 14 mm (4.43 x 2.45 x 0.55 in)',b'155 g (5.47 oz)',b'Mini-SIM',"b'TFT capacitive touchscreen, 65K colors'","b'3.25 inches, 32.7 cm2 (~46.7% screen-to-body ratio)'","b'360 x 480 pixels, 4:3 ratio (~185 ppi density)'",b'BlackBerry OS',"b'microSD, up to 16 GB (dedicated slot)'","b'1 GB, 128 MB RAM, 192 MB ROM'","b'3.15 MP, AF'",b'320p',,,b'Yes',b'Yes',b'CDMA2000 1x EV-DO',b'No',"b'2.0, A2DP'","b'Yes, with A-GPS'",b'No',b'microUSB 2.0',b'Accelerometer',b'No',b'Black',,b'Qualcomm MSM7600',b'528 MHz ARM 11',b'Adreno 130',,b'LED flash',,,,b'Removable Li-Ion 1400 mAh battery',b'About 100 EUR',,,b'Up to 360 h',b'Up to 5 h 30 min',,,,,,,,,,b'0.67 W/kg (head) \xc2\xa0 \xc2\xa0 0.38 W/kg (body)',,,,,,b'0.93 W/kg (head) \xc2\xa0 \xc2\xa0 0.56 W/kg (body)',,b'HTML',,,,,,,
b'blackberry',b'BlackBerry Pearl Flip 8230',b'https://cdn2.gsmarena.com/vv/bigpic/blackberry-pearl-flip-8230.jpg',b'CDMA / EVDO',b'CDMA 800 / 1900',b'CDMA2000 1xEV-DO',,"b'EV-DO Rev.0, 153.2 Kbps'","b'2009, February. Released 2009, May'",b'Discontinued',b'101 x 50 x 17.5 mm (3.98 x 1.97 x 0.69 in)',b'102 g (3.60 oz)',b'Mini-SIM',b'65K colors',"b'2.6 inches, 20.9 cm2 (~41.5% screen-to-body ratio)'","b'240 x 320 pixels, 4:3 ratio (~154 ppi density)'",b'BlackBerry OS',"b'microSD, up to 8 GB (dedicated slot)'","b'128 MB RAM, 128 MB ROM'",b'2 MP',b'Yes',,,b'Yes',b'Yes',b'Trackball',b'No',"b'2.0, A2DP'",b'No',b'No',b'microUSB 2.0',b'',"b'Secondary external 65K TFT display, 128x160 pixels'","b'Black, Red, Pink'",,,,,,b'LED flash',,,,b'Removable Li-Ion 900 mAh battery',b'About 70 EUR',,,b'Up to 216 h',b'Up to 3 h 30 min',,,,,,,,,,,,,,,,b'1.23 W/kg (head) \xc2\xa0 \xc2\xa0 0.95 W/kg (body)',b'Half-QWERTY',b'HTML',,,,,,,
b'blackberry',b'BlackBerry Pearl Flip 8220',b'https://cdn2.gsmarena.com/vv/bigpic/blackberry-pearl-flip-8220-1.jpg',b'GSM',b'GSM 850 / 900 / 1800 / 1900',,,,"b'2008, September. Released 2008, October'",b'Discontinued',b'101.1 x 50 x 17.5 mm (3.98 x 1.97 x 0.69 in)',b'102 g (3.60 oz)',b'Mini-SIM',b'65K colors',"b'2.6 inches, 20.9 cm2 (~41.4% screen-to-body ratio)'","b'240 x 320 pixels, 4:3 ratio (~154 ppi density)'",b'BlackBerry OS',"b'microSD, up to 8 GB (dedicated slot)'",b'75 MB',b'2 MP',b'Yes',,,b'Yes',b'Yes',b'Trackball',b'Wi-Fi 802.11 b/g',"b'2.0, A2DP'",b'No',b'No',b'microUSB 2.0',b'',"b'Secondary external 65K TFT display, 128x160 pixels'",b'Black',,,b'32-bit Intel XScale PXA272 312 MHz',,,b'LED flash',,,,b'Removable Li-Ion 900 mAh battery',b'About 110 EUR',,,b'Up to 336 h',b'Up to 4 h',b'Class 10',b'Class 10',,,,,,,,b'0.66 W/kg (head) \xc2\xa0 \xc2\xa0 0.54 W/kg (body)',,,,,,b'1.15 W/kg (head) \xc2\xa0 \xc2\xa0 1.18 W/kg (body)',b'Half-QWERTY',b'HTML',,,,,,,
b'blackberry',b'BlackBerry Bold 9000',b'https://cdn2.gsmarena.com/vv/bigpic/blackberry-bold.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 850 / 1900 / 2100',,b'HSPA 3.6/0.384 Mbps',"b'2008, May'",b'Discontinued',b'114 x 66 x 14 mm (4.49 x 2.60 x 0.55 in)',b'133 g (4.69 oz)',b'Mini-SIM',b'65K colors',"b'2.6 inches, 20.1 cm2 (~26.8% screen-to-body ratio)'","b'480 x 320 pixels, 3:2 ratio (~222 ppi density)'",b'BlackBerry OS',"b'microSD, up to 8 GB (dedicated slot)'","b'1 GB, 128 MB RAM'",b'2 MP',b'Yes',,,b'Yes',b'Yes',b'Trackball',b'Wi-Fi 802.11 a/b/g',"b'2.0, A2DP'","b'Yes, with A-GPS, BlackBerry Maps'",b'No',b'miniUSB 2.0',b'',b'No',"b'Black, White'",,,b'624 MHz',,,b'LED flash',,,,b'Removable Li-Ion 1500 mAh battery',b'About 80 EUR',,,b'Up to 310 h',b'Up to 5 h',,,,,,,,,,b'0.84 W/kg (head) \xc2\xa0 \xc2\xa0 0.66 W/kg (body)',,,b'Voice 70dB / Noise 66dB / Ring 68dB',b'Noise -87.6dB / Crosstalk -85.8dB',,b'1.51 W/kg (head) \xc2\xa0 \xc2\xa0 0.95 W/kg (body)',b'QWERTY',b'HTML',"b'Vibration; MP3, WAV ringtones'",,,,,,
b'blackberry',b'BlackBerry Volt',b'https://cdn2.gsmarena.com/vv/bigpic/blackberry-monaco-touch.jpg',b'GSM / CDMA / UMTS / EVDO',b'GSM 850 / 900 / 1800 / 1900',b'UMTS 2100',,"b'EV-DO Rev.A 3.1 Mbps, UMTS'",b'Not officially announced yet',b'Discontinued',b'120 x 62 x 11.5 mm (4.72 x 2.44 x 0.45 in)',b'-',b'Mini-SIM',"b'TFT capacitive touchscreen, 16M colors'","b'3.7 inches, 39.0 cm2 (~52.4% screen-to-body ratio)'","b'480 x 800 pixels, 5:3 ratio (~252 ppi density)'",b'BlackBerry OS 6.1',"b'microSD, up to 32 GB (dedicated slot)'","b'4 GB, 768 MB RAM'","b'5 MP, AF'",b'720p',,,b'Yes',b'Yes',b'CDMA 800 / 1900',b'Wi-Fi 802.11 b/g/n',"b'2.1, A2DP, EDR'","b'Yes, with A-GPS'",b'No',b'microUSB 2.0',"b'Accelerometer, proximity, compass'",b'CDMA2000 1xEV-DO',b'Black',,,b'1.2GHz',,,b'LED flash',,b'Yes',,b'Removable Li-Ion battery',,,,,,,,,,,,,,,,,,,,,,,b'HTML',,,,,,,
b'blackberry',b'BlackBerry Pearl 8130',b'https://cdn2.gsmarena.com/vv/bigpic/blackberry-pearl-8130.jpg',b'CDMA / CDMA2000',b'CDMA 800 / 1900',b'CDMA2000 1x',,"b'EV-DO Rev.0, 153.2 Kbps'","b'2007, October. Released 20078'",b'Discontinued',b'107 x 50 x 14 mm (4.21 x 1.97 x 0.55 in)',b'96 g (3.39 oz)',b'Mini-SIM',"b'TFT, 65K colors'","b'2.2 inches, 15.6 cm2 (~29.1% screen-to-body ratio)'",b'240 x 260 pixels (~161 ppi density)',b'BlackBerry OS',"b'microSD, up to 4 GB (dedicated slot)'","b'32 MB RAM, 64 MB ROM'",b'2 MP',b'Yes',,,b'Yes',b'Yes',b'No',b'No',"b'2.0, A2DP'","b'Yes, with A-GPS'",b'No',b'miniUSB 2.0',b'',"b'Document editor (Word, Excel, PowerPoint, PDF) MP4/WMV/H.264 player MP3/eAAC+/WMA player Organizer Voice memo/dial'","b'Black, White'",,,b'32-bit Intel XScale PXA272 312 MHz',,,b'LED flash',,,,b'Removable Li-Ion 900 mAh battery',,,,b'Up to 216 h',b'Up to 3 h 40 min',,,,,,,,,,,,,,,,,b'Half-QWERTY',b'HTML',,,,,,,
b'blackberry',b'BlackBerry Pearl 8110',b'https://cdn2.gsmarena.com/vv/bigpic/blackberry-8110.jpg',b'GSM',b'GSM 850 / 900 / 1800 / 1900',,,,"b'2008, January. Released 2008, January'",b'Discontinued',b'107 x 50 x 14 mm (4.21 x 1.97 x 0.55 in)',b'91 g (3.21 oz)',b'Mini-SIM',b'65K colors',"b'2.2 inches, 15.6 cm2 (~29.1% screen-to-body ratio)'",b'240 x 260 pixels (~161 ppi density)',b'BlackBerry OS',"b'microSD, up to 4 GB (dedicated slot)'","b'32 MB RAM, 64 MB ROM'",b'2 MP',b'Yes',,,b'Yes',b'Yes',b'No',b'No',"b'2.0, A2DP'",b'Yes',b'No',b'miniUSB 2.0',b'',"b'Document editor (Word, Excel, PowerPoint, PDF) MP4/WMV/H.264 player MP3/eAAC+/WMA player Organizer Voice memo/dial'","b'Black, Blue'",,,b'32-bit Intel XScale PXA272 312 MHz',,,b'LED flash',,,,b'Removable Li-Ion 900 mAh battery',b'About 110 EUR',,,b'Up to 360 h',b'Up to 4 h 10 min',b'Class 10',b'Class 10',,,,,,,,b'1.13 W/kg (head) \xc2\xa0 \xc2\xa0 0.71 W/kg (body)',,,,,,b'1.24 W/kg (head) \xc2\xa0 \xc2\xa0 0.83 W/kg (body)',b'Half-QWERTY',b'HTML',"b'Vibration; MP3, WAV ringtones'",,,,,,
b'blackberry',b'BlackBerry Pearl 8120',b'https://cdn2.gsmarena.com/vv/bigpic/blackberry-8120.gif',b'GSM',b'GSM 850 / 900 / 1800 / 1900',,,,"b'2007, October'",b'Discontinued',b'107 x 50 x 14 mm (4.21 x 1.97 x 0.55 in)',b'91 g (3.21 oz)',b'Mini-SIM',b'65K colors',"b'2.2 inches, 15.6 cm2 (~29.1% screen-to-body ratio)'",b'240 x 260 pixels (~161 ppi density)',b'BlackBerry OS',"b'microSD, up to 4 GB (dedicated slot)'","b'32 MB RAM, 64 MB ROM'",b'2 MP',b'Yes',,,b'Yes',b'Yes',b'',b'Wi-Fi 802.11b/g',b'2.0',b'No',b'No',b'miniUSB 2.0',b'',b'No',"b'Titanium, Blue, Sunset'",,,b'32-bit Intel XScale PXA272 312 MHz',,,b'LED flash',,,,b'Removable Li-Ion 900 mAh battery',b'About 90 EUR',,,b'Up to 360 h',b'Up to 4 h',b'Class 10',b'Class 10',,,,,,,,b'1.26 W/kg (head) \xc2\xa0 \xc2\xa0 1.01 W/kg (body)',,,,,,b'1.48 W/kg (head) \xc2\xa0 \xc2\xa0 1.39 W/kg (body)',b'Half-QWERTY',b'HTML',"b'Vibration; MP3, WAV ringtones'",,,,,,
b'blackberry',b'BlackBerry Curve 8330',b'https://cdn2.gsmarena.com/vv/bigpic/blackberry-curve-8330.jpg',b'CDMA',b'CDMA 800 / 1900',,,"b'EV-DO Rev.0, 153.2 Kbps'","b'2007, September. Released 2007, December'",b'Discontinued',b'106.6 x 61 x 15 mm (4.20 x 2.40 x 0.59 in)',b'113 g (3.99 oz)',b'Mini-SIM',b'65K colors',"b'2.5 inches, 19.4 cm2 (~29.8% screen-to-body ratio)'","b'320 x 240 pixels, 4:3 ratio (~160 ppi density)'",b'BlackBerry OS',"b'microSD, up to 4 GB (dedicated slot)'","b'32 MB ROM, 96 MB ROM'",b'2 MP',b'Yes',,,b'Yes',b'Yes',b'Trackball',b'No',"b'2.0, A2DP'",b'No',b'No',b'miniUSB 2.0',b'',b'No',"b'Titanium, Pink, Black'",,,b'312 MHz',,,b'LED flash',,,,b'Removable Li-Ion 1150 mAh battery',,,,b'Up to 264 h',b'Up to 4 h 30 min',b'No',b'No',,,,,,,,,,,,,,,b'QWERTY',b'HTML',,,,,,,
b'blackberry',b'BlackBerry Curve 8320',b'https://cdn2.gsmarena.com/vv/bigpic/blackberry-curve-8320.gif',b'GSM',b'GSM 850 / 900 / 1800 / 1900',,,,"b'2007, September'",b'Discontinued',b'107 x 60 x 15.5 mm (4.21 x 2.36 x 0.61 in)',b'111 g (3.92 oz)',b'Mini-SIM',b'65K colors',"b'2.5 inches, 19.4 cm2 (~30.1% screen-to-body ratio)'","b'320 x 240 pixels, 4:3 ratio (~160 ppi density)'",b'BlackBerry OS',"b'microSD, up to 4 GB (dedicated slot)'",b'64 MB ROM',b'2 MP',b'240x180@15fps',,,b'Yes',b'Yes',b'Trackball',b'Wi-Fi 802.11b/g',"b'2.0, A2DP'",b'No',b'No',b'miniUSB 2.0',b'',b'No',"b'Titanium, Pale Gold'",,,b'32-bit Intel XScale PXA272 312 MHz',,,b'LED flash',,,,b'Removable Li-Ion 1100 mAh battery',b'About 140 EUR',,,b'Up to 408 h',b'Up to 4 h',b'Class 10',b'Class 10',,,,,,,,b'0.60 W/kg (head) \xc2\xa0 \xc2\xa0 1.13 W/kg (body)',,,,,,b'1.08 W/kg (head) \xc2\xa0 \xc2\xa0 1.47 W/kg (body)',b'QWERTY',b'HTML',"b'Vibration; MP3, WAV ringtones'",,,,,,
b'blackberry',b'BlackBerry Curve 8310',b'https://cdn2.gsmarena.com/vv/bigpic/blackberry-curve-8310.gif',b'GSM',b'GSM 850 / 900 / 1800 / 1900',,,,"b'2007, August'",b'Discontinued',b'107 x 60 x 15.5 mm (4.21 x 2.36 x 0.61 in)',b'111 g (3.92 oz)',b'Mini-SIM',b'65K colors',"b'2.5 inches, 19.4 cm2 (~30.1% screen-to-body ratio)'","b'320 x 240 pixels, 4:3 ratio (~160 ppi density)'",b'BlackBerry OS',"b'microSD, up to 4 GB (dedicated slot)'",b'64 MB ROM',b'2 MP',b'No',,,b'Yes',b'Yes',b'Trackball',b'No',"b'2.0, A2DP'",b'Yes',b'No',b'miniUSB 2.0',b'',b'No',b'Silver',,,b'32-bit Intel XScale PXA272 312 MHz',,,b'LED flash',,,,b'Removable Li-Ion 1100 mAh battery',b'About 130 EUR',,,b'Up to 408 h',b'Up to 4 h',b'Class 10',b'Class 10',,,,,,,,b'0.59 W/kg (head) \xc2\xa0 \xc2\xa0 0.63 W/kg (body)',,,,,,b'1.09 W/kg (head) \xc2\xa0 \xc2\xa0 1.11 W/kg (body)',b'QWERTY',b'HTML',"b'Vibration; MP3, WAV ringtones'",,,,,,
b'blackberry',b'BlackBerry Curve 8300',b'https://cdn2.gsmarena.com/vv/bigpic/blackberry-curve.gif',b'GSM',b'GSM 850 / 900 / 1800 / 1900',,,,"b'2007, May'",b'Discontinued',b'107 x 60 x 15.5 mm (4.21 x 2.36 x 0.61 in)',b'111 g (3.92 oz)',b'Mini-SIM',b'65K colors',"b'2.5 inches, 19.4 cm2 (~30.1% screen-to-body ratio)'","b'320 x 240 pixels, 4:3 ratio (~160 ppi density)'",b'BlackBerry OS',"b'microSD, up to 4 GB (dedicated slot)'",b'64 MB',b'2 MP',b'Yes',,,b'Yes',b'Yes',b'Trackball',b'No',"b'2.0, A2DP'",b'No',b'No',b'miniUSB 2.0',b'',b'No',b'Black',,,b'32-bit Intel XScale PXA272 312 MHz',,,b'LED flash',,,,b'Removable Li-Ion 1100 mAh battery',b'About 130 EUR',,,b'Up to 408 h',b'Up to 4 h',b'Class 10',b'Class 10',,,,,,,,b'0.82 W/kg (head) \xc2\xa0 \xc2\xa0 0.64 W/kg (body)',,,,,,b'1.51 W/kg (head) \xc2\xa0 \xc2\xa0 1.12 W/kg (body)',b'QWERTY',b'HTML',"b'Vibration; MP3, WAV ringtones'",,,,,,
b'blackberry',b'BlackBerry 8820',b'https://cdn2.gsmarena.com/vv/bigpic/blackberry-8820.gif',b'GSM',b'GSM 850 / 900 / 1800 / 1900',,,,"b'2007, July'",b'Discontinued',b'114 x 66 x 14 mm (4.49 x 2.60 x 0.55 in)',b'134 g (4.73 oz)',b'Mini-SIM',b'65K colors',"b'2.5 inches, 19.4 cm2 (~25.7% screen-to-body ratio)'","b'320 x 240 pixels, 4:3 ratio (~160 ppi density)'",b'BlackBerry OS',b'microSD (dedicated slot)',"b'64 MB, 16 MB RAM'",,,,,b'Yes',b'No',b'Trackball',b'Wi-Fi 802.11b/g',"b'2.0, A2DP'",b'Yes',b'No',b'miniUSB',b'',b'No',b'Silver',,,b'32-bit Intel XScale PXA272 312 MHz',,,,,,,b'Removable Li-Ion 1400 mAh battery',b'About 110 EUR',,,b'Up to 520 h',b'Up to 5 h',b'Yes',b'Yes',,,,,,,,b'1.00 W/kg (head) \xc2\xa0 \xc2\xa0 0.83 W/kg (body)',,,,,,b'1.28 W/kg (head) \xc2\xa0 \xc2\xa0 1.58 W/kg (body)',b'QWERTY',"b'WAP 2.0/xHTML, HTML'","b'Vibration; MP3, WAV ringtones'",,,,,,
