Brand,Model Name,Model Image,Technology,2G bands,,GPRS,EDGE,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,Card slot,Phonebook,Call records,Internal,_1,Loudspeaker,Alert types,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,Messaging,Browser,Games,Java,_1_1,Stand-by,Talk time,Colors,Single,Video,Infrared port,3G bands,Speed,Features,Keyboard,OS,CPU,Languages,Single_1,Video_1,Chipset,Clock,Alarm,4G bands,Protection,GPU,NFC,Charging,Music play,Price,Loudspeaker_1,Build,Triple,Features_1,Performance,Display,Camera,Audio quality,Battery life,Dual,Models,SAR,SAR EU,Dual_1
b'vivo',b'vivo S1',b'https://cdn2.gsmarena.com/vv/bigpic/vivo-s1-v1907.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'Active noise cancellation with dedicated mic',,,"b'2019, July'","b'Coming soon. Exp. release 2019, July'",b'-',b'-',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'Super AMOLED capacitive touchscreen, 16M colors'","b'6.38 inches, 99.9 cm2'","b'1080 x 2340 pixels, 19.5:9 ratio (~404 ppi density)'","b'microSD, up to 256 GB'",,,"b'128 GB, 4 GB RAM'",b'Non-removable Li-Po 4500 mAh battery',b'Yes',,b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS, BDS'",b'FM radio',b'microUSB 2.0',"b'Fingerprint (under display), accelerometer, proximity, compass'",,,,,,,,"b'Skyline Blue, Cosmic Green'","b'32 MP, f/2.0'","b'2160p@30fps, 1080p@30fps'",,b'HSDPA 850 / 900 / 1900 / 2100',"b'HSPA, LTE-A'","b'LED flash, HDR, panorama'",,b'Android 9.0 (Pie); Funtouch 9',b'Octa-core (2x2.0 GHz Cortex-A75 & 6x1.7 GHz Cortex-A55)',,,b'1080p@30fps',b'Mediatek MT6768 (12nm)',,,b'LTE (unspecified)',,,,b'Fast battery charging',,,,,"b'16 MP, (wide), 1/2.8"", 1.12\xc2\xb5m, PDAF 8 MP, f/2.2, 13mm (ultrawide) 5 MP, f/2.4, depth sensor'",b'HDR',,,,,,,"b'1907, V1907'",,,
b'vivo',b'vivo Z1 Pro',b'https://cdn2.gsmarena.com/vv/bigpic/vivo-z5x.jpg',b'GSM / CDMA / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'CDMA 800 & TD-SCDMA',,,"b'2019, July'","b'Coming soon. Exp. release 2019, July 11'",b'162.4 x 77.3 x 8.9 mm (6.39 x 3.04 x 0.35 in)',b'201 g (7.09 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'IPS LCD capacitive touchscreen, 16M colors'","b'6.53 inches, 104.7 cm2 (~83.4% screen-to-body ratio)'","b'1080 x 2340 pixels, 19.5:9 ratio (~395 ppi density)'","b'microSD, up to 256 GB'",,,"b'128 GB, 6 GB RAM or 64 GB, 6/4 GB RAM'",b'Active noise cancellation with dedicated mic',b'Yes',,b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS, BDS'",b'FM radio',"b'microUSB 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass'",,,,,b'Non-removable Li-Po 5000 mAh battery',,,"b'Sonic Blue, Sonic Black, Mirror Black'","b'32 MP, f/2.0'",b'1080p@30fps',,b'HSDPA 850 / 900 / 2100',"b'HSPA 42.2/5.76 Mbps, LTE-A'","b'LED flash, HDR, panorama'",,b'Android 9.0 (Pie); Funtouch 9',b'Octa-core (2x2.3 GHz Kryo 360 Gold & 6x1.7 GHz Kryo 360 Silver)',,,b'1080p@30fps',b'Qualcomm SDM712 Snapdragon 712 (10 nm)',,,"b'LTE band 1(2100), 3(1800), 4(1700/2100), 5(850), 8(900), 34(2000), 38(2600), 39(1900), 40(2300), 41(2500)'",,b'Adreno 616',,b'Fast battery charging 18W',,b'About 190 EUR',,,"b'16 MP, f/1.8, (wide), AF 8 MP, f/2.2, 16mm (ultrawide) 2 MP, f/2.4, depth sensor'",,,,,,,,,,,
b'vivo',b'vivo iQOO Neo',b'https://cdn2.gsmarena.com/vv/bigpic/vivo-iqoo-neo.jpg',b'GSM / CDMA / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'CDMA 800 & TD-SCDMA',,,"b'2019, July'","b'Available. Released 2019, July'",b'159.5 x 75.2 x 8.1 mm (6.28 x 2.96 x 0.32 in)',b'198.5 g (7.02 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'Super AMOLED capacitive touchscreen, 16M colors'","b'6.38 inches, 99.9 cm2 (~83.3% screen-to-body ratio)'","b'1080 x 2340 pixels, 19.5:9 ratio (~404 ppi density)'",b'No',,,"b'64/128 GB, 6/8 GB RAM'",b'32-bit/192kHz audio Active noise cancellation with dedicated mic',b'Yes',,b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE, aptX'","b'Yes, with A-GPS, GLONASS, BDS, GALILEO'",b'No',"b'Type-C 1.0 reversible connector, USB On-The-Go'","b'Fingerprint (under display), accelerometer, gyro, proximity, compass'",,,,,b'Non-removable Li-Po 4500 mAh battery',,,"b'Black, Purple'","b'12 MP, f/2.0'","b'2160p@30fps, 1080p@30fps'",,b'HSDPA 850 / 900 / 1700(AWS) / 2100',"b'HSPA, LTE-A'","b'LED flash, HDR, panorama'",,b'Android 9.0 (Pie); Funtouch 9',b'Octa-core (4x2.8 GHz Kryo 385 Gold & 4x1.7 GHz Kryo 385 Silver)',,,b'1080p@30fps',b'Qualcomm SDM845 Snapdragon 845 (10 nm)',,,"b'LTE band 1(2100), 3(1800), 4(1700/2100), 5(850), 8(900), 34(2000), 38(2600), 39(1900), 40(2300), 41(2500)'",,b'Adreno 630',,b'Fast battery charging 22.5W',,b'About 250 EUR',,,"b'12 MP, f/1.8, 1/2.55"", 1.4\xc2\xb5m, dual pixel PDAF 8 MP, f/2.2, (wide) 2 MP, f/2.4, depth sensor'",b'HDR',,,,,,,b'V1914A',,,
b'vivo',b'vivo Z5x',b'https://cdn2.gsmarena.com/vv/bigpic/vivo-z5x.jpg',b'GSM / CDMA / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'CDMA 800 & TD-SCDMA',,,"b'2019, May'","b'Available. Released 2019, June'",b'162.4 x 77.3 x 8.9 mm (6.39 x 3.04 x 0.35 in)',b'204.1 g (7.20 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'IPS LCD capacitive touchscreen, 16M colors'","b'6.53 inches, 104.7 cm2 (~83.4% screen-to-body ratio)'","b'1080 x 2340 pixels, 19.5:9 ratio (~395 ppi density)'","b'microSD, up to 256 GB'",,,"b'128 GB, 6/8 GB RAM or 64 GB, 6/4 GB RAM'",b'Active noise cancellation with dedicated mic',b'Yes',,b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS, BDS'",b'No',"b'microUSB 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass'",,,,,b'Non-removable Li-Po 5000 mAh battery',,,"b'Extreme Night Black, Phantom Black, Aurora'","b'16 MP, f/2.0'",b'1080p@30fps',,b'HSDPA 850 / 900 / 2100',"b'HSPA 42.2/5.76 Mbps, LTE-A'","b'LED flash, HDR, panorama'",,b'Android 9.0 (Pie); Funtouch 9',b'Octa-core (2x2.2 GHz Kryo 360 Gold & 6x1.7 GHz Kryo 360 Silver)',,,b'1080p@30fps',b'Qualcomm SDM710 Snapdragon 710 (10 nm)',,,"b'LTE band 1(2100), 3(1800), 4(1700/2100), 5(850), 8(900), 34(2000), 38(2600), 39(1900), 40(2300), 41(2500)'",,b'Adreno 616',,b'Fast battery charging 18W',,b'About 200 EUR',,,"b'16 MP, f/1.8, (wide), AF 8 MP, f/2.2, 16mm (ultrawide) 2 MP, f/2.4, depth sensor'",,,,,,,,"b'V1911A, V1919A'",,,
b'vivo',b'vivo S1 Pro',b'https://cdn2.gsmarena.com/vv/bigpic/vivo-s1-pro.jpg',b'GSM / CDMA / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'CDMA 800 & TD-SCDMA',,,"b'2019, May'","b'Available. Released 2019, May'",b'157.3 x 74.7 x 8.2 mm (6.19 x 2.94 x 0.32 in)',b'185 g (6.53 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'Super AMOLED capacitive touchscreen, 16M colors'","b'6.39 inches, 100.2 cm2 (~85.3% screen-to-body ratio)'","b'1080 x 2340 pixels, 19.5:9 ratio (~403 ppi density)'","b'microSD, up to 256 GB'",,,"b'256 GB, 6 GB RAM or 128 GB, 6/8 GB RAM'",b'Active noise cancellation with dedicated mic',b'Yes',,b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS, BDS'",b'FM radio',"b'microUSB 2.0, USB On-The-Go'","b'Fingerprint (under display), accelerometer, gyro, proximity, compass'",,,,,b'Non-removable Li-Po 3700 mAh battery',,,"b'Blue, Red, Midsummer dream'","b'Motorized pop-up 32 MP, f/2.0'","b'2160p@30fps, 1080p@30fps'",,b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',"b'HSPA 42.2/5.76 Mbps, LTE-A'","b'LED flash, HDR, panorama'",,b'Android 9.0 (Pie); Funtouch 9',b'Octa-core (2x2.0 GHz Kryo 460 Gold & 6x1.7 GHz Kryo 460 Silver)',,,b'1080p@30fps',b'Qualcomm SDM675 Snapdragon 675 (11 nm)',,,"b'LTE band 1(2100), 3(1800), 4(1700/2100), 5(850), 8(900), 34(2000), 38(2600), 39(1900), 40(2300), 41(2500)'",,b'Adreno 612',,b'Fast battery charging 18W',,b'About 310 EUR',,,"b'48 MP, f/1.8, (wide), 1/2.0"", 0.8\xc2\xb5m, PDAF 8 MP, f/2.2, (wide) 5 MP, f/2.4, depth sensor'",b'HDR',,,,,,,"b'V1832A, V1832T'",,,
b'vivo',b'vivo Z3x',b'https://cdn2.gsmarena.com/vv/bigpic/vivo-z3x.jpg',b'GSM / CDMA / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'CDMA 800 & TD-SCDMA',,,"b'2019, April'","b'Available. Released 2019, May'",b'154.8 x 75 x 7.9 mm (6.09 x 2.95 x 0.31 in)',b'150 g (5.29 oz)',"b'Hybrid Dual SIM (Nano-SIM, dual stand-by)'","b'IPS LCD capacitive touchscreen, 16M colors'","b'6.26 inches, 97.8 cm2 (~84.2% screen-to-body ratio)'","b'1080 x 2280 pixels, 19:9 ratio (~403 ppi density)'","b'microSD, up to 256 GB (dedicated slot)'",,,"b'64 GB, 4/6 GB RAM'",b'Active noise cancellation with dedicated mic',b'Yes',,b'Yes',"b'Wi-Fi 802.11 a/b/g/n, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS, BDS'",b'FM radio',"b'microUSB 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, proximity, compass'",,,,,b'Non-removable Li-Ion 3260 mAh battery',,,"b'Black, Red, Aurora'","b'16 MP, f/2.0'",b'1080p@30fps',,b'HSDPA 850 / 900 / 2100',"b'HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps'","b'LED flash, panorama'",,b'Android 9.0 (Pie); Funtouch 9',b'Octa-core (4x2.2 GHz Kryo 260 & 4x1.8 GHz Kryo 260)',,,b'',b'Qualcomm SDM660 Snapdragon 660 (14 nm)',,,"b'LTE band 1(2100), 3(1800), 5(850), 8(900), 34(2000), 38(2600), 39(1900), 40(2300), 41(2500)'",,b'Adreno 512',,,,b'About 160 EUR',,b'Plastic back',,,,,,,,"b'13 MP, f/2.2, PDAF 2 MP, f/2.4, depth sensor'",b'V1730GA',,,
b'vivo',b'vivo Y17',b'https://cdn2.gsmarena.com/vv/bigpic/vivo-y17.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM only)',"b'LTE band 1(2100), 3(1800), 5(850), 8(900), 34(2000), 38(2600), 39(1900), 40(2300), 41(2500) - China'",,,"b'2019, April'","b'Available. Released 2019, April'",b'159.4 x 76.8 x 8.9 mm (6.28 x 3.02 x 0.35 in)',b'190.5 g (6.74 oz)',"b'Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)'","b'IPS LCD capacitive touchscreen, 16M colors'","b'6.35 inches, 99.6 cm2 (~81.4% screen-to-body ratio)'",b'720 x 1544 pixels (~268 ppi density)',"b'microSD, up to 256 GB (dedicated slot)'",,,"b'128 GB, 4 GB RAM'",b'Active noise cancellation with dedicated mic',b'Yes',,b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS, GALILEO, BDS'",b'FM radio',"b'microUSB 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, proximity, compass'",,,,,b'Non-removable Li-Po 5000 mAh battery',,,"b'Mineral Blue, Mystic Purple, Peach Pink, Peacock Blue'","b'20 MP, f/2.0 - Global 16 MP, f/2.0 - China'",b'1080p@30fps',,b'HSDPA 850 / 900 / 2100',"b'HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps'","b'LED flash, HDR, panorama'",,b'Android 9.0 (Pie); Funtouch 9',b'Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53)',,,b'',b'Mediatek MT6765 Helio P35 (12nm)',,,"b'LTE band 1(2100), 3(1800), 5(850), 8(900), 40(2300), 41(2500)'",,b'PowerVR GE8320',,b'Fast battery charging 18W',,b'About 230 EUR',,,"b'13 MP, f/2.2, PDAF 8 MP, f/2.2, 16mm (ultrawide) 2 MP, f/2.4, depth sensor'",,,,,,,,"b'1902, V1901A, V1901, 1901'",b'1.01 W/kg (head) \xc2\xa0 \xc2\xa0 0.75 W/kg (body)',,
b'vivo',b'vivo Y15',b'https://cdn2.gsmarena.com/vv/bigpic/vivo-y15-new.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'Active noise cancellation with dedicated mic',,,"b'2019, May'","b'Available. Released 2019, May'",b'159.4 x 76.8 x 8.9 mm (6.28 x 3.02 x 0.35 in)',b'190.5 g (6.74 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'IPS LCD capacitive touchscreen, 16M colors'","b'6.35 inches, 99.6 cm2 (~81.4% screen-to-body ratio)'",b'720 x 1544 pixels (~268 ppi density)',"b'microSD, up to 256 GB (dedicated slot)'",,,"b'64 GB, 4 GB RAM'",b'Non-removable Li-Po 5000 mAh battery',b'Yes',,b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS, GALILEO, BDS'",b'FM radio',"b'microUSB 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, proximity, compass'",,,,,,,,"b'Aqua Blue, Burgundy Red'","b'16 MP, f/2.0'",b'1080p@30fps',,b'HSDPA 850 / 900 / 2100',"b'HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps'","b'LED flash, HDR, panorama'",,b'Android 9.0 (Pie); Funtouch 9',b'Octa-core 2.0 GHz Cortex-A53',,,b'',b'Mediatek MT6762 Helio P22 (12 nm)',,,"b'LTE band 1(2100), 3(1800), 5(850), 8(900), 40(2300), 41(2500)'",,b'PowerVR GE8320',,,,b'About 180 EUR',,,"b'13 MP, f/2.2, PDAF 8 MP, f/2.2, 16mm (ultrawide) 2 MP, f/2.4, depth sensor'",,,,,,,,,b'1.01 W/kg (head) \xc2\xa0 \xc2\xa0 0.75 W/kg (body)',,
b'vivo',b'vivo Y12',b'https://cdn2.gsmarena.com/vv/bigpic/vivo-y12.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'Active noise cancellation with dedicated mic',,,"b'2019, June'","b'Available. Released 2019, June'",b'159.4 x 76.8 x 8.9 mm (6.28 x 3.02 x 0.35 in)',b'190.5 g (6.74 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'IPS LCD capacitive touchscreen, 16M colors'","b'6.35 inches, 99.6 cm2 (~81.4% screen-to-body ratio)'",b'720 x 1544 pixels (~268 ppi density)',"b'microSD, up to 256 GB (dedicated slot)'",,,"b'64 GB, 4 GB RAM or 32 GB, 3 GB RAM'",b'Non-removable Li-Po 5000 mAh battery',b'Yes',,b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS, GALILEO, BDS'",b'FM radio',"b'microUSB 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, proximity, compass'",,,,,,,,"b'Aqua Blue, Burgundy Red'","b'8 MP, f/2.2'",b'1080p@30fps',,b'HSDPA 850 / 900 / 2100',"b'HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps'","b'LED flash, HDR, panorama'",,b'Android 9.0 (Pie); Funtouch 9',b'Octa-core 2.0 GHz Cortex-A53',,,b'',b'Mediatek MT6762 Helio P22 (12 nm)',,,"b'LTE band 1(2100), 3(1800), 5(850), 8(900), 28(700), 38(2600), 40(2300), 41(2500)'",,b'PowerVR GE8320',,,,b'About 160 EUR',,,"b'13 MP, f/2.2, PDAF 8 MP, f/2.2, 16mm (ultrawide) 2 MP, f/2.4, depth sensor'",,,,,,,,b'1904',,,
b'vivo',b'vivo X27 Pro',b'https://cdn2.gsmarena.com/vv/bigpic/vivo-x27-pro.jpg',b'GSM / CDMA / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'CDMA 800 & TD-SCDMA',,,"b'2019, April'","b'Available. Released 2019, April'",b'165.7 x 74.6 x 9 mm (6.52 x 2.94 x 0.35 in)',b'200 g (7.05 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'Super AMOLED capacitive touchscreen, 16M colors'","b'6.7 inches, 106.6 cm2 (~86.2% screen-to-body ratio)'",b'1080 x 2460 pixels (~401 ppi density)',b'No',,,"b'256 GB, 8 GB RAM'","b'LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 17(700), 34(2000), 38(2600), 39(1900), 40(2300), 41(2500) - V1836T'",b'Yes',,b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE, EDR, aptX'","b'Yes, with A-GPS, GLONASS, BDS'",b'No',"b'2.0, Type-C 1.0 reversible connector, USB On-The-Go'","b'Fingerprint (under display), accelerometer, gyro, proximity, compass'",,,,,b'Non-removable Li-Po 4000 mAh battery',,,"b'Black, White'","b'Motorized pop-up 32 MP, f/2.0, 0.8\xc2\xb5m'","b'2160p@30fps, 1080p@30/60fps'",,b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',"b'HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat12 600/50 Mbps'","b'LED flash, HDR, panorama'",,b'Android 9.0 (Pie); Funtouch 9',b'Octa-core (2x2.2 GHz 360 Gold & 6x1.7 GHz Kryo 360 Silver)',,,b'1080p@30fps',b'Qualcomm SDM710 Snapdragon 710 (10 nm)',,,"b'LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 8(900), 34(2000), 38(2600), 39(1900), 40(2300), 41(2500) - V1836A'",,b'Adreno 616',b'Yes',b'Fast battery charging 18W',,b'About 530 EUR',,,"b'48 MP, f/1.8, (wide), 1/2"", 0.8\xc2\xb5m, PDAF 13 MP, f/2.2, 13mm (ultrawide) 2 MP, f/2.4, depth sensor'","b'LED flash, HDR'",,,,,,,"b'V1836A, V1836T'",,,
b'vivo',b'vivo S1 (China)',b'https://cdn2.gsmarena.com/vv/bigpic/vivo-s1.jpg',b'GSM / CDMA / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'CDMA 800 & TD-SCDMA',,,"b'2019, March'","b'Available. Released 2019, April'",b'162 x 76 x 8.5 mm (6.38 x 2.99 x 0.33 in)',b'189.5 g (6.70 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'IPS LCD capacitive touchscreen, 16M colors'","b'6.53 inches, 104.7 cm2 (~85.0% screen-to-body ratio)'","b'1080 x 2340 pixels, 19.5:9 ratio (~395 ppi density)'","b'microSD, up to 256 GB'",,,"b'128 GB, 6 GB RAM'",b'Active noise cancellation with dedicated mic',b'Yes',,b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS, BDS'",b'FM radio',b'microUSB 2.0',"b'Fingerprint (rear-mounted), accelerometer, proximity, compass'",,,,,b'Non-removable Li-Po 3940 mAh battery',,,"b'Blue, Pink, Ice black'","b'Motorized pop-up 25 MP, f/2.0'","b'2160p@30fps, 1080p@30fps'",,b'HSDPA 850 / 900 / 2100',"b'HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat7 300/50 Mbps'","b'LED flash, HDR, panorama'",,b'Android 9.0 (Pie); Funtouch 9',b'Octa-core (4x2.1 GHz Cortex-A73 & 4x2.0 GHz Cortex-A53)',,,b'1080p@30fps',b'Mediatek Helio P70 (12nm)',,,"b'LTE band 1(2100), 3(1800), 5(850), 8(900), 34(2000), 38(2600), 39(1900), 40(2300), 41(2500)'",,b'Mali-G72 MP3',,b'Fast battery charging 18W',,b'About 260 EUR',,,"b'12 MP, f/1.8, 13mm (ultrawide), PDAF 8 MP, f/2.2, (wide) 5 MP, f/2.4, depth sensor'",b'HDR',,,,,,,"b'V1831A, V1831T'",,,
b'vivo',b'vivo X27',b'https://cdn2.gsmarena.com/vv/bigpic/vivo-x27-.jpg',b'GSM / CDMA / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'CDMA 800 & TD-SCDMA',,,"b'2019, March'","b'Available. Released 2019, March'",b'157.7 x 74.3 x 9 mm (6.21 x 2.93 x 0.35 in)',b'188 g (6.63 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'Super AMOLED capacitive touchscreen, 16M colors'","b'6.39 inches, 101.7 cm2 (~86.8% screen-to-body ratio)'","b'1080 x 2340 pixels, 19.5:9 ratio (~400 ppi density)'","b'microSD, up to 256 GB'",,,"b'128/256 GB, 8 GB RAM'",b'Active noise cancellation with dedicated mic',b'Yes',,b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE, EDR, aptX'","b'Yes, with A-GPS, GLONASS, BDS'",b'FM radio',"b'2.0, Type-C 1.0 reversible connector'","b'Fingerprint (under display), accelerometer, gyro, proximity, compass'",,,,,b'Non-removable Li-Po 4000 mAh battery',,,"b'Blue, Gold, Symphony Summer'",b'Motorized pop-up 16 MP',"b'2160p@30fps, 1080p@30/60fps'",,b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',"b'HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat12 600/50 Mbps'","b'LED flash, HDR, panorama'",,b'Android 9.0 (Pie); Funtouch 9',b'Octa-core (2x2.2 GHz 360 Gold & 6x1.7 GHz Kryo 360 Silver)',,,b'1080p@30fps',b'Qualcomm SDM710 Snapdragon 710 (10 nm)',,,"b'LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 8(900), 34(2000), 38(2600), 39(1900), 40(2300), 41(2500)'",,b'Adreno 616',b'Yes (market dependent)',b'Fast battery charging 18W',,b'About 380 EUR',,,"b'48 MP, f/1.8, (wide), 1/2"", 0.8\xc2\xb5m, PDAF 13 MP, 13mm (ultrawide) 5 MP, f/2.4, depth sensor'",b'HDR',,,,,,,b'V1829T/A',,,
b'vivo',b'vivo V15',b'https://cdn2.gsmarena.com/vv/bigpic/vivo-v15.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'Active noise cancellation with dedicated mic',,,"b'2019, March'","b'Available. Released 2019, March'",b'161.2 x 75.9 x 8.5 mm (6.35 x 2.99 x 0.33 in)',b'189.5 g (6.70 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'IPS LCD capacitive touchscreen, 16M colors'","b'6.53 inches, 104.7 cm2 (~85.6% screen-to-body ratio)'","b'1080 x 2340 pixels, 19.5:9 ratio (~395 ppi density)'","b'microSD, up to 256 GB'",,,"b'64/128 GB, 6 GB RAM'",b'Non-removable Li-Po 4000 mAh battery',b'Yes',,b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'4.2, A2DP, LE'","b'Yes, with A-GPS, GLONASS, BDS'",b'FM radio',"b'microUSB 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass'",,,,,,,,"b'Topaz Blue, Glamour Red, Frozen Black, Royal Blue'","b'Motorized pop-up 32 MP, f/2.0, 0.8\xc2\xb5m'",b'1080p@30fps',,b'HSDPA 850 / 900 / 2100',"b'HSPA, LTE-A'","b'LED flash, HDR, panorama'",,b'Android 9.0 (Pie); Funtouch 9',b'Octa-core (4x2.1 GHz Cortex-A73 & 4x2.0 GHz Cortex-A53)',,,b'1080p@30fps',b'Mediatek Helio P70 (12nm)',,,"b'LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 38(2600), 40(2300), 41(2500)'",b'Corning Gorilla Glass 5',b'Mali-G72 MP3',,b'Fast battery charging',,b'About 310 EUR',,,"b'24 MP, f/1.8, 1/2.8"", 1.12\xc2\xb5m, Dual Pixel PDAF  8 MP, f/2.2, 13mm (ultrawide) 5 MP, f/2.4, depth sensor'",b'HDR',,,,,,,b'1819',,,
