Brand,Model Name,Model Image,Technology,2G bands,3G bands,4G bands,Speed,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,OS,Card slot,Internal,Single,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,,WLAN,Bluetooth,GPS,Radio,USB,Sensors,_1,Colors,Protection,Chipset,CPU,GPU,Dual,Features,Features_1,NFC,Models,_1_1,Price,Infrared port,Charging,Stand-by,Talk time,GPRS,EDGE,Build,Music play,Phonebook,Call records,Messaging,Games,Java,SAR EU,Display,Camera,Loudspeaker_1,Audio quality,Battery life,SAR,Keyboard,Browser,Alert types,Clock,Alarm,Languages,Dual_1,Performance,Triple,5G,Quad,Dual or Triple
b'nec',b'NEC Terrain',b'https://cdn2.gsmarena.com/vv/bigpic/nec-terrain.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 850 / 1900 / 2100',"b'LTE band 4(1700/2100), 17(700)'","b'HSPA, LTE'","b'2013, June. Released 2013, June'",b'Discontinued',b'127.5 x 64.5 x 14.5 mm (5.02 x 2.54 x 0.57 in)',b'171.8 g (6.07 oz)',b'Yes',"b'TFT capacitive touchscreen, 16M colors'","b'3.1 inches, 29.8 cm2 (~36.2% screen-to-body ratio)'","b'640 x 480 pixels, 4:3 ratio (~258 ppi density)'",b'Android 4.0 (Ice Cream Sandwich)',"b'microSD, up to 32 GB (dedicated slot)'","b'8 GB, 1 GB RAM'","b'5 MP, AF'",b'720p@30fps',b'VGA',b'',"b'Yes, with stereo speakers'",b'Yes',b'IP67 dust/water resistant (up to 1m for 30 mins) MIL-STD-810G compliant',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'FM radio',b'microUSB 2.0',"b'Accelerometer, proximity, compass'",b'Removable Li-Ion 1900 mAh battery',b'Black',b'Corning Gorilla Glass 2',b'Qualcomm MSM8960 Snapdragon S4 Plus',b'Dual-core 1.5 GHz Krait',b'Adreno 225',,b'LED flash',,b'Yes',,,b'About 330 EUR',,,b'Up to 348 h',b'Up to 10 h',,,,,,,,,,,,,,,,,b'QWERTY',,,,,,,,,,,
b'nec',b'NEC 804N',b'https://cdn2.gsmarena.com/vv/bigpic/nec-804N.gif',b'GSM / UMTS',b'GSM 900 / 1800 / 1900',b'UMTS 2100',,"b'Yes, 384 kbps'","b'2006, April'",b'Discontinued',b'93 x 48 x 23 mm (3.66 x 1.89 x 0.91 in)',b'115 g (4.06 oz)',b'Mini-SIM',"b'TFT, 65K colors'","b'2.2 inches, 15.0 cm2 (~33.6% screen-to-body ratio)'","b'240 x 320 pixels, 4:3 ratio (~182 ppi density)'",,b'microSD (dedicated slot)',b'450 MB',b'2 MP',b'Yes',b'Videocall camera',b'',b'Yes',b'No',"b'Second external 0.9-inch STN, 65K colors display (96 x 64 pixels)'",b'No',b'1.2',b'No',b'No',b'2.0',b'',"b'MP3 player with music assist buttons Mail art PC Sync Bilungual menus OR code reading Document viewer (Word, Excel, PowerPoint, PDF) Organizer'","b'Plumeria White, Coral Pink, Lapis Blue'",,,,,,,,,,b'Removable Li-Ion 720 mAh battery',,,,b'Up to 210 h',b'Up to 4 h 20 min',,,,,b'Yes',"b'20 dialed, 20 received, 20 missed calls'","b'SMS, MMS'",b'Downloadable',b'No',,,,,,,,,b'WAP 2.0',"b'Vibration; Downloadable polyphonic, MP3, MIDI ringtones'",,,,,,,,,
b'nec',b'NEC e1108',b'https://cdn2.gsmarena.com/vv/bigpic/nec-e1108.gif',b'GSM',b'GSM 900 / 1800 / 1900',,,,b'2006',b'Discontinued',b'103 x 44 x 18.5 mm (4.06 x 1.73 x 0.73 in)',b'84 g (2.96 oz)',b'Mini-SIM',"b'TFT, 65K colors'","b'1.8 inches, 10.2 cm2 (~22.5% screen-to-body ratio)'",b'128 x 160 pixels (~114 ppi density)',,b'microSD (dedicated slot)',b'28 MB',b'1.3 MP',b'Yes',,,b'Yes',b'No',b'No',b'No',b'No',b'No',b'No',b'Proprietary',b'',b'MP3 player Predictive text input Organizer',"b'Fluorescent Green, Metallic Orange'",,,,,,,,,,b'Removable Li-Ion battery',,,,b'Up to 100 h',b'Up to 2 h 20 min',b'Class 10',b'No',,,b'Yes',"b'20 dialed, 20 received, 20 missed calls'","b'SMS, MMS'",b'Yes',"b'Yes, MIDP 2.0'",,,,,,,,,b'WAP 2.0/xHTML',"b'Vibration; Downloadable polyphonic, MP3 ringtones'",,,,,,,,,
b'nec',b'NEC N344i',b'https://cdn2.gsmarena.com/vv/bigpic/nec-N344i.gif',b'GSM',b'GSM 900 / 1800 / 1900',,,,b'2005',b'Cancelled',b'109 x 47 x 11.9 mm (4.29 x 1.85 x 0.47 in)',b'95 g (3.35 oz)',b'Mini-SIM',"b'TFT, 65K colors'","b'1.8 inches, 10.2 cm2 (~19.9% screen-to-body ratio)'",b'128 x 160 pixels (~114 ppi density)',,b'No',b'5 MB',b'VGA',b'Yes',,,b'Yes',b'No',b'No',b'No',b'Yes',b'No',b'No',b'Proprietary',b'',b'Predictive text input Organizer PC Sync Photo editor Exchangable covers',b'Black',,,,,,,,,,b'Removable Li-Ion 720 mAh battery',,,,b'Up to 200 h',b'Up to 3 h',b'Class 10',b'No',,,b'Yes',"b'20 dialed, 20 received, 20 missed calls'","b'SMS, MMS, Email'",b'Downloadable',"b'Yes, DoJa 1.5'",,,,,,,,,b'i-mode',b'Vibration; Downloadable polyphonic ringtones',,,,,,,,,
b'nec',b'NEC e373',b'https://cdn2.gsmarena.com/vv/bigpic/nec-e373.gif',b'GSM / UMTS',b'GSM 900 / 1800 / 1900',b'UMTS 2100',,"b'Yes, 384 kbps'","b'2006, May'",b'Discontinued',"b'92 x 44 x 19.2 mm, 78 cc (3.62 x 1.73 x 0.76 in)'",b'90 g (3.17 oz)',b'Mini-SIM',"b'TFT, 65K colors'","b'1.9 inches, 11.4 cm2 (~28.1% screen-to-body ratio)'",b'176 x 220 pixels (~148 ppi density)',,b'No',b'32 MB',b'VGA',b'Yes',b'VGA videocall camera',b'',b'Yes',b'No',b'12 colour led backlight',b'No',b'No',b'No',b'No',b'Proprietary',b'',b'MP3 player Predictive text input Organizer Voice memo',b'Black',,,,,,,,,,b'Removable Li-Ion 1000 mAh battery',,,,b'Up to 250 h',b'Up to 3 h 40 min',,,,,"b'500 entries, Photocall'","b'20 dialed, 20 received, 20 missed calls'","b'SMS, MMS'",b'Downloadable',"b'Yes, MIDP 2.0'",,,,,,,,,b'WAP 2.0/xHTML',b'Vibration; Downloadable polyphonic ringtones',,,,,,,,,
b'nec',b'NEC e636',b'https://cdn2.gsmarena.com/vv/bigpic/nec-e636.gif',b'GSM / UMTS',b'GSM 900 / 1800 / 1900',b'UMTS 2100',,"b'Yes, 384 kbps'","b'2006, February'",b'Discontinued',"b'102 x 48 x 13.9 mm, 65 cc (4.02 x 1.89 x 0.55 in)'",b'110 g (3.88 oz)',b'Mini-SIM',"b'TFT, 256K colors'","b'2.2 inches, 33 x 45 mm, 15.0 cm2 (~30.6% screen-to-body ratio)'","b'240 x 320 pixels, 4:3 ratio (~182 ppi density)'",,b'miniSD',b'32 MB',b'2 MP',b'Yes',,,b'No',b'No',b'Second external mono OLED display',b'No',b'Yes',b'No',b'No',b'Proprietary',b'',b'CIF videocall camera',b'Black',,,,,,,,,,b'Removable Li-Ion 900 mAh battery',,,,b'Up to 270 h',b'Up to 4 h',,,,,b'500 entries',"b'20 dialed, 20 received, 20 missed calls'","b'SMS, EMS, MMS, Email'",b'Yes + downloadable',"b'Yes, MIDP 2.0'",,,,,,,,,b'WAP 2.0/xHTML',b'Vibration; Downloadable polyphonic ringtones',,,,,,,,,
b'nec',b'NEC N500i',b'https://cdn2.gsmarena.com/vv/bigpic/nec-n500i.gif',b'GSM',b'GSM 900 / 1800 / 1900',,,,"b'2006, February'",b'Discontinued',"b'93 x 46 x 25 mm, 80 cc (3.66 x 1.81 x 0.98 in)'",b'99 g (3.49 oz)',b'Mini-SIM',"b'TFT, 65K colors'","b'1.9 inches, 30 x 37 mm, 11.4 cm2 (~26.6% screen-to-body ratio)'",b'176 x 220 pixels (~148 ppi density)',,b'No',b'54 MB',b'1.3 MP',b'Yes',,,b'No',b'No',b'Second external 4096 colors OLED display',b'No',b'Yes',b'No',b'No',b'Proprietary',b'',b'No',b'Black',,,,,,b'LED flash',,,,b'Removable Li-Ion 850 mAh battery',,,,b'Up to 200 h',b'Up to 2 h 50 min',b'Class 10',b'Class 10',,,b'500 entries',"b'20 dialed, 20 received, 20 missed calls'","b'SMS, EMS, MMS, Email'",b'Yes + downloadable',"b'Yes, MIDP 2.0'",,,,,,,,,b'i-mode',b'Vibration; Downloadable polyphonic ringtones',,,,,,,,,
b'nec',b'NEC N500iS',b'https://cdn2.gsmarena.com/vv/bigpic/nec-n500is.gif',b'GSM',b'GSM 900 / 1800 / 1900',,,,"b'2006, February'",b'Discontinued',b'101 x 48 x 13.6 mm (3.98 x 1.89 x 0.54 in)',b'95 g (3.35 oz)',b'Mini-SIM',"b'TFT, 65K colors'",b'',"b'176 x 220 pixels, 1.9 inch'",,b'No',b'54 MB',b'1.3 MP',b'Yes',,,b'No',b'No',b'Second external mono OLED display (39x96 pixels)',b'No',b'Yes',b'No',b'No',b'Proprietary',b'',b'No',b'Black',,,,,,,,,,b'Removable Li-Ion 820 mAh battery',,,,b'Up to 200 h',b'Up to 3 h',b'Class 10',b'Class 10',,,b'500 entries',"b'20 dialed, 20 received, 20 missed calls'","b'SMS, EMS, MMS, Email'",b'Yes + downloadable',"b'Yes, MIDP 2.0'",,,,,,,,,"b'WAP(Nec e959),  iMode(Nec N500iS)'",b'Vibration; Downloadable polyphonic ringtones',,,,,,,,,
b'nec',b'NEC N908',b'https://cdn2.gsmarena.com/vv/bigpic/nec-n908.gif',b'GSM',b'GSM 900 / 1800 / 1900',,,,"b'2006, July'",b'Discontinued',b'83.4 x 53.2 x 12.8 mm (3.28 x 2.09 x 0.50 in)',b'84 g (2.96 oz)',b'Mini-SIM',"b'TFT resistive touchscreen, 256K colors'","b'2.2 inches, 15.0 cm2 (~33.8% screen-to-body ratio)'","b'240 x 320 pixels, 4:3 ratio (~182 ppi density)'",,b'microSD (dedicated slot)',b'31 MB',b'1.3 MP',b'Yes',,,b'No',b'No',b'Handwriting recognition',b'No',b'1.2',b'No',b'No',b'',b'',b'No',"b'Silver , Black'",,,,,,,,,,b'Removable Li-Ion battery',,,,b'Up to 100 h',b'Up to 3 h 20 min',b'Class 10',b'No',,,b'Yes',"b'20 dialed, 20 received, 20 missed calls'","b'SMS, MMS, Email'",b'',"b'Yes, MIDP 2.0'",,,,,,,,,b'WAP 2.0/xHTML',"b'Vibration; Downloadable polyphonic, MP3 ringtones'",,,,,,,,,
b'nec',b'NEC N938',b'https://cdn2.gsmarena.com/vv/bigpic/nec-n938.gif',b'GSM',b'GSM 900 / 1800',,,,"b'2005, Q2'",b'Discontinued',b'87 x 56 x 14 mm (3.43 x 2.20 x 0.55 in)',b'79 g (2.79 oz)',b'Mini-SIM',"b'TFT resistive touchscreen, 65K colors'",b'',b'176 x 220 pixels',,b'No',b'2 MB',b'VGA',b'No',,,b'No',b'No',b'Handwriting recognition Downloadable pictures',b'No',b'1.1',b'No',b'No',b'',b'',b'No',b'White',,,,,,b'LED flash',,,,b'Removable Li-Ion 550 mAh battery',,,,b'Up to 130 h',b'Up to 2 h',b'Yes',b'No',,,b'500 entries',"b'20 dialed, 20 received, 20 missed calls'","b'SMS, MMS'",b'',b'Yes',,,,,,,,,b'WAP 2.0/xHTML',b'Vibration; Downloadable polyphonic ringtones',,,,,,,,,
b'nec',b'NEC e353',b'https://cdn2.gsmarena.com/vv/bigpic/nec-e353.gif',b'GSM / UMTS',b'GSM 900 / 1800 / 1900',b'UMTS 2100',,"b'Yes, 384 kbps'","b'2005, Q4'",b'Discontinued',b'117 x 46 x 16 mm (4.61 x 1.81 x 0.63 in)',b'90 g (3.17 oz)',b'Mini-SIM',"b'TFT, 65K colors'",b'',b'176 x 220 pixels',,b'No',b'32 MB',b'VGA',b'Yes',,,b'Yes',b'No',b'Downloadable pictures',b'No',b'No',b'No',b'No',b'Proprietary',b'',b'CIF videocall camera',"b'Silver, Black'",,,,,,,,,,b'Removable Li-Ion 770 mAh battery',,,,b'Up to 190 h',b'Up to 3 h',,,,,"b'500 entries, Photocall'","b'20 dialed, 20 received, 20 missed calls'","b'SMS, EMS, MMS'",b'',"b'Yes, MIDP 2.0'",,,,,,,,,b'WAP 2.0/xHTML',b'Vibration; Downloadable polyphonic ringtones',,,,,,,,,
b'nec',b'NEC e121',b'https://cdn2.gsmarena.com/vv/bigpic/nec-e121.gif',b'GSM',b'GSM 900 / 1800 / 1900',,,,"b'2005, Q4'",b'Discontinued',b'106 x 44 x 12.4 mm (4.17 x 1.73 x 0.49 in)',b'95 g (3.35 oz)',b'Mini-SIM',"b'CSTN, 65K colors'","b'1.8 inches, 29 x 35 mm, 10.2 cm2 (~21.9% screen-to-body ratio)'",b'128 x 160 pixels (~114 ppi density)',,b'No',b'3.6 MB',b'VGA',b'No',,,b'Yes',b'No',b'Downloadable pictures',b'No',b'No',b'No',b'No',b'Proprietary',b'',b'No',b'Silver',,,,,,,,,,b'Removable Li-Ion 800 mAh battery',,,,b'Up to 150 h',b'Up to 2 h 30 min',b'Class 10',b'No',,,b'Yes',"b'20 dialed, 20 received, 20 missed calls'","b'SMS, EMS, MMS'",b'Yes',"b'Yes, MIDP 2.0'",,,,,,,,,b'WAP 2.0/xHTML',b'Vibration; Downloadable polyphonic ringtones',,,,,,,,,
b'nec',b'NEC e122',b'https://cdn2.gsmarena.com/vv/bigpic/nec-e122.gif',b'GSM',b'GSM 900 / 1800 / 1900',,,,"b'2005, Q4'",b'Discontinued',b'102.5 x 43 x 18 mm (4.04 x 1.69 x 0.71 in)',b'90 g (3.17 oz)',b'Mini-SIM',"b'CSTN, 65K colors'",b'',"b'128 x 128 pixels, 1:1 ratio'",,b'No',b'2.5 MB',b'VGA',b'No',,,b'No',b'No',b'Downloadable pictures',b'No',b'No',b'No',b'No',b'Proprietary',b'',b'No',"b'Silver, Black'",,,,,,,,,,b'Removable Li-Ion 720 mAh battery',,,,b'Up to 180 h',b'Up to 3 h',b'Class 10',b'No',,,"b'250 entries, Photocall'","b'20 dialed, 20 received, 20 missed calls'","b'SMS, EMS, MMS'",b'Yes',b'No',,,,,,,,,b'WAP 2.0/xHTML',b'Vibration; Downloadable polyphonic ringtones',,,,,,,,,
b'nec',b'NEC e949/L1',b'https://cdn2.gsmarena.com/vv/bigpic/nec-l1-e949.gif',b'GSM',b'GSM 900 / 1800 / 1900',,,,"b'2005, Q2'",b'Discontinued',b'102 x 47.9 x 11.9 mm (4.02 x 1.89 x 0.47 in)',b'96 g (3.39 oz)',b'Mini-SIM',"b'TFT, 65K colors'","b'1.9 inches, 30 x 37 mm, 11.4 cm2 (~23.3% screen-to-body ratio)'",b'176 x 220 pixels (~148 ppi density)',,b'No',b'25 MB',b'1.3 MP',b'Yes',,,b'No',b'No',b'Second external mono OLED display (96x39 pixels)',b'No',b'1.2',b'No',b'No',b'Proprietary',b'',b'No',b'Black',,,,,,,,,,b'Removable Li-Ion 600 mAh battery',,,,b'Up to 140 h',b'Up to 2 h 20 min',b'Class 10',b'No',,,b'500 entries',"b'20 dialed, 20 received, 20 missed calls'","b'SMS, EMS, MMS, Email'",b'Yes + downloadable',"b'Yes, MIDP 2.0'",,,,,,,,,b'WAP 2.0/xHTML',b'Vibration; Downloadable polyphonic ringtones',,,,,,,,,
b'nec',b'NEC N600i',b'https://cdn2.gsmarena.com/vv/bigpic/nec-n600i.gif',b'GSM / UMTS',b'GSM 900 / 1800 / 1900',b'UMTS 2100',,"b'Yes, 384 kbps'","b'2005, Q3'",b'Discontinued',b'94.4 x 47.5 x 24.5 mm (3.72 x 1.87 x 0.96 in)',b'113 g (3.99 oz)',b'Mini-SIM',"b'TFT, 65K colors'","b'2.0 inches, 30 x 40 mm, 12.4 cm2 (~27.6% screen-to-body ratio)'","b'240 x 320 pixels, 4:3 ratio (~200 ppi density)'",,"b'microSD, up to 128 MB (dedicated slot)'",b'20 MB',b'1.3 MP',b'Yes',b'VGA videocall camera',b'',b'Yes',b'No',b'Second external B/W STN display (30 x 120 pixels) Incoming LED indicator Downloadable pictures',b'No',b'1.1',b'No',b'No',b'Proprietary',b'',b'MP3 player Predictive text input Organizer',b'Silver',,,,,,b'LED flash',,,,b'Removable Li-Ion 1000 mAh battery',,,,b'Up to 200 h',b'Up to 3 h 20 min',,,,,"b'500 entries, Photocall'","b'20 dialed, 20 received, 20 missed calls'","b'SMS, EMS, MMS, Email'",b'Yes + downloadable',"b'Yes, DoJa 2.5'",,,,,,,,,b'i-mode',b'Vibration; Downloadable polyphonic ringtones',,,,,,,,,
b'nec',b'NEC e540/N411i',b'https://cdn2.gsmarena.com/vv/bigpic/nec-n411i-e540.gif',b'GSM',b'GSM 900 / 1800 / 1900',,,,"b'2005, Q1'",b'Discontinued',b'93 x 46 x 24 mm (3.66 x 1.81 x 0.94 in)',b'95 g (3.35 oz)',b'Mini-SIM',"b'TFT, 65K colors'","b'1.9 inches, 30 x 37 mm, 11.4 cm2 (~26.6% screen-to-body ratio)'",b'176 x 220 pixels (~148 ppi density)',,b'No',b'26 MB',b'1.3 MP',b'Yes',,,b'No',b'No',b'Second external 4096 colors STN display (128 x 128 pixels) Incoming LED indicator Downloadable pictures',b'No',b'1.2',b'No',b'No',b'Proprietary',b'',b'400 short messages 400 emails',b'Silver',,,,,,,,,,b'Removable Li-Ion 850 mAh battery',,b'Yes',,b'Up to 200 h',b'Up to 3 h',b'Class 10',b'No',,,b'500 entries',"b'20 dialed, 20 received, 20 missed calls'","b'SMS, EMS, MMS, Email'",b'Yes + downloadable',"b'Yes, DoJa 1.5'",,,,,,,,,"b'WAP 2.0/xHTML, iMode (N411i only)'",b'Vibration; Downloadable polyphonic ringtones',,,,,,,,,
b'nec',b'NEC N401i',b'https://cdn2.gsmarena.com/vv/bigpic/nec-n401i.gif',b'GSM',b'GSM 900 / 1800 / 1900',,,,"b'2005, Q1'",b'Discontinued',"b'90 x 44 x 23 mm, 85 cc (3.54 x 1.73 x 0.91 in)'",b'90 g (3.17 oz)',b'Mini-SIM',b'65K colors',"b'1.9 inches, 30 x  37 mm, 11.4 cm2 (~28.7% screen-to-body ratio)'",b'176 x 220 pixels (~148 ppi density)',,b'No',b'22 MB',b'VGA',b'Yes',,,b'No',b'No',b'Second external 4096 colors LCD display (30 x 120 pixels) Incoming LED indicator Downloadable pictures',b'No',b'No',b'No',b'No',b'Proprietary',b'',b'No',b'',,,,,,b'LED flash',,,,b'Removable Li-Ion 850 mAh battery',,b'Yes',,b'Up to 200 h',b'Up to 3 h 20 min',b'Yes',b'No',,,"b'500 entries, Photocall'","b'20 dialed, 20 received, 20 missed calls'","b'SMS, EMS, MMS, EMail'",b'Yes + downloadable',"b'Yes, DoJa 1.5'",,,,,,,,,b'iMode',b'Vibration; Downloadable polyphonic ringtones',,,,,,,,,
