Brand,Model Name,Model Image,Technology,2G bands,,GPRS,EDGE,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,Card slot,Phonebook,Call records,Internal,_1,Loudspeaker,Alert types,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,Messaging,Browser,Games,Java,_1_1,Stand-by,Talk time,Colors,Single,Video,Infrared port,3G bands,Speed,Features,Keyboard,OS,CPU,Languages,Single_1,Video_1,Chipset,Clock,Alarm,4G bands,Protection,GPU,NFC,Charging,Music play,Price,Loudspeaker_1,Build,Triple,Features_1,Performance,Display,Camera,Audio quality,Battery life,Dual,Models,SAR,SAR EU,Dual_1,5G
b'xiaomi',b'Xiaomi Mi A3',b'https://cdn2.gsmarena.com/vv/bigpic/xiaomi-mi-a3.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'Active noise cancellation with dedicated mic',,,"b'2019, July'","b'Available. Released 2019, July'",b'153.5 x 71.9 x 8.5 mm (6.04 x 2.83 x 0.33 in)',b'173.8 g (6.14 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'Super AMOLED capacitive touchscreen, 16M colors'","b'6.01 inches, 88.7 cm2 (~80.3% screen-to-body ratio)'","b'720 x 1560 pixels, 19.5:9 ratio (~286 ppi density)'","b'microSD, up to 256 GB (uses shared SIM slot)'",,,"b'64/128 GB, 4 GB RAM'",b'Non-removable Li-Po 4030 mAh battery',b'Yes',,b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE, aptX HD'","b'Yes, with A-GPS, GLONASS, BDS'",b'FM radio',"b'2.0, Type-C 1.0 reversible connector'","b'Fingerprint (under display), accelerometer, gyro, proximity, compass'",,,,,,,,"b'Kind of Gray, Not just Blue, More than White'","b'32 MP, f/2.0, 0.8\xc2\xb5m'","b'2160p@30fps, 1080p@30/60/120fps'",b'Yes',b'HSDPA 850 / 900 / 1700 / 1900 / 2100',"b'HSPA 42.2/5.76 Mbps, LTE-A (2CA) 450/50 Mbps'","b'LED flash, HDR, panorama'",,b'Android 9.0 (Pie); Android One',b'Octa-core (2x2.0 GHz Kryo 260 Gold & 6x1.8 GHz Kryo 260 Silver)',,,b'1080p@30fps',b'Qualcomm SDM665 Snapdragon 665 (11 nm)',,,"b'LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 20(800), 28(700), 38(2600), 40(2300) - SIM 1 & SIM 2'",b'Corning Gorilla Glass 5',b'Adreno 610',,b'Fast battery charging 18W (Quick Charge 3)',,b'About 250 EUR',,"b'Back glass (Gorilla Glass 5), aluminum frame'","b'48 MP, f/1.8, (wide), 1/2"", 0.8\xc2\xb5m, PDAF 8 MP, (ultrawide), f/2.2, 1.12\xc2\xb5m 2 MP, f/2.4, depth sensor'",b'HDR',,,,,,,,,,,
b'xiaomi',b'Xiaomi Redmi 7A',b'https://cdn2.gsmarena.com/vv/bigpic/xiaomi-redmi-7a-mzb8008in.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',"b'LTE band 1(2100), 3(1800), 5(850), 8(900), 40(2300), 41(2500) - India'",,,"b'2019, May'","b'Available. Released 2019, June'",b'146.3 x 70.4 x 9.6 mm (5.76 x 2.77 x 0.38 in)',b'165 g (5.82 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'IPS LCD capacitive touchscreen, 16M colors'","b'5.45 inches, 76.7 cm2 (~74.4% screen-to-body ratio)'","b'720 x 1440 pixels, 18:9 ratio (~295 ppi density)'","b'microSD, up to 256 GB (dedicated slot)'",,,"b'32 GB, 2/3 RAM or 16 GB, 2 GB RAM'",b'Splash resistant',b'Yes',,b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.2, A2DP, LE'","b'Yes, with A-GPS, GLONASS, BDS'","b'FM Radio, built-in antenna'",b'microUSB 2.0',"b'Accelerometer, proximity, compass'",,,,,b'Non-removable Li-Po 4000 mAh battery',,,"b'Matte Black, Morning blue, Matte Blue, Matte Gold'","b'13 MP, f/2.2, 1.12\xc2\xb5m, PDAF - China or 12 MP, f/2.2, 1/2.9"", 1.25\xc2\xb5m, PDAF - India'",b'1080p@30fps',,b'HSDPA 850 / 900 / 1900 / 2100',"b'HSPA, LTE-A'","b'LED flash, HDR'",,b'Android 9.0 (Pie); MIUI 9',b'Octa-core (2x2.0 GHz Cortex-A53 & 6x1.45 GHz Cortex A53)',,"b'5 MP, f/2.2, 1.12\xc2\xb5m'",b'1080p@30fps',b'Qualcomm SDM439 Snapdragon 439 (12 nm)',,,"b'LTE band 1(2100), 3(1800), 5(850), 8(900), 34(2000), 38(2600), 39(1900), 40(2300), 41(2500) - China'",,b'Adreno 505',,b'Fast battery charging 10W - China only',,b'About 100 EUR',,,,b'HDR',,,,,,,"b'MZB7995IN, M1903C3EG, M1903C3EH, M1903C3EI'",b'0.74 W/kg (head) \xc2\xa0 \xc2\xa0 0.79 W/kg (body)',,,
b'xiaomi',b'Xiaomi Mi CC9e',b'https://cdn2.gsmarena.com/vv/bigpic/xiaomi-mi-cc9e-.jpg',b'GSM / CDMA / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'CDMA 800 & TD-SCDMA',,,"b'2019, July'","b'Available. Released 2019, July'",b'153.5 x 71.9 x 8.5 mm (6.04 x 2.83 x 0.33 in)',b'173.8 g (6.14 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'Super AMOLED capacitive touchscreen, 16M colors'","b'6.01 inches, 88.7 cm2 (~80.3% screen-to-body ratio)'","b'720 x 1560 pixels, 19.5:9 ratio (~286 ppi density)'","b'microSD, up to 256 GB (uses shared SIM slot)'",,,"b'128 GB, 6 GB RAM or 64, 4/6 GB RAM'",b'Active noise cancellation with dedicated mic',b'Yes',,b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE, aptX HD'","b'Yes, with A-GPS, GLONASS, BDS'",b'FM radio',"b'2.0, Type-C 1.0 reversible connector'","b'Fingerprint (under display), accelerometer, gyro, proximity, compass'",,,,,b'Non-removable Li-Po 4030 mAh battery',,,"b'Black, Blue, White'","b'32 MP, f/2.0, 0.8\xc2\xb5m'","b'2160p@30fps, 1080p@30/60/120fps'",b'Yes',b'HSDPA 850 / 900 / 2100',"b'HSPA 42.2/5.76 Mbps, LTE-A (2CA) 450/50 Mbps'","b'LED flash, HDR, panorama'",,b'Android 9.0 (Pie); MIUI 10',b'Octa-core (2x2.0 GHz Kryo 260 Gold & 6x1.8 GHz Kryo 260 Silver)',,,b'1080p@30fps',b'Qualcomm SDM665 Snapdragon 665 (11 nm)',,,"b'LTE band 1(2100), 3(1800), 5(850), 8(900), 34(2000), 38(2600), 39(1900), 40(2300), 41(2500)'",b'Corning Gorilla Glass 5',b'Adreno 610',,b'Fast battery charging 18W',,b'About 170 EUR',,,"b'48 MP, f/1.8, (wide), 1/2"", 0.8\xc2\xb5m, PDAF 8 MP, (ultrawide), f/2.2, 1.12\xc2\xb5m 2 MP, f/2.4, depth sensor'",b'HDR',,,,,,,,,,,
b'xiaomi',b'Xiaomi Mi CC9',b'https://cdn2.gsmarena.com/vv/bigpic/xiaomi-mi-cc9-.jpg',b'GSM / CDMA / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'CDMA 800 & TD-SCDMA',,,"b'2019, July'","b'Coming soon. Exp. release 2019, July'",b'156.8 x 74.5 x 8.7 mm (6.17 x 2.93 x 0.34 in)',b'179 g (6.31 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'Super AMOLED capacitive touchscreen, 16M colors'","b'6.39 inches, 100.2 cm2 (~85.8% screen-to-body ratio)'","b'1080 x 2340 pixels, 19.5:9 ratio (~403 ppi density)'","b'microSD, up to 256 GB (uses shared SIM slot)'",,,"b'64/128 GB, 6 GB RAM or 256 GB, 8 GB RAM (CC9mt only)'",b'HDR',b'Yes',,b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE, aptX HD'","b'Yes, with A-GPS, GLONASS, GALILEO, BDS'",b'FM radio',"b'2.0, Type-C 1.0 reversible connector'","b'Fingerprint (under display), accelerometer, gyro, proximity, compass'",,,,,b'Non-removable Li-Po 4030 mAh battery',,,"b'Black, Blue, White'","b'32 MP, f/2.0, 0.8\xc2\xb5m'","b'2160p@30fps, 1080p@30/60/120fps, 720p@960fps'",b'Yes',b'HSDPA 850 / 900 / 1900 / 2100',"b'HSPA 42.2/5.76 Mbps, LTE-A'","b'LED flash, HDR, panorama'",,b'Android 9.0 (Pie); MIUI 10',b'Octa-core (2x2.2 GHz Kryo 360 Gold & 6x1.7 GHz Kryo 360 Silver)',,,b'1080p@30fps',b'Qualcomm SDM710 Snapdragon 710 (10 nm)',,,"b'LTE band 1(2100), 3(1800), 5(850), 8(900), 34(2000), 38(2600), 39(1900), 40(2300), 41(2500)'",b'Corning Gorilla Glass 5',b'Adreno 616',b'Yes',b'Fast battery charging 18W',,,,,"b'48 MP, f/1.8, (wide), 1/2"", 0.8\xc2\xb5m, PDAF 8 MP, (ultrawide) 2 MP, depth sensor'",b'HDR',,,,,,,,,,,
b'xiaomi',b'Xiaomi Mi 9T',b'https://cdn2.gsmarena.com/vv/bigpic/xiaomi-mi-9t.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HDR',,,"b'2019, June'","b'Available. Released 2019, June'",b'156.7 x 74.3 x 8.8 mm (6.17 x 2.93 x 0.35 in)',b'191 g (6.74 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'AMOLED capacitive touchscreen, 16M colors'","b'6.39 inches, 100.2 cm2 (~86.1% screen-to-body ratio)'","b'1080 x 2340 pixels, 19.5:9 ratio (~403 ppi density)'",b'No',,,"b'64/128 GB, 6 GB RAM'",b'24-bit/192kHz audio Active noise cancellation with dedicated mic',b'Yes',,b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE, aptX HD'","b'Yes, with A-GPS, GLONASS, GALILEO, BDS'",b'FM radio',"b'2.0, Type-C 1.0 reversible connector, USB On-The-Go'","b'Fingerprint (under display), accelerometer, gyro, proximity, compass'",,,,,b'Non-removable Li-Po 4000 mAh battery',,,"b'Carbon black, Red flame, Glacier blue'","b'Motorized pop-up 20 MP, f/2.2, 0.8\xc2\xb5m'","b'2160p@30fps, 1080p@30/120/240fps, 1080p@960fps'",,b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',"b'HSPA 42.2/5.76 Mbps, LTE-A'","b'Dual-LED flash, HDR, panorama'",,b'Android 9.0 (Pie); MIUI 10',b'Octa-core (2x2.2 GHz Kryo 470 Gold & 6x1.8 GHz Kryo 470 Silver)',,,b'1080p@30fps',b'Qualcomm SDM730 Snapdragon 730 (8 nm)',,,"b'LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 20(800), 28(700), 38(2600), 40(2300)'",b'Corning Gorilla Glass 5',b'Adreno 618',b'Yes',b'Fast battery charging 18W',,b'About 300 EUR',b'Voice 70dB / Noise 74dB / Ring 81dB',"b'Front/back glass, aluminum frame'","b'48 MP, f/1.8, 26mm (wide), 1/2"", 0.8\xc2\xb5m, PDAF 8 MP, f/2.4, 53mm (telephoto), 1/4"", 1.12\xc2\xb5m, PDAF, 2x optical zoom 13 MP, f/2.4, 12mm (ultrawide), 1/3"", 1.12\xc2\xb5m'",b'HDR',b'Basemark OS II: 3802 / Basemark OS II 2.0: 3102Basemark X: 31318',b'Contrast ratio: Infinite (nominal)',b'Photo / Video',b'Noise -93.5dB / Crosstalk -93.8dB',b'Endurance rating 100h',,b'M1903F10G',b'1.34 W/kg (head) \xc2\xa0 \xc2\xa0 1.51 W/kg (body)',,,
b'xiaomi',b'Xiaomi Redmi K20',b'https://cdn2.gsmarena.com/vv/bigpic/xiaomi-redmi-k20pro-.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HDR',,,"b'2019, May'","b'Available. Released 2019, June'",b'156.7 x 74.3 x 8.8 mm (6.17 x 2.93 x 0.35 in)',b'191 g (6.74 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'AMOLED capacitive touchscreen, 16M colors'","b'6.39 inches, 100.2 cm2 (~86.1% screen-to-body ratio)'","b'1080 x 2340 pixels, 19.5:9 ratio (~403 ppi density)'",b'No',,,"b'256 GB, 8 GB RAM or 64/128 GB, 6 GB RAM'",b'24-bit/192kHz audio Active noise cancellation with dedicated mic',b'Yes',,b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE, aptX HD'","b'Yes, with A-GPS, GLONASS, GALILEO, BDS'",b'Yes',"b'2.0, Type-C 1.0 reversible connector, USB On-The-Go'","b'Fingerprint (under display), accelerometer, gyro, proximity, compass'",,,,,b'Non-removable Li-Po 4000 mAh battery',,,"b'Carbon black, Red flame, Glacier blue'","b'Motorized pop-up 20 MP, f/2.2, 0.8\xc2\xb5m'","b'2160p@30fps, 1080p@30/120/240fps, 1080p@960fps'",,b'HSDPA 850 / 900 / 1900 / 2100',"b'HSPA 42.2/5.76 Mbps, LTE-A'","b'Dual-LED flash, HDR, panorama'",,b'Android 9.0 (Pie); MIUI 10',b'Octa-core (2x2.2 GHz Kryo 470 Gold & 6x1.8 GHz Kryo 470 Silver)',,,b'1080p@30fps',b'Qualcomm SDM730 Snapdragon 730 (8 nm)',,,"b'LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 34(2000), 38(2600), 39(1900), 40(2300), 41(2500)'",b'Corning Gorilla Glass 5',b'Adreno 618',b'Yes',b'Fast battery charging 18W',,b'About 260 EUR',,"b'Front/back glass, aluminum frame'","b'48 MP, f/1.8, 26mm (wide), 1/2"", 0.8\xc2\xb5m, PDAF 8 MP, f/2.4, 53mm (telephoto), 1/4"", 1.12\xc2\xb5m, PDAF, 2x optical zoom 13 MP, f/2.4, 12mm (ultrawide), 1/3"", 1.12\xc2\xb5m'",b'HDR',,,,,,,b'M1903F10I',b'1.07 W/kg (head) \xc2\xa0 \xc2\xa0 0.72 W/kg (body)',,,
b'xiaomi',b'Xiaomi Redmi K20 Pro',b'https://cdn2.gsmarena.com/vv/bigpic/xiaomi-redmi-k20pro-.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HDR',,,"b'2019, May'","b'Available. Released 2019, June'",b'156.7 x 74.3 x 8.8 mm (6.17 x 2.93 x 0.35 in)',b'191 g (6.74 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'Super AMOLED capacitive touchscreen, 16M colors'","b'6.39 inches, 100.2 cm2 (~86.1% screen-to-body ratio)'","b'1080 x 2340 pixels, 19.5:9 ratio (~403 ppi density)'",b'No',,,"b'256 GB, 8 GB RAM or 128 GB, 6/8 GB RAM or 64 GB, 6 GB RAM'",b'24-bit/192kHz audio Active noise cancellation with dedicated mic',b'Yes',,b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE, aptX HD'","b'Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO'",b'Yes',"b'2.0, Type-C 1.0 reversible connector, USB On-The-Go'","b'Fingerprint (under display), accelerometer, gyro, proximity, compass'",,,,,b'Non-removable Li-Po 4000 mAh battery',,,"b'Carbon black, Flame red, Glacier blue'","b'Motorized pop-up 20 MP, f/2.2, 0.8\xc2\xb5m'","b'2160p@30/60fps, 1080p@30/120/240fps, 1080p@960fps'",,b'HSDPA 850 / 900 / 1900 / 2100',"b'HSPA 42.2/5.76 Mbps, LTE-A'","b'Dual-LED flash, HDR, panorama'",,b'Android 9.0 (Pie); MIUI 10',b'Octa-core (1x2.84 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.8 GHz Kryo 485)',,,b'1080p@30fps',b'Qualcomm SDM855 Snapdragon 855 (7 nm)',,,"b'LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 34(2000), 38(2600), 39(1900), 40(2300), 41(2500)'",b'Corning Gorilla Glass 5',b'Adreno 640',b'Yes',b'Fast battery charging 27W (Quick Charge 4+)',,b'About 350 EUR',,,"b'48 MP, f/1.8, 26mm (wide), 1/2"", 0.8\xc2\xb5m, PDAF/Laser AF 8 MP, f/2.4, 53mm (telephoto), 1/4"", 1.12\xc2\xb5m, PDAF/Laser AF, 2x optical zoom 13 MP, f/2.4, 12mm (ultrawide), 1/3"", 1.12\xc2\xb5m'",b'HDR',,,,,,,b'M1903F11I',b'1.03 W/kg (head) \xc2\xa0 \xc2\xa0 0.72 W/kg (body)',,,
b'xiaomi',b'Xiaomi Redmi Note 7S',b'https://cdn2.gsmarena.com/vv/bigpic/xiaomi-redmi-note-7s.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'Splash resistant',,,"b'2019, May'","b'Available. Released 2019, May'",b'159.2 x 75.2 x 8.1 mm (6.27 x 2.96 x 0.32 in)',b'186 g (6.56 oz)',"b'Hybrid Dual SIM (Nano-SIM, dual stand-by)'","b'IPS LCD capacitive touchscreen, 16M colors'","b'6.3 inches, 97.4 cm2 (~81.4% screen-to-body ratio)'","b'1080 x 2340 pixels, 19.5:9 ratio (~409 ppi density)'","b'microSD, up to 256 GB (uses shared SIM slot)'",,,"b'64 GB, 4 GB RAM or 32 GB, 3 GB RAM'",b'Active noise cancellation with dedicated mic',b'Yes',,b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS, BDS'","b'FM radio, recording'","b'2.0, Type-C 1.0 reversible connector'","b'Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass'",,,,,b'Non-removable Li-Po 4000 mAh battery',,,"b'Onyx Black, Sapphire Blue, Ruby Red'","b'13 MP, f/2.0, 1.12\xc2\xb5m'","b'1080p@30/60/120fps, (gyro-EIS)'",b'Yes',b'HSDPA 850 / 900 / 1900 / 2100',"b'HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat12 600/150 Mbps'","b'Dual-LED flash, HDR, panorama'",,b'Android 9.0 (Pie); MIUI 10',b'Octa-core (4x2.2 GHz Kryo 260 & 4x1.8 GHz Kryo 260)',,,b'1080p@30fps',b'Qualcomm SDM660 Snapdragon 660 (14 nm)',,,"b'LTE band 1(2100), 3(1800), 5(850), 8(900), 40(2300), 41(2500)'",b'Corning Gorilla Glass 5',b'Adreno 512',,b'Fast battery charging 18W (Quick Charge 4)',,b'About 140 EUR',,"b'Front/back glass (Gorilla Glass 5), plastic frame'",,b'HDR',,,,,,"b'48 MP, f/1.8, (wide), 1/2"", 0.8\xc2\xb5m, PDAF 5 MP, f/2.2, depth sensor'",b'M1901F71',,,,
b'xiaomi',b'Xiaomi Redmi Y3',b'https://cdn2.gsmarena.com/vv/bigpic/xiaomi-redmi-y3.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',"b'LTE band 1(2100), 3(1800), 5(850), 8(900), 40(2300), 41(2500) - India'",,,"b'2019, April'","b'Available. Released 2019, April'",b'158.7 x 75.6 x 8.5 mm (6.25 x 2.98 x 0.33 in)',b'180 g (6.35 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'IPS LCD capacitive touchscreen, 16M colors'","b'6.26 inches, 97.8 cm2 (~81.5% screen-to-body ratio)'","b'720 x 1520 pixels, 19:9 ratio (~269 ppi density)'","b'microSD, up to 1 TB (dedicated slot)'",,,"b'64 GB, 4 GB RAM or 32 GB, 3 GB RAM'",b'Splash resistant',b'Yes',,b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.2, A2DP, LE'","b'Yes, with A-GPS, GLONASS, GALILEO'",b'FM radio',"b'microUSB 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass'",,,,,b'Non-removable Li-Po 4000 mAh battery',,,"b'Elegant Blue, Bold Red, Prime Black'","b'32 MP, f/2.2, 0.8\xc2\xb5m'","b'1080p@30/60fps, gyro-EIS'",b'Yes',b'HSDPA 850 / 900 / 1900 / 2100',"b'HSPA, LTE-A'","b'LED flash, panorama, HDR'",,b'Android 9.0 (Pie); MIUI 9',b'Octa-core (4x1.8 GHz Kryo 250 Gold & 4x1.8 GHz Kryo 250 Silver)',,,b'1080p@30fps',b'Qualcomm SDM632 Snapdragon 632 (14 nm)',,,"b'LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 20(800), 28(700), 38(2600), 40(2300)'",b'Corning Gorilla Glass 5',b'Adreno 506',,b'Fast battery charging 10W',,b'About 10000 INR',,"b'Front glass, plastic body'",,b'HDR',,,,,,"b'12 MP, f/2.2, 1.25\xc2\xb5m, PDAF 2 MP, depth sensor'","b'M1810F6G, M1810F6I'",b'0.58 W/kg (head) \xc2\xa0 \xc2\xa0 1.25 W/kg (body)',,,
b'xiaomi',b'Xiaomi Black Shark 2',b'https://cdn2.gsmarena.com/vv/bigpic/xiaomi-black-shark-2.jpg',b'GSM / CDMA / HSPA / EVDO / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'CDMA 800 & TD-SCDMA',,,"b'2019, March'","b'Available. Released 2019, March'",b'163.6 x 75 x 8.8 mm (6.44 x 2.95 x 0.35 in)',b'205 g (7.23 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'AMOLED capacitive touchscreen, 16M colors'","b'6.39 inches, 100.2 cm2 (~81.7% screen-to-body ratio)'","b'1080 x 2340 pixels, 19.5:9 ratio (~403 ppi density)'",b'No',,,"b'256 GB, 8/12 GB RAM, 128 GB, 6/8 GB RAM'",b'CDMA2000 1xEV-DO',"b'Yes, with stereo speakers'",,b'No',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, aptX HD, LE'","b'Yes, with A-GPS, GLONASS, BDS'",b'No',"b'2.0, Type-C 1.0 reversible connector'","b'Fingerprint (under display), accelerometer, gyro, proximity, compass'",,,,,b'Non-removable Li-Ion 4000 mAh battery',,,"b'Black, Silver, Blue'","b'20 MP, f/2.0, 0.9\xc2\xb5m'","b'2160p@30fps, 1080p@30fps, 720p@120fps'",,b'HSDPA 850 / 900 / 1900 / 2100',"b'HSPA 42.2/5.76 Mbps, LTE-A (5CA) Cat18 1200/150 Mbps'","b'LED flash, HDR, panorama'",,b'Android 9.0 (Pie)',b'Octa-core (1x2.84 GHz Kryo 485 & 3x2.41 GHz Kryo 485 & 4x1.78 GHz Kryo 485)',,,b'1080p@30fps',b'Qualcomm SDM855 Snapdragon 855 (7 nm)',,,"b'LTE band 1(2100), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 20(800), 34(2000), 38(2600), 39(1900), 40(2300), 41(2500)'",,b'640',,b'Fast battery charging 27W',,b'About 450 EUR',b'Voice 67dB / Noise 73dB / Ring 82dB',"b'Front glass, aluminum body'",,b'HDR',b'Basemark OS II: 4361 / Basemark OS II 2.0: 3450Basemark X: 43768',b'Contrast ratio: Infinite (nominal)',b'Photo / Video',b'Noise -90.7dB / Crosstalk -93.4dB',b'Endurance rating 93h',"b'48 MP, f/1.8, (wide), 1/2"", 0.8\xc2\xb5m, PDAF 12 MP, f/2.2, (telephoto), 1.0\xc2\xb5m, PDAF, 2x optical zoom'","b'SKW-H0, SKW-A0'",,,,
b'xiaomi',b'Xiaomi Redmi 7',b'https://cdn2.gsmarena.com/vv/bigpic/xiaomi-redmi-7.jpg',b'GSM / CDMA / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'CDMA 800 & TD-SCDMA - China',,,"b'2019, March'","b'Available. Released 2019, March'",b'158.7 x 75.6 x 8.5 mm (6.25 x 2.98 x 0.33 in)',b'180 g (6.35 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'IPS LCD capacitive touchscreen, 16M colors'","b'6.26 inches, 97.8 cm2 (~81.5% screen-to-body ratio)'","b'720 x 1520 pixels, 19:9 ratio (~269 ppi density)'","b'microSD, up to 1 TB (dedicated slot)'",,,"b'64 GB, 4 GB RAM (China only) or 32/64 GB, 3 GB RAM or 16 GB, 2 GB RAM'",b'HSDPA 850 / 900 / 1900 / 2100  - China',b'Yes',,b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.2, A2DP, LE, aptX HD'","b'Yes, with A-GPS, GLONASS, GALILEO, BDS'",b'FM radio',"b'microUSB 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, proximity, compass'",,,,,b'Non-removable Li-Po 4000 mAh battery',,,"b'Lunar Red, Eclipse Black, Comet Blue'","b'12 MP, f/2.2, 1.25\xc2\xb5m, PDAF 2 MP, depth sensor'",b'1080p@30/60fps',b'Yes',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - Global',"b'HSPA, LTE-A'","b'LED flash, HDR, panorama'",,b'Android 9.0 (Pie); MIUI 9',b'Octa-core (4x1.8 GHz Kryo 250 Gold & 4x1.8 GHz Kryo 250 Silver)',,"b'8 MP, f/2.0, 1.12\xc2\xb5m'",b'1080p@30fps',b'Qualcomm SDM632 Snapdragon 632 (14 nm)',,,"b'LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 20(800), 38(2600), 40(2300) - Global'",b'Corning Gorilla Glass 5',b'Adreno 506',,b'Fast battery charging 10W',,b'About 130 EUR',,,,b'HDR',,,,,,,"b'M1810F6LG, M1810F6LH, M1810F6LI'",b'0.58 W/kg (head) \xc2\xa0 \xc2\xa0 1.25 W/kg (body)',,,
