Brand,Model Name,Model Image,Technology,2G bands,3G bands,4G bands,Speed,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,OS,Card slot,Internal,Single,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,,WLAN,Bluetooth,GPS,Radio,USB,Sensors,_1,Colors,Protection,Chipset,CPU,GPU,Dual,Features,Features_1,NFC,Models,_1_1,Price,Infrared port,Charging,Stand-by,Talk time,GPRS,EDGE,Build,Music play,Phonebook,Call records,Messaging,Games,Java,SAR EU,Display,Camera,Loudspeaker_1,Audio quality,Battery life,SAR,Keyboard,Browser,Alert types,Clock,Alarm,Languages,Dual_1,Performance,Triple,5G
b'gigabyte',b'Gigabyte GSmart Essence 4',b'https://cdn2.gsmarena.com/vv/bigpic/gigabyte-essence4.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 2100',,b'HSPA 21.1/5.76 Mbps',"b'2015, October'","b'Available. Released 2015, November'",b'124 x 62 x 9.6 mm (4.88 x 2.44 x 0.38 in)',b'105 g (3.70 oz)',"b'Dual SIM (Mini-SIM, dual stand-by)'",b'TFT capacitive touchscreen',"b'4.0 inches, 45.5 cm2 (~59.2% screen-to-body ratio)'","b'480 x 800 pixels, 5:3 ratio (~233 ppi density)'",b'Android 4.4 (KitKat)',"b'microSD, up to 32 GB (dedicated slot)'","b'4 GB, 512 MB RAM'",b'2 MP',b'Yes',b'VGA',b'',b'Yes',b'Yes',b'Removable Li-Ion 1300 mAh battery',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'FM radio',b'microUSB 2.0',"b'Accelerometer, proximity'",,b'Black',,b'Mediatek MT6572 (28 nm)',b'Dual-core 1.0 GHz Cortex-A7',b'Mali-400',,,,,,,b'About 60 EUR',,,b'Up to 300 h',b'Up to 12 h',,,,,,,,,,,,,,,,,,,,,,,,,,
b'gigabyte',b'Gigabyte GSmart Classic Lite',b'https://cdn2.gsmarena.com/vv/bigpic/gigabyte-classic-lite.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 2100',,b'HSPA 21.1/5.76 Mbps',"b'2015, October'","b'Available. Released 2015, November'",b'143 x 73 x 9.2 mm (5.63 x 2.87 x 0.36 in)',b'145 g (5.11 oz)',"b'Dual SIM (Mini-SIM/ Micro-SIM, dual stand-by)'","b'IPS LCD capacitive touchscreen, 16M colors'","b'5.0 inches, 68.9 cm2 (~66.0% screen-to-body ratio)'","b'480 x 854 pixels, 16:9 ratio (~196 ppi density)'",b'Android 4.4 (KitKat)',"b'microSD, up to 32 GB (dedicated slot)'","b'8 GB, 512 MB RAM'",b'5 MP',b'Yes',b'2 MP',b'',b'Yes',b'Yes',b'Removable Li-Ion 2100 mAh battery',"b'Wi-Fi 802.11 b/g/n, hotspot'",b'2.1',"b'Yes, with A-GPS'",b'FM radio',b'microUSB 2.0',"b'Accelerometer, proximity'",,b'Black',,b'Spreadtrum SC7731',b'Quad-core 1.2 GHz',b'Mali-400',,b'LED flash',,,,,b'About 80 EUR',,,b'Up to 250 h',b'Up to 12 h',,,,,,,,,,,,,,,,,,,,,,,,,,
b'gigabyte',b'Gigabyte GSmart Essence',b'https://cdn2.gsmarena.com/vv/bigpic/gigabyte-essence.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 2100',,b'HSPA 21.1/5.76 Mbps',"b'2015, October'","b'Available. Released 2015, October'",b'134 x 67 x 8.8 mm (5.28 x 2.64 x 0.35 in)',b'125 g (4.41 oz)',"b'Dual SIM (Mini-SIM/ Micro-SIM, dual stand-by)'","b'IPS LCD capacitive touchscreen, 16M colors'","b'4.5 inches, 55.8 cm2 (~62.2% screen-to-body ratio)'","b'480 x 854 pixels, 16:9 ratio (~218 ppi density)'",b'Android 4.4 (KitKat)',"b'microSD, up to 32 GB (dedicated slot)'","b'8 GB, 512 MB RAM'",b'5 MP',b'Yes',b'2 MP',b'',b'Yes',b'Yes',b'Removable Li-Ion 1600 mAh battery',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'2.1, EDR'","b'Yes, with A-GPS'",b'FM radio',b'microUSB 2.0',"b'Accelerometer, proximity'",,"b'Black, White'",,b'Spreadtrum SC7731',b'Quad-core 1.2 GHz',b'Mali-400',,b'LED flash',,,,,b'About 70 EUR',,,b'Up to 240 h',b'Up to 12 h',,,,,,,,,,,,,,,,,,,,,,,,,,
b'gigabyte',b'Gigabyte GSmart Classic',b'https://cdn2.gsmarena.com/vv/bigpic/gigabyte-classic.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 2100',,b'HSPA 21.1/5.76 Mbps',"b'2015, October'","b'Available. Released 2015, October'",b'145 x 73 x 8.6 mm (5.71 x 2.87 x 0.34 in)',b'150 g (5.29 oz)',"b'Dual SIM (Mini-SIM/ Micro-SIM, dual stand-by)'","b'IPS LCD capacitive touchscreen, 16M colors'","b'5.0 inches, 68.9 cm2 (~65.1% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~294 ppi density)'",b'Android 5.1 (Lollipop)',"b'microSD, up to 32 GB (dedicated slot)'","b'8 GB, 1 GB RAM'","b'8 MP, AF'",b'Yes',b'5 MP',b'',b'Yes',b'Yes',b'Removable Li-Ion 2000 mAh battery',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'2.1, EDR'","b'Yes, with A-GPS'",b'FM radio',b'microUSB 2.0',"b'Accelerometer, proximity'",,"b'Black, Gray'",,b'Spreadtrum SC7731',b'Quad-core 1.2 GHz',b'Mali-400',,b'LED flash',,,,,b'About 100 EUR',,,b'Up to 230 h',b'Up to 10 h',,,,,,,,,,,,,,,,,,,,,,,,,,
b'gigabyte',b'Gigabyte GSmart Guru GX',b'https://cdn2.gsmarena.com/vv/bigpic/gigabyte-gsmart-guru-gx.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 900 / 2100',"b'LTE band 3(1800), 7(2600), 20(800)'","b'HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps'","b'2015, January'","b'Available. Released 2015, April'",b'139 x 69 x 7 mm (5.47 x 2.72 x 0.28 in)',b'115 g (4.06 oz)',b'Dual SIM (Nano-SIM/ Micro-SIM)',"b'IPS LCD capacitive touchscreen, 16M colors'","b'5.0 inches, 68.9 cm2 (~71.9% screen-to-body ratio)'","b'1080 x 1920 pixels, 16:9 ratio (~441 ppi density)'",b'Android 4.4 (KitKat)',"b'microSD, up to 64 GB (dedicated slot)'","b'32 GB, 2 GB RAM'","b'13 MP, AF'",b'Yes',b'5 MP',b'',b'Yes',b'Yes',b'Non-removable Li-Ion 2300 mAh battery',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, LE'","b'Yes, with A-GPS, GLONASS'",b'FM radio',b'microUSB 2.0',"b'Accelerometer, gyro, proximity, compass'",,b'Black',b'Corning Gorilla Glass 3',b'Qualcomm MSM8939 Snapdragon 615 (28 nm)',b'Octa-core (4x1.7 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53)',b'Adreno 405',,b'LED flash',,,,,,,,b'Up to 200 h',b'Up to 14 h',,,,,,,,,,,,,,,,,,,,,,,,,,
b'gigabyte',b'Gigabyte GSmart Mika MX',b'https://cdn2.gsmarena.com/vv/bigpic/gigabyte-gsmart-mika-mx.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 900 / 2100',"b'LTE band 3(1800), 7(2600), 8(900)'","b'HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps'","b'2015, January'","b'Available. Released 2015, February'",b'143 x 72 x 9.8 mm (5.63 x 2.83 x 0.39 in)',b'165 g (5.82 oz)',"b'Dual SIM (Micro-SIM, dual stand-by)'","b'IPS LCD capacitive touchscreen, 16M colors'","b'5.0 inches, 68.9 cm2 (~66.9% screen-to-body ratio)'","b'540 x 960 pixels, 16:9 ratio (~220 ppi density)'",b'Android 4.4 (KitKat)',"b'microSD, up to 32 GB (dedicated slot)'","b'8 GB, 1 GB RAM'","b'5 MP, AF'",b'Yes',b'2 MP',b'',b'Yes',b'Yes',b'Removable Li-Ion 3000 mAh battery',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, LE'","b'Yes, with A-GPS, GLONASS'",b'FM radio',b'microUSB 2.0',"b'Accelerometer, proximity'",,b'Black',,b'Qualcomm MSM8916 Snapdragon 410 (28 nm)',b'Quad-core 1.2 GHz Cortex-A53',b'Adreno 306',,,,,,,,,,b'Up to 320 h',b'Up to 20 h',,,,,,,,,,,,,,,,,,,,,,,,,,
b'gigabyte',b'Gigabyte GSmart Roma RX',b'https://cdn2.gsmarena.com/vv/bigpic/gigabyte-gsmart-roma-rx.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 2100',,b'HSPA 21.1/5.76 Mbps',"b'2015, January'","b'Available. Released 2015, April'",b'142 x 73 x 9.5 mm (5.59 x 2.87 x 0.37 in)',b'155 g (5.47 oz)',"b'Dual SIM (Mini-SIM/ Micro-SIM, dual stand-by)'","b'IPS LCD capacitive touchscreen, 16M colors'","b'5.0 inches, 68.9 cm2 (~66.5% screen-to-body ratio)'","b'480 x 854 pixels, 16:9 ratio (~196 ppi density)'",b'Android 4.4 (KitKat)',"b'microSD, up to 32 GB (dedicated slot)'","b'4 GB, 512 MB RAM'",b'5 MP',b'Yes',b'VGA',b'',b'Yes',b'Yes',b'Removable Li-Ion 2000 mAh battery',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'FM radio',b'microUSB 2.0',"b'Accelerometer, proximity'",,b'Black',,b'Mediatek MT6582 (28 nm)',b'Quad-core 1.3 GHz Cortex-A7',b'Mali-400MP2',,,,,,,,,,b'Up to 400 h',b'Up to 20 h',,,,,,,,,,,,,,,,,,,,,,,,,,
b'gigabyte',b'Gigabyte GSmart Akta A4',b'https://cdn2.gsmarena.com/vv/bigpic/gigabyte-gsmart-Akta-A4.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 2100',,b'HSPA 21.1/5.76 Mbps',"b'2014, November'","b'Available. Released 2014, November'",b'147 x 73 x 9.6 mm (5.79 x 2.87 x 0.38 in)',b'158 g (5.57 oz)',b'Dual SIM (Mini-SIM/ Micro-SIM)',"b'IPS LCD capacitive touchscreen, 16M colors'","b'5.0 inches, 68.9 cm2 (~64.2% screen-to-body ratio)'","b'540 x 960 pixels, 16:9 ratio (~220 ppi density)'",b'Android 4.4.2 (KitKat)',"b'microSD, up to 32 GB (dedicated slot)'","b'8 GB, 1 GB RAM'","b'13 MP, AF'",b'Yes',b'5 MP',b'',b'Yes',b'Yes',b'Removable Li-Ion 1800 mAh battery',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'FM radio',"b'microUSB 2.0, USB Host'","b'Accelerometer, gyro, proximity, compass'",,b'Navy Blue',,b'Mediatek MT6592 (28 nm)',b'Octa-core 1.4 GHz Cortex-A7',b'Mali-450MP4',,b'LED flash',,,,,,,,b'Up to 250 h',b'Up to 6 h',,,,,,,,,,,,,,,,,,,,,,,,,,
b'gigabyte',b'Gigabyte GSmart Mika M3',b'https://cdn2.gsmarena.com/vv/bigpic/gigabyte-gsmart-Mika-M4.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 900 / 2100',,b'HSPA 21.1/5.76 Mbps',"b'2014, October'","b'Available. Released 2014, November'",b'144 x 70.5 x 8.3 mm (5.67 x 2.78 x 0.33 in)',b'146 g (5.15 oz)',b'Dual SIM (Mini-SIM/ Micro-SIM)',"b'IPS LCD capacitive touchscreen, 16M colors'","b'5.0 inches, 68.9 cm2 (~67.9% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~294 ppi density)'",b'Android 4.4.2 (KitKat)',"b'microSD, up to 32 GB (dedicated slot)'","b'8 GB, 1 GB RAM'","b'13 MP, AF'",b'Yes',b'8 MP',b'',b'Yes',b'Yes',b'Removable Li-Ion 1900 mAh battery',"b'Wi-Fi 802.11 b/g/n, hotspot'",b'3.0',"b'Yes, with A-GPS'",b'FM radio',b'microUSB 2.0',"b'Accelerometer, proximity'",,b'Navy Blue',,b'Mediatek MT6582 (28 nm)',b'Quad-core 1.3 GHz Cortex-A7',b'Mali-400MP2',,b'LED flash',,,,,,,,b'Up to 150 h',b'Up to 4 h 30 min',,,,,,,,,,,,,,,,,,,,,,,,,,
b'gigabyte',b'Gigabyte GSmart GX2',b'https://cdn2.gsmarena.com/vv/bigpic/gigabyte-gsmart-arty-gx2.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1900 / 2100',,b'HSPA 21.1/5.76 Mbps',"b'2014, August'","b'Available. Released 2014, September'",b'146.5 x 73.4 x 8.7 mm (5.77 x 2.89 x 0.34 in)',b'135 g (4.76 oz)',b'Dual SIM (Micro-SIM)',"b'IPS LCD capacitive touchscreen, 16M colors'","b'5.0 inches, 68.9 cm2 (~64.1% screen-to-body ratio)'","b'1080 x 1920 pixels, 16:9 ratio (~441 ppi density)'",b'Android 4.4.2 (KitKat)',"b'microSD, up to 64 GB (dedicated slot)'","b'8 GB, 2 GB RAM'","b'13 MP, AF'",b'Yes',b'2 MP',b'',b'Yes',b'Yes',b'Removable Li-Ion 2200 mAh battery',"b'Wi-Fi 802.11 a/b/g/n, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'FM radio',b'microUSB 2.0',"b'Accelerometer, proximity, compass'",,b'Black',,b'Qualcomm MSM8228 Snapdragon 400 (28 nm)',b'Quad-core 1.6 GHz Cortex-A7',b'Adreno 305',,b'LED flash',,,,,,,,b'Up to 350 h',b'Up to 12 h',,,,,,,,,,,,,,,,,,,,,,,,,,
