Brand,Model Name,Model Image,Technology,2G bands,,GPRS,EDGE,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,Card slot,Phonebook,Call records,Internal,_1,Loudspeaker,Alert types,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,Messaging,Browser,Games,Java,_1_1,Stand-by,Talk time,Colors,Single,Video,Infrared port,3G bands,Speed,Features,Keyboard,OS,CPU,Languages,Single_1,Video_1,Chipset,Clock,Alarm,4G bands,Protection,GPU,NFC,Charging,Music play,Price,Loudspeaker_1,Build,Triple,Features_1,Performance,Display,Camera,Audio quality,Battery life,Dual,Models,SAR,SAR EU,Dual_1,5G
b'zte',b'ZTE Blade A5 (2019)',b'https://cdn2.gsmarena.com/vv/bigpic/zte-blade-a5-2019.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'Active noise cancellation with dedicated mic',,,"b'2019, May'","b'Available. Released 2019, May'",b'145.8 x 70 x 9.6 mm (5.74 x 2.76 x 0.38 in)',b'157 g (5.54 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'IPS LCD capacitive touchscreen, 16M colors'","b'5.45 inches, 76.7 cm2 (~75.1% screen-to-body ratio)'","b'720 x 1440 pixels, 18:9 ratio (~295 ppi density)'","b'microSD, up to 256 GB (dedicated slot)'",,,"b'16 GB, 2 GB RAM'",b'Non-removable Li-Ion 2600 mAh battery',b'Yes',,b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.2, A2DP, LE'","b'Yes, with A-GPS, GLONASS'",b'FM radio',b'microUSB 2.0',"b'Accelerometer, proximity'",,,,,,,,"b'Black, Blue'","b'13 MP, f/2.0, AF'",b'1080p@30fps',,b'HSDPA 850 / 900 / 2100',"b'HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'LED flash, HDR'",,b'Android 9.0 (Pie)',b'Octa-core 1.6 GHz',,"b'8 MP, f/2.4'",b'',b'Unisoc SC9863A (28nm)',,,"b'LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 38(2600)'",,,,,,b'About 80 EUR',,,,,,,,,,,,,,,
b'zte',b'ZTE Blade A3 (2019)',b'https://cdn2.gsmarena.com/vv/bigpic/zte-blade-a3-2019.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'Non-removable Li-Ion 2000 mAh battery',,,"b'2019, April'","b'Available. Released 2019, April'",b'137.4 x 67.5 x 10.5 mm (5.41 x 2.66 x 0.41 in)',b'144 g (5.08 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'IPS LCD capacitive touchscreen, 16M colors'","b'5.0 inches, 64.5 cm2 (~69.6% screen-to-body ratio)'","b'480 x 960 pixels, 18:9 ratio (~215 ppi density)'","b'microSD, up to 128 GB'",,,"b'16 GB, 1 GB RAM'",,b'Yes',,b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.2, A2DP, LE'","b'Yes, with A-GPS, GLONASS'",b'FM radio',b'microUSB 2.0',b'Accelerometer',,,,,,,,"b'Black, Blue'","b'8 MP, AF'",b'720p@30fps',,b'HSDPA 850 / 900 / 2100',"b'HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'LED flash, HDR'",,b'Android 9.0 Pie (Go edition)',b'Quad-core 1.4 GHz',,b'5 MP',b'',b'Unisoc SC9832E (28nm)',,,"b'LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800), 38(2600)'",,b'Mali-T820 MP1',,,,b'About 60 EUR',,,,,,,,,,,,,,,
b'zte',b'ZTE Blade L8',b'https://cdn2.gsmarena.com/vv/bigpic/zte-blade-a3-2019.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'Non-removable Li-Ion 2000 mAh battery',,,"b'2019, April'","b'Available. Released 2019, April'",b'137.4 x 67.5 x 10.5 mm (5.41 x 2.66 x 0.41 in)',b'144 g (5.08 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'IPS LCD capacitive touchscreen, 16M colors'","b'5.0 inches, 64.5 cm2 (~69.6% screen-to-body ratio)'","b'480 x 960 pixels, 18:9 ratio (~215 ppi density)'","b'microSD, up to 128 GB'",,,"b'16 GB, 1 GB RAM'",,b'Yes',,b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.2, A2DP, LE'","b'Yes, with A-GPS, GLONASS'",b'FM radio',b'microUSB 2.0',b'Accelerometer',,,,,,,,"b'Black, Blue'","b'8 MP, AF'",b'720p@30fps',,b'HSDPA 900 / 2100',b'HSPA 42.2/5.76 Mbps',"b'LED flash, HDR'",,b'Android 9.0 Pie (Go edition)',b'Quad-core 1.3 GHz',,b'5 MP',b'',b'Unisoc SC7731E (28nm)',,,,,b'Mali-T820 MP1',,,,b'About 60 EUR',,,,,,,,,,,,,,,
b'zte',b'ZTE nubia Red Magic 3',b'https://cdn2.gsmarena.com/vv/bigpic/nubia-red-magic-3.jpg',b'GSM / CDMA / HSPA / EVDO / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'CDMA 800 / 1900',,,"b'2019, May'","b'Available. Released 2019, May'",b'171.7 x 78.5 x 9.7 mm (6.76 x 3.09 x 0.38 in)',b'215 g (7.58 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'AMOLED capacitive touchscreen, 16M colors'","b'6.65 inches, 108.6 cm2 (~80.5% screen-to-body ratio)'","b'1080 x 2340 pixels, 19.5:9 ratio (~388 ppi density)'",b'No',,,"b'256 GB, 12 GB RAM, 128 GB, 8 GB RAM or 64 GB, 6 GB RAM'",b'CDMA2000 1xEV-DO',b'Yes',,b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, aptX, LE'","b'Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO'",b'No',"b'3.0, Type-C 1.0 reversible connector, USB On-The-Go; accessory connector'","b'Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass'",,,,,b'Non-removable Li-Po 5000 mAh battery',,,"b'Black, Red, Camouflage, Red/Blue'","b'48 MP, f/1.7, 26mm (wide), 1/2.0"", 0.8\xc2\xb5m, PDAF'","b'4320@15fps, 2160p@30/60fps, 1920fps'",,b'HSDPA 850 / 900 / 1700(AWS) / 1800 / 1900 / 2100',"b'HSPA 42.2/5.76 Mbps, LTE-A (7CA) Cat20 2000/150 Mbps'","b'LED flash, HDR, panorama'",,b'Android 9.0 (Pie); Redmagic 2.0',b'Octa-core (1x2.84 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.80 GHz Kryo 485)',,"b'16 MP, f/2.0, 2.0\xc2\xb5m'",b'1080p@30fps',b'Qualcomm SDM855 Snapdragon 855 (7 nm)',,,"b'LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 17(700), 18(800), 19(800), 20(800), 25(1900), 26(850), 28(700), 30(2300), 66(1700/2100) - Global'",b'Corning Gorilla Glass (unspecified version)',b'Adreno 640',,b'Fast battery charging 27W USB Power Delivery',,b'About 500 EUR',,"b'Front glass, aluminum body'",,b'HDR',,,,,,,,,,,
b'zte',b'ZTE nubia Alpha',b'https://cdn2.gsmarena.com/vv/bigpic/zte-nubia-alpha.jpg',b'GSM / HSPA / LTE',b'GSM 1800',b'Uses main camera',,,"b'2019, February'","b'Available. Released 2019, April'",b'47.1 x 35 x 13.8 mm (1.85 x 1.38 x 0.54 in)',b'158 g (5.57 oz)',b'eSIM',"b'AMOLED capacitive touchscreen, 16M colors'","b'4.01 inches, 20.0 cm2 (~121.0% screen-to-body ratio)'",b'192 x 960 pixels (~244 ppi density)',b'No',,,"b'8 GB, 1 GB RAM'",b'MP3 player Photo/video viewer Voice dial/commands',b'Yes',,b'No',b'Wi-Fi 802.11 b/g/n',"b'5.0, A2DP, LE'","b'Yes, with A-GPS'",b'No',b'No',"b'Accelerometer, gyro, heart rate, compass'",,,,,b'Non-removable Li-Ion 500 mAh battery',b'Up to 48 h (mixed usage)',,"b'Gold, Black'","b'5 MP, f/2.2, 25mm (wide), 1.12\xc2\xb5m'",b'Yes (up to 10 sec. duration)',,b'HSDPA 2100',"b'HSPA, LTE'",,,b'Proprietary platform',b'Quad-core 1.1 GHz Cortex-A7',,,,b'Qualcomm MSM8909W Snapdragon Wear 2100',,,"b'LTE band 1(2100), 3(1800), 38(2600), 39(1900), 40(2300), 41(2500)'",b'Yes',b'Adreno 304',,,,b'About 450 EUR',,b'Stainless Steel 316L',,,,,,,,,,,,,
b'zte',b'ZTE Axon 10 Pro 5G',b'https://cdn2.gsmarena.com/vv/bigpic/zte-axon-10-pro-5g.jpg',b'GSM / CDMA / HSPA / LTE / 5G',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'CDMA 800 / 1900 & TD-SCDMA',,,"b'2019, February'","b'Available. Released 2019, May'",b'159.2 x 73.4 x 7.9 mm (6.27 x 2.89 x 0.31 in)',b'175 g (6.17 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'AMOLED capacitive touchscreen, 16M colors'","b'6.47 inches, 102.8 cm2 (~87.9% screen-to-body ratio)'","b'1080 x 2340 pixels, 19.5:9 ratio (~398 ppi density)'","b'microSD, up to 1 TB'",,,"b'256 GB, 8/12 GB RAM or 128 GB, 6 GB RAM'",b'IP68 dust/water proof (up to 1.5m for 30 mins)',"b'Yes, with stereo speakers'",,b'No',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS'",b'No',"b'2.0, Type-C 1.0 reversible connector'","b'Fingerprint (under display), accelerometer, gyro, proximity, compass'",,,,,b'Non-removable Li-Ion 4000 mAh battery',,,b'Blue',"b'20 MP, f/2.0'","b'2160p@30fps, 1080p@30fps'",,b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',"b'HSPA 42.2/5.76 Mbps, LTE-A (3CA) Cat18 1200/150 Mbps, 5G (2+ Gbps DL)'","b'Dual-LED dual-tone flash, HDR, panorama'",,b'Android 9.0 (Pie); MiFavor 9.1',b'Octa-core (1x2.84 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.8 GHz Kryo 485)',,,b'1080p@30fps',b'Qualcomm SDM855 Snapdragon 855 (7 nm)',,,"b'LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 13(700), 17(700), 18(800), 19(800), 20(800), 26(850), 28(700), 34(2000), 38(2600), 39(1900), 40(2300), 41(2500)'",,b'Adreno 640',b'Yes',b'Fast battery charging 18W (Quick Charge 4+) Qi wireless charging',,b'About 900 EUR',,"b'Front/back glass, aluminum frame'","b'48 MP, f/1.7, (wide), 1/2"", 0.8\xc2\xb5m, PDAF, OIS 8 MP, f/2.4, (telephoto), PDAF, OIS, 3x optical zoom 20 MP, f/2.2, 11mm (ultrawide)'",b'HDR',,,,,,,b'A2020',,,,b'5G NSA / Sub6 / mmWave; N41/N78'
b'zte',b'ZTE Axon 10 Pro',b'https://cdn2.gsmarena.com/vv/bigpic/zte-axon-10-pro-4g.jpg',b'GSM / CDMA / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'CDMA 800 / 1900 & TD-SCDMA',,,"b'2019, February'","b'Available. Released 2019, May'",b'159.2 x 73.4 x 7.9 mm (6.27 x 2.89 x 0.31 in)',b'175 g (6.17 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'AMOLED capacitive touchscreen, 16M colors'","b'6.47 inches, 102.8 cm2 (~87.9% screen-to-body ratio)'","b'1080 x 2340 pixels, 19.5:9 ratio (~398 ppi density)'","b'microSD, up to 1 TB'",,,"b'128 GB, 6 GB RAM'",b'IP68 dust/water proof (up to 1.5m for 30 mins)',"b'Yes, with stereo speakers'",,b'No',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS'",b'No',"b'2.0, Type-C 1.0 reversible connector'","b'Fingerprint (under display), accelerometer, gyro, proximity, compass'",,,,,b'Non-removable Li-Ion 4000 mAh battery',,,b'Blue',"b'20 MP, f/2.0'","b'2160p@30fps, 1080p@30fps'",,b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',"b'HSPA 42.2/5.76 Mbps, LTE-A (3CA) Cat18 1200/150 Mbps'","b'Dual-LED dual-tone flash, HDR, panorama'",,b'Android 9.0 (Pie); MiFavor 9.1',b'Octa-core (1x2.84 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.8 GHz Kryo 485)',,,b'1080p@30fps',b'Qualcomm SDM855 Snapdragon 855 (7 nm)',,,"b'LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 17(700), 18(800), 19(800), 20(800), 26(850), 28(700), 34(2000), 38(2600), 39(1900), 40(2300), 41(2500)'",,b'Adreno 640',b'Yes',b'Fast battery charging 18W (Quick Charge 4+) Qi wireless charging',,b'About 600 EUR',,"b'Front/back glass, aluminum frame'","b'48 MP, f/1.7, (wide), 1/2"", 0.8\xc2\xb5m, PDAF, OIS 8 MP, f/2.4, (telephoto), PDAF, OIS, 3x optical zoom 20 MP, f/2.2, 11mm (ultrawide)'",b'HDR',,,,,,,,,,,
b'zte',b'ZTE Blade V10',b'https://cdn2.gsmarena.com/vv/bigpic/zte-blade-v10.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'Active noise cancellation with dedicated mic',,,"b'2019, February'","b'Available. Released 2019, March'",b'157.8 x 75.2 x 7.8 mm (6.21 x 2.96 x 0.31 in)',b'156 g (5.50 oz)',"b'Hybrid Dual SIM (Nano-SIM, dual stand-by)'","b'IPS LCD capacitive touchscreen, 16M colors'","b'6.3 inches, 99.1 cm2 (~83.5% screen-to-body ratio)'","b'1080 x 2280 pixels, 19:9 ratio (~400 ppi density)'","b'microSD, up to 256 GB (uses shared SIM slot)'",,,"b'64 GB, 4 GB RAM or 32 GB, 3 GB RAM'",b'Non-removable Li-Ion 3200 mAh battery',b'Yes',,b'Yes',"b'Wi-Fi 802.11 b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'4.2, A2DP, LE'","b'Yes, with A-GPS, GLONASS'",b'FM radio',"b'2.0, Type-C 1.0 reversible connector, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass'",,,,,,,,"b'Black, Blue, Green'","b'32 MP, f/2.0, 0.8\xc2\xb5m'",b'1080p@30fps',,b'HSDPA 850 / 900 / 1900 / 2100',"b'HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat7 300/50 Mbps'","b'Dual-LED dual-tone flash, panorama, HDR'",,b'Android 9.0 (Pie); MiFavor 9.0',b'Octa-core (4x2.1 GHz Cortex-A73 & 4x2.0 GHz Cortex-A53)',,,b'1080p@30fps',b'Mediatek MT6771V Helio P70 (12nm)',,,"b'LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800), 38(2600)'",,b'Mali-G72 MP3',b'Yes (market dependent)',,,,,,,b'LED flash',,,,,,"b'16 MP, f/1.8, 1.12\xc2\xb5m, PDAF 5 MP, f/2.2, depth sensor'",,,,,
b'zte',b'ZTE Blade V10 Vita',b'https://cdn2.gsmarena.com/vv/bigpic/zte-blade-v10-vita.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'Active noise cancellation with dedicated mic',,,"b'2019, February'","b'Available. Released 2019, March'",b'157.1 x 75.8 x 8.1 mm (6.19 x 2.98 x 0.32 in)',b'150 g (5.29 oz)',"b'Hybrid Dual SIM (Nano-SIM, dual stand-by)'","b'IPS LCD capacitive touchscreen, 16M colors'","b'6.26 inches, 97.8 cm2 (~82.1% screen-to-body ratio)'","b'720 x 1520 pixels, 19:9 ratio (~269 ppi density)'","b'microSD, up to 256 GB (uses shared SIM slot)'",,,"b'64 GB, 3 GB RAM or 32 GB, 2 GB RAM'",b'Non-removable Li-Ion 3200 mAh battery',b'Yes',,b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.2, A2DP, LE'","b'Yes, with A-GPS, GLONASS'",b'FM radio',"b'microUSB 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass'",,,,,,,,"b'Black, Green'","b'8 MP, f/2.0'",b'1080p@30fps',,b'HSDPA 850 / 900 / 1900 / 2100',"b'HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'LED flash, HDR'",,b'Android 9.0 (Pie)',b'Octa-core (4x1.6 GHz Cortex-A55 & 4x1.2 GHz Cortex-A55)',,,b'',b'Unisoc SC9863A (28nm)',,,"b'LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800), 38(2600)'",,b'IMG8322',b'Yes (64/3GB model only)',,,,,,,,,,,,,"b'13 MP, f/2.0, AF 2 MP, f/2.4, depth sensor'",,,,,
b'zte',b'ZTE nubia Red Magic Mars',b'https://cdn2.gsmarena.com/vv/bigpic/zte-nubia-red-magic-mars.jpg',b'GSM / CDMA / HSPA / EVDO / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'CDMA 800 & TD-SCDMA',,,"b'2018, November'","b'Available. Released 2018, December'",b'158.2 x 75 x 9.9 mm (6.23 x 2.95 x 0.39 in)',b'193 g (6.81 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'LTPS IPS LCD capacitive touchscreen, 16M colors'","b'6.0 inches, 92.9 cm2 (~78.3% screen-to-body ratio)'","b'1080 x 2160 pixels, 18:9 ratio (~402 ppi density)'",b'No',,,"b'256 GB, 10 GB RAM, 128 GB, 8 GB RAM or 64 GB, 6 GB RAM'",b'CDMA2000 1xEV-DO',b'Yes',,b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, aptX, LE'","b'Yes, with A-GPS, GLONASS, BDS'",b'No',"b'Type-C 1.0 reversible connector, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass'",,,,,b'Non-removable Li-Po 3800 mAh battery',,,"b'Black, Red, Camouflage'","b'16 MP, f/1.8, PDAF'","b'2160p@30fps, 1080p@30fps'",,b'HSDPA 850 / 900 / 1900 / 2100',"b'HSPA 42.2/5.76 Mbps, LTE-A (5CA) Cat18 1200/150 Mbps'","b'LED flash, HDR, panorama'",,b'Android 9.0 (Pie); Redmagic 1.0',b'Octa-core (4x2.8 GHz Kryo 385 Gold & 4x1.7 GHz Kryo 385 Silver)',,"b'8 MP, f/2.0'",b'1080p@30fps',b'Qualcomm SDM845 Snapdragon 845 (10 nm)',,,"b'LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 17(700), 18(800), 19(800), 20(800), 25(1900), 26(850), 28(700), 30(2300), 34(2000), 38(2600), 39(1900), 40(2300), 41(2500), 66(1700/2100)'",b'Dinorex T2X-1 scratch/shock resistant glass',b'Adreno 630',,b'Fast battery charging 18W',,b'About 420 EUR',,"b'Front glass, aluminum body'",,b'HDR',,,,,,,,,,,
b'zte',b'ZTE nubia X',b'https://cdn2.gsmarena.com/vv/bigpic/zte-nubia-x.jpg',b'GSM / CDMA / HSPA / EVDO / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'CDMA 800 & TD-SCDMA',,,"b'2018, October'","b'Available. Released 2018, November'",b'154.1 x 73.3 x 8.4 mm (6.07 x 2.89 x 0.33 in)',b'181 g (6.38 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'LTPS IPS LCD capacitive touchscreen, 16M colors'","b'6.26 inches, 97.8 cm2 (~86.6% screen-to-body ratio)'","b'1080 x 2280 pixels, 19:9 ratio (~403 ppi density)'",b'No',,,"b'128/256/512 GB, 8 GB RAM or 64 GB, 6 GB RAM'",b'CDMA2000 1xEV-DO',b'Yes',,b'No',"b'Wi-Fi 802.11 b/g/n/ac, dual-band, Wi-Fi Direct, DLNA, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS, BDS'",b'No',"b'Type-C 1.0 reversible connector, USB On-The-Go'","b'Dual fingerprint (side-mounted), accelerometer, gyro, proximity, compass'",,,,,b'Non-removable Li-Po 3800 mAh battery',,,"b'Blue Gold, Sea Blue, Black Gold, Deep Gray, Starry Night (512 GB only)'",,"b'2160p@30fps, 1080p@30fps'",,b'HSDPA 850 / 900 / 1900 / 2100',"b'HSPA 42.2/5.76 Mbps, LTE-A (6CA) Cat18 1200/150 Mbps'","b'Dual-LED dual-tone flash, HDR, panorama'",,b'Android 8.1 (Oreo); Nubia UI 6',b'Octa-core (4x2.65 GHz Kryo 385 Gold & 4x1.8 GHz Kryo 385 Silver)',,,"b'2160p@30fps, 1080p@30fps'",b'Qualcomm SDM845 Snapdragon 845 (10 nm)',,,"b'LTE band 1(2100), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 20(800), 34(2000), 38(2600), 39(1900), 40(2300), 41(2500)'",b'Corning Gorilla Glass 3',b'Adreno 630',,b'Fast battery charging 18W (Quick Charge 4)',,b'About 450 EUR',,,,"b'Dual-LED dual-tone flash, HDR, panorama'",,,,,,"b'16 MP, f/1.8, PDAF 24 MP, f/1.7, PDAF'",,,,b'Uses main cameras',
b'zte',b'ZTE nubia Z18',b'https://cdn2.gsmarena.com/vv/bigpic/zte-nubia-z18-.jpg',b'GSM / CDMA / HSPA / EVDO / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'CDMA 800 & TD-SCDMA',,,"b'2018, September'","b'Available. Released 2018, September'",b'148.6 x 72.6 x 8.6 mm (5.85 x 2.86 x 0.34 in)',b'172 g (6.07 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'LTPS IPS LCD capacitive touchscreen, 16M colors'","b'5.99 inches, 92.6 cm2 (~85.8% screen-to-body ratio)'","b'1080 x 2160 pixels, 18:9 ratio (~403 ppi density)'",b'No',,,"b'128 GB, 8 GB RAM or 64 GB, 6 GB RAM'",b'CDMA2000 1xEV-DO',b'Yes',,b'No',"b'Wi-Fi 802.11 b/g/n/ac, dual-band, Wi-Fi Direct, DLNA, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS, BDS'",b'No',"b'Type-C 1.0 reversible connector, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass'",,,,,b'Non-removable Li-Po 3450 mAh battery',,,"b'Black, Red, Stary Night'","b'8 MP, f/2.0'","b'2160p@30fps, 1080p@30fps'",,b'HSDPA 850 / 900 / 1900 / 2100',"b'HSPA 42.2/5.76 Mbps, LTE-A (6CA) Cat18 1200/150 Mbps'","b'Dual-LED dual-tone flash, HDR, panorama'",,b'Android 8.1 (Oreo); nubia UI 6',b'Octa-core (4x2.65 GHz Kryo 385 Gold & 4x1.8 GHz Kryo 385 Silver)',,,b'1080p@30fps',b'Qualcomm SDM845 Snapdragon 845 (10 nm)',,,"b'LTE band 1(2100), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 20(800), 34(2000), 38(2600), 39(1900), 40(2300), 41(2500)'",b'Corning Gorilla Glass 3',b'Adreno 630',,b'Fast battery charging 18W (Quick Charge 4)',,b'About 400 EUR',,,,b'HDR',,,,,,"b'24 MP, f/1.6, dual pixel PDAF, OIS 16 MP, f/1.6, AF'",,,,,
b'zte',b'ZTE Axon 9 Pro',b'https://cdn2.gsmarena.com/vv/bigpic/zte-axon-9-pro.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'IP68 dust/water proof (up to 1.5m for 30 mins)',,,"b'2018, August'","b'Available. Released 2018, November'",b'156.5 x 74.5 x 7.9 mm (6.16 x 2.93 x 0.31 in)',b'179 g (6.31 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'AMOLED capacitive touchscreen, 16M colors'","b'6.21 inches, 97.1 cm2 (~83.3% screen-to-body ratio)'",b'1080 x 2248 pixels (~402 ppi density)',"b'microSD, up to 1 TB'",,,"b'128 GB, 6 GB RAM'",b'HDR10',"b'Yes, with stereo speakers'",,b'No',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'v5.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS'",b'No',"b'2.0, Type-C 1.0 reversible connector'","b'Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass'",,,,,b'Non-removable Li-Ion 4000 mAh battery',,,"b'Black, Blue'",b'20 MP',"b'2160p@30fps, 1080p@30fps'",,b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',"b'HSPA, LTE'","b'Dual-LED dual-tone flash, HDR, panorama'",,b'Android 8.1 (Oreo); Android One',b'Octa-core (4x2.65 GHz Kryo 385 Gold & 4x1.76 GHz Kryo 385 Silver)',,,b'1080p@30fps',b'Qualcomm SDM845 Snapdragon 845 (10 nm)',,,"b'LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 13(700), 17(700), 18(800), 19(800), 20(800), 25(1900), 26(850), 28(700)'",,b'Adreno 630',b'Yes',b'Fast battery charging 18W (Quick Charge 4+) Qi wireless charging',,b'About 650 EUR',,,,b'HDR',,,,,,"b'12 MP, f/1.8, 1/2.55"", 1.4\xc2\xb5m, OIS, dual pixel PDAF, OIS 20 MP, 10mm (ultrawide)'",,,,,
