Brand,Model Name,Model Image,Technology,2G bands,,GPRS,EDGE,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,Card slot,Phonebook,Call records,Internal,_1,Loudspeaker,Alert types,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,Messaging,Browser,Games,Java,_1_1,Stand-by,Talk time,Colors,Single,Video,Infrared port,3G bands,Speed,Features,Keyboard,OS,CPU,Languages,Single_1,Video_1,Chipset,Clock,Alarm,4G bands,Protection,GPU,NFC,Charging,Music play,Price,Loudspeaker_1,Build,Triple,Features_1,Performance,Display,Camera,Audio quality,Battery life,Dual,Models,SAR,SAR EU,Dual_1,5G
b'yezz',b'Yezz Max 1',b'https://cdn2.gsmarena.com/vv/bigpic/yezz-max1.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'Removable Li-Ion 2000 mAh battery',,,"b'2018, October'","b'Available. Released 2018, December'",b'139 x 65.8 x 8.8 mm (5.47 x 2.59 x 0.35 in)',b'120 g (4.23 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'TFT capacitive touchscreen, 16M colors'","b'5.0 inches, 64.5 cm2 (~70.5% screen-to-body ratio)'","b'480 x 960 pixels, 18:9 ratio (~215 ppi density)'","b'microSD, up to 32 GB (dedicated slot)'",,,"b'16 GB, 2 GB RAM'",,b'Yes',,b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP, LE'","b'Yes, with A-GPS'",b'FM radio',b'microUSB 2.0',b'Accelerometer',,,,,,b'Up to 180 h',b'Up to 5 h 30 min',b'Black',b'8 MP',b'720p@30fps',,b'HSDPA 850 / 900 / 1900 / 2100',b'HSPA 42.2/5.76 Mbps',"b'LED flash, panorama, HDR'",,b'Android 8.1 (Oreo)',b'Quad-core 1.3 GHz Cortex-A7',,b'8 MP',b'720p@30fps',b'Mediatek MT6580M (28 nm)',,,,,b'Mali-400',,,,b'About 65 USD',,,,b'LED flash',,,,,,,,,,,
b'yezz',b'Yezz Andy 4E7',b'https://cdn2.gsmarena.com/vv/bigpic/yezz-4e7.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'Removable Li-Ion 1400 mAh battery',,,"b'2018, September'","b'Available. Released 2018, September'",b'126 x 65 x 10.7 mm (4.96 x 2.56 x 0.42 in)',b'112 g (3.95 oz)',"b'Dual SIM (Micro-SIM/Nano-SIM, dual stand-by)'","b'TN capacitive touchscreen, 16M colors'","b'5.0 inches, 71.2 cm2 (~86.9% screen-to-body ratio)'","b'480 x 800 pixels, 5:3 ratio (~187 ppi density)'","b'microSD, up to 32 GB (dedicated slot)'",,,"b'8 GB, 1 GB RAM'",,b'Yes',,b'Yes',"b'Wi-Fi 802.11 a/b/g/n, hotspot'","b'4.0, A2DP, LE'","b'Yes, with A-GPS'","b'FM radio, recording'",b'microUSB 2.0',"b'Accelerometer, proximity'",,,,,,b'Up to 300 h',b'Up to 4 h',"b'Black, Dark Gray, Gold'",b'5 MP',b'1080p@30fps',,b'HSDPA 850 / 900 / 1900 / 2100',b'HSPA 21.1/5.76 Mbps',b'LED flash',,b'Android 8.1 Oreo (Go edition)',b'Quad-core 1.3 GHz Cortex-A7',,b'2 MP',b'',b'Mediatek MT6580M (28 nm)',,,,,b'Mali-400',,,,,,,,,,,,,,,,,,,
b'yezz',b'Yezz Andy 5E5',b'https://cdn2.gsmarena.com/vv/bigpic/yezz-5e5.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 1900 - 5E5043',,,"b'2018, August'","b'Available. Released 2018, August'",b'139.8 x 71.5 x 8.6 mm (5.50 x 2.81 x 0.34 in)',b'125 g (4.41 oz)',"b'Dual SIM (Micro-SIM/Nano-SIM, dual stand-by)'","b'TN capacitive touchscreen, 16M colors'","b'5.0 inches, 68.9 cm2 (~68.9% screen-to-body ratio)'","b'480 x 854 pixels, 16:9 ratio (~196 ppi density)'","b'microSD, up to 32 GB (dedicated slot)'",,,"b'8 GB, 1 GB RAM'",b'Non-removable Li-Ion 2000 mAh battery',b'Yes',,b'Yes',"b'Wi-Fi 802.11 a/b/g/n, hotspot'","b'4.0, A2DP, LE'","b'Yes, with A-GPS'",b'Stereo FM radio',b'microUSB 2.0',b'Accelerometer',,,,,,b'Up to 180 h (3G)',b'Up to 6 h (3G)',"b'Black, Dark Gray, Gold'",b'5 MP',b'1080p@30fps',,b'HSDPA 850 / 900 / 1900 / 2100 - 5E5052',b'HSPA 21.1/5.76 Mbps',b'LED flash',,b'Android 8.0 Oreo (Go edition)',b'Quad-core 1.3 GHz Cortex-A7',,b'2 MP',b'',b'Mediatek MT6580M (28 nm)',,,,b'Yes',b'Mali-400MP2',,,,,,,,,,,,,,,,,,,
b'yezz',b'Yezz Epic T',b'https://cdn2.gsmarena.com/vv/bigpic/yezz-epic-t.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'IP68 dust/water proof (up to 1.5m for 30 mins) MIL-STD-810G compliant Flashlight',,,"b'2018, March'","b'Available. Released 2018, April'",b'168.8 x 86.5 x 15.9 mm (6.65 x 3.41 x 0.63 in)',b'469 g (1.03 lb)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'IPS LCD capacitive touchscreen, 16M colors'","b'5.5 inches, 83.4 cm2 (~57.1% screen-to-body ratio)'","b'1080 x 1920 pixels, 16:9 ratio (~401 ppi density)'","b'microSD, up to 128 GB'",,,"b'32 GB, 3 GB RAM'",b'Non-removable Li-Po 9000 mAh battery',b'Yes',,b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.0, A2DP, LE'","b'Yes, with A-GPS'",b'FM radio',"b'2.0, Type-C 1.0 reversible connector'","b'Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass'",,,,,,b'Up to 650 h (3G)',b'Up to 30 h (3G)',b'Black',"b'16 MP, AF'",b'1080p@60fps',,b'HSDPA 850 / 1900 / 2100',"b'HSPA 42.2/11.5 Mbps, LTE-A (2CA) Cat6 300/50 Mbps'","b'LED flash, panorama, HDR'",,b'Android 7.0 (Nougat)',b'Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53)',,b'8 MP',b'',b'Mediatek MT6750 (28 nm)',,,"b'LTE band 2(1900), 4(1700/2100), 7(2600), 17(700), 28(700)'",b'Corning Gorilla Glass 3',b'Mali-T860MP2',,b'Fast battery charging 10W',,b'About 250 EUR',,,,,,,,,,,,,,,
b'yezz',b'Yezz Andy 4E4',b'https://cdn2.gsmarena.com/vv/bigpic/yezz-4e4.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'Li-Ion 1400 mAh battery',,,"b'2016, November'","b'Available. Released 2016, December'",b'125.8 x 63 x 10.8 mm (4.95 x 2.48 x 0.43 in)',b'112 g (3.95 oz)',"b'Dual SIM, (Micro-SIM)'","b'TN capacitive touchscreen, 16M colors'","b'4.0 inches, 44.1 cm2 (~55.6% screen-to-body ratio)'","b'480 x 854 pixels, 16:9 ratio (~245 ppi density)'","b'microSD, up to 64 GB (dedicated slot)'",,,"b'4 GB, 512 MB RAM'",,b'Yes',,b'Yes',"b'Wi-Fi 802.11 a/b/g/n, hotspot'",b'2.1',"b'Yes, with A-GPS'",b'Stereo FM radio',b'microUSB 2.0',b'Accelerometer',,,,,,b'Up to 116 h (3G)',b'Up to 4 h (3G)',"b'Black, White, Gray, Blue, Pink'",b'5 MP',b'720p@30fps',,b'HSDPA 850 / 1900 - AM4E4I043',b'HSPA 21.1/5.76 Mbps',"b'LED flash, panorama'",,b'Android 6.0 (Marshmallow)',b'Quad-core 1.2 GHz Cortex-A7',,b'2 MP',b'',b'Spreadtrum SC7731C',,,,,b'Mali-400MP2',,,,,,,,,,,,,,,,,,,
b'yezz',b'Yezz 4.5EL LTE',b'https://cdn2.gsmarena.com/vv/bigpic/yezz-4.5el-lte.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'Li-Ion 1700 mAh battery',,,"b'2016, November'","b'Available. Released 2016, December'",b'136.5 x 66 x 8.8 mm (5.37 x 2.60 x 0.35 in)',b'130 g (4.59 oz)',b'Dual SIM (Mini-SIM/ Micro-SIM)',"b'IPS LCD capacitive touchscreen, 16M colors'","b'4.5 inches, 55.8 cm2 (~61.9% screen-to-body ratio)'","b'480 x 854 pixels, 16:9 ratio (~218 ppi density)'","b'microSD, up to 32 GB'",,,"b'8 GB, 1 GB RAM'",,b'Yes',,b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, LE'","b'Yes, with A-GPS'",b'Stereo FM radio',b'microUSB 2.0',b'Accelerometer',,,,,,b'Up to 250 h (3G)',b'Up to 7 h (3G)',b'Black',b'5 MP',b'1080p@30fps',,b'HSDPA 850 / 1900 - AM45EL133',"b'HSPA, LTE Cat4 150/50 Mbps'","b'LED flash, HDR, panorama'",,b'Android 6.0 (Marshmallow)',b'Quad-core 1.1 GHz Cortex-A53',,b'2 MP',b'',b'Mediatek MT6737M (28 nm)',,,"b'LTE band 4(1700/2100), 7(2600), 17(700)'",,b'Mali-T720MP2',,,,,,,,,,,,,,,,,,,
b'yezz',b'Yezz 5M',b'https://cdn2.gsmarena.com/vv/bigpic/yezz-5m.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'Li-Ion 2300 mAh battery',,,"b'2016, November'","b'Available. Released 2016, December'",b'143.7 x 72.4 x 9.5 mm (5.66 x 2.85 x 0.37 in)',b'114 g (4.02 oz)',b'Dual SIM (Micro-SIM)',"b'IPS LCD capacitive touchscreen, 16M colors'","b'5.0 inches, 68.9 cm2 (~66.2% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~294 ppi density)'","b'microSD, up to 64 GB (dedicated slot)'",,,"b'8 GB, 1 GB RAM'",,b'Yes',,b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.0, LE'","b'Yes, with A-GPS'",b'Stereo FM radio',b'microUSB 2.0',"b'Accelerometer, proximity'",,,,,,b'Up to 300 h',b'Up to 9 h',b'Black',b'8 MP',b'720p@30fps',,b'HSDPA 850 / 1900 - AM5M2L043',b'HSPA 21.1/5.76 Mbps',"b'LED flash, panorama'",,b'Android 6.0 (Marshmallow)',b'Quad-core 1.3 GHz Cortex-A7',,b'5 MP',b'',b'Mediatek MT6580 (28 nm)',,,,,b'Mali-400MP2',,,,,,,,,,,,,,,,,,,
b'yezz',b'Yezz C21',b'https://cdn2.gsmarena.com/vv/bigpic/yezz-c21.jpg',b'GSM',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 - CM21A003',b'No',b'Up to 48 kbps',b'No',"b'2016, July'","b'Available. Released 2016, August'",b'113 x 48.5 x 14.6 mm (4.45 x 1.91 x 0.57 in)',b'70 g (2.47 oz)',b'Dual SIM (Mini-SIM)',"b'TFT, 256K colors'","b'1.8 inches, 10.2 cm2 (~18.6% screen-to-body ratio)'",b'128 x 160 pixels (~114 ppi density)',"b'microSD, up to 8 GB (dedicated slot)'",b'Yes',b'Yes',"b'4 MB, 4 MB RAM'",b'MP3/WAV player',b'Yes',,b'No',b'No',b'2.1',b'No',b'Stereo FM radio',b'microUSB 2.0',b'',b'SMS',,b'No',b'No',b'Removable Li-Ion 600 mAh battery',b'Up to 180 h',b'Up to 3 h',"b'Black, White, Red, Blue'",b'VGA',b'Yes',,,,,,,b'321 Mhz',,,,b'Spreadtrum SC6531DA',,,,,,,,,,,,,,,,,,,,,,,,
b'yezz',b'Yezz Andy 5EI3 (2016)',b'https://cdn2.gsmarena.com/vv/bigpic/yezz-andy-5ei3.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'Li-Ion 2000 mAh battery',,,"b'2016, June'","b'Available. Released 2016, August'",b'145.5 x 74.8 x 8.9 mm (5.73 x 2.94 x 0.35 in)',b'153 g (5.40 oz)',b'Dual SIM (Mini-SIM/ Micro-SIM)',"b'TFT capacitive touchscreen, 16M colors'","b'5.0 inches, 68.9 cm2 (~63.3% screen-to-body ratio)'","b'480 x 854 pixels, 16:9 ratio (~196 ppi density)'","b'microSD, up to 64 GB (dedicated slot)'",,,"b'8 GB, 512 MB RAM'",,b'Yes',,b'Yes',"b'Wi-Fi 802.11 a/b/g/n, Wi-Fi Direct, hotspot'","b'4.0, LE'","b'Yes, with A-GPS'",b'Stereo FM radio',b'microUSB 2.0',b'Accelerometer',,,,,,b'Up to 333 h (3G)',b'Up to 8 h (3G)',"b'Black, Blue, Red, Gun Metal, White, Silver, Pink'",b'5 MP',b'720p@30fps',,b'HSDPA 900 / 2100 - AM5E047',b'HSPA 21.1/5.76 Mbps',"b'LED flash, panorama'",,b'Android 6.0 (Marshmallow)',b'Quad-core 1.3 GHz Cortex-A7',,b'2 MP',b'',b'Mediatek MT6580M (28 nm)',,,,,b'Mali-400MP2',,,,,,,,,,,,,,,,,,,
b'yezz',b'Yezz Andy 5E3',b'https://cdn2.gsmarena.com/vv/bigpic/yezz-andy-5E3.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 1900 - AM5E3043',,,"b'2016, June'","b'Available. Released 2016, August'",b'145.5 x 74.8 x 8.9 mm (5.73 x 2.94 x 0.35 in)',b'153 g (5.40 oz)',"b'Dual SIM (Micro-SIM/ Mini-SIM, dual stand-by)'","b'TN capacitive touchscreen, 16M colors'","b'5.0 inches, 68.9 cm2 (~63.3% screen-to-body ratio)'","b'480 x 854 pixels, 16:9 ratio (~196 ppi density)'","b'microSD, up to 64 GB (dedicated slot)'",,,"b'8 GB, 512 MB RAM'",b'HSDPA 850 / 2100 - AM5E3062',b'Yes',,b'Yes',"b'Wi-Fi 802.11 a/b/g/n, Wi-Fi Direct, hotspot'","b'4.0, LE'","b'Yes, with A-GPS'",b'FM radio',b'microUSB 2.0',b'Accelerometer',,,,,b'Removable Li-Ion 2000 mAh battery',b'Up to 333 h (3G)',b'Up to 8 h (3G)',"b'Black, Blue, Red, Gun Metal, White, Silver, Pink'",b'5 MP',b'720p@30fps',,b'HSDPA 850 / 1700 / 1900 - AM5E054',b'HSPA 21.1/5.76 Mbps',,,b'Android 6.0 (Marshmallow)',b'Quad-core 1.3 GHz Cortex-A7',,b'2 MP',b'',b'Mediatek MT6580M (28 nm)',,,,,b'Mali-400MP2',,,,,,,,,,,,,,,,,,,
b'yezz',b'Yezz Andy 4.7T',b'https://cdn2.gsmarena.com/vv/bigpic/yezz-andy-47t.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'Removable Li-Ion 1780 mAh battery',,,"b'2016, April'","b'Available. Released 2016, May'",b'135.8 x 67.2 x 7.2 mm (5.35 x 2.65 x 0.28 in)',b'120 g (4.23 oz)',"b'Dual SIM (Micro-SIM, dual stand-by)'","b'IPS LCD capacitive touchscreen, 16M colors'","b'4.7 inches, 60.9 cm2 (~66.7% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~312 ppi density)'","b'microSD, up to 256 GB'",,,"b'8 GB, 1 GB RAM'",,b'Yes',,b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS, GLONASS'",b'FM radio',b'microUSB 2.0',"b'Accelerometer, proximity, compass'",,,,,,b'Up to 480 h (2G) / Up to 350 h (3G)',b'Up to 16 h (2G) / Up to 7 h 30 min (3G)',"b'Blue, Red, White'","b'8 MP, AF'",b'720p@30fps',,b'HSDPA 850 / 900 / 1900 / 2100 - SIM 1 & SIM 2',b'HSPA 42.2/11.5 Mbps',"b'LED flash, panorama, HDR'",,b'Android 4.4 (KitKat)',b'Quad-core 1.2 GHz Cortex-A7',,b'2 MP',b'',b'Qualcomm MSM8212 Snapdragon 200 (28 nm)',,,,b'Asahi Dragontrail Glass',b'Adreno 302',,,,,,,,,,,,,,,,,,,
b'yezz',b'Yezz Andy 5M LTE',b'https://cdn2.gsmarena.com/vv/bigpic/yezz-andy-5m-lte.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'Removable Li-Ion 2200 mAh battery',,,"b'2016, January'","b'Available. Released 2016, March'",b'143 x 70.4 x 8.3 mm (5.63 x 2.77 x 0.33 in)',b'142 g (5.01 oz)',b'Dual SIM (Micro-SIM)',"b'IPS LCD capacitive touchscreen, 16M colors'","b'5.0 inches, 68.9 cm2 (~68.5% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~294 ppi density)'","b'microSD, up to 64 GB'",,,"b'8 GB, 1 GB RAM'",,b'Yes',,b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.0, LE'","b'Yes, with A-GPS'",b'Stereo FM radio',b'microUSB 2.0',"b'Accelerometer, proximity'",,,,,,b'Up to 220 h (2G) / Up to 183 h (3G)',b'Up to 13 h 40 min (2G) / Up to 9 h 10 min (3G)',b'Black',b'13 MP',b'720p@30fps',,b'HSDPA 850 / 1900 - AM5ML133',"b'HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps'","b'LED flash, panorama'",,b'Android 5.1 (Lollipop)',b'Quad-core 1.0 GHz Cortex-A53',,b'5 MP',b'',b'Mediatek MT6735P (28 nm)',,,"b'LTE band 2(1900), 4(1700/2100), 7(2600), 17(700) - AM5ML133'",,b'Mali-T720MP2',,,,,,,,,,,,,,,,,,,
b'yezz',b'Yezz CC40',b'https://cdn2.gsmarena.com/vv/bigpic/yezz-cc40.jpg',b'GSM / HSPA',b'GSM 850 / 1900',b'No',,,"b'2016, March'","b'Available. Released 2016, May'",b'107.4 x 46 x 14.4 mm (4.23 x 1.81 x 0.57 in)',b'82.5 g (2.89 oz)',b'Mini-SIM',"b'TFT, 256K colors'","b'1.8 inches, 10.2 cm2 (~20.6% screen-to-body ratio)'",b'128 x 160 pixels (~114 ppi density)',"b'microSD, up to 32 GB (dedicated slot)'",b'Yes',b'Yes',"b'128 MB, 64 MB RAM'",b'Video Player Music Player Organizer',b'Yes',,b'Yes',b'No',b'2.1',b'No',b'Stereo FM radio',b'microUSB 2.0',b'No',"b'SMS, MMS'",,b'No',b'MIDP 2.0',b'Removable Li-Ion 800 mAh battery',b'Up to 160 h (2G) / Up to 130 h (3G)',b'Up to 6 h (2G) / Up to 4 h (3G)',b'Black',b'VGA',b'Yes',,b'HSDPA 850 / 1900 - CC40007',b'HSPA 7.2/5.76 Mbps',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'yezz',b'Yezz Andy 5.5M LTE VR',b'https://cdn2.gsmarena.com/vv/bigpic/yezz-andy-55m-lte-vr-.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'Removable Li-Ion 2400 mAh battery',,,"b'2016, January'","b'Available. Released 2016, March'",b'157.4 x 78 x 9 mm (6.20 x 3.07 x 0.35 in)',b'165 g (5.82 oz)',b'Dual SIM (Micro-SIM)',"b'IPS LCD capacitive touchscreen, 16M colors'","b'5.5 inches, 83.4 cm2 (~67.9% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~267 ppi density)'","b'microSD, up to 64 GB'",,,"b'8 GB, 1 GB RAM'",,b'Yes',,b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.0, LE'","b'Yes, with A-GPS'",b'Stereo FM radio',b'microUSB 2.0',"b'Accelerometer, gyro, proximity'",,,,,,b'Up to 240 h (2G) / Up to 200 h (3G)',b'Up to 17 h 40 min (2G) / Up to 15 h (3G)',b'Black',b'13 MP',b'720p@30fps',,b'HSDPA 850 / 1900 - AM55ML194',"b'HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps'","b'LED flash, panorama'",,b'Android 5.1 (Lollipop)',b'Quad-core 1.0 GHz Cortex-A53',,b'5 MP',b'',b'Mediatek MT6735 (28 nm)',,,"b'LTE band 2(1900), 4(1700/2100), 7(2600), 17(700) - AM55ML194'",,b'Mali-T720',,,,,,,,,,,,,,,,,,,
b'yezz',b'Yezz Monte Carlo 55 LTE VR',b'https://cdn2.gsmarena.com/vv/bigpic/yezz-monte-carlo-55vr.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'Active noise cancellation with dedicated mic',,,"b'2015, December'","b'Available. Released 2016, March'",b'152 x 77.9 x 7 mm (5.98 x 3.07 x 0.28 in)',b'165 g (5.82 oz)',"b'Hybrid Dual SIM (Micro-SIM/Nano-SIM, dual stand-by)'","b'IPS LCD capacitive touchscreen, 16M colors'","b'5.5 inches, 83.4 cm2 (~70.4% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~267 ppi density)'","b'microSD, up to 64 GB (uses shared SIM slot)'",,,"b'8 GB, 1 GB RAM'",b'Includes VR viewer headset',b'Yes',,b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.0, LE'","b'Yes, with A-GPS, GLONASS'",b'Stereo FM radio',"b'microUSB 2.0, USB Host'","b'Accelerometer, gyro, proximity, compass'",,,,,b'Non-removable Li-Po 3000 mAh battery',b'Up to 300 h (2G) / Up to 250 h (3G)',b'Up to 22 h 10 min (2G) / Up to 18 h 30 min (3G)',b'Black',"b'20 MP, AF'",b'1080p@30fps',,b'HSDPA 850 / 900 / 1900 / 2100 - MCM55TL142',"b'HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps'","b'LED flash, panorama, HDR'",,b'Android 5.1 (Lollipop)',b'Octa-core 1.3 GHz Cortex-A53',,b'8 MP',b'',b'Mediatek MT6753 (28 nm)',,,"b'LTE band 2(1900), 3(1800), 7(2600), 20(800) - MCM55TL142'",,b'Mali-T720MP3',,,,,,,,b'LED flash',,,,,,,,,,,
b'yezz',b'Yezz Monte Carlo 55 LTE',b'https://cdn2.gsmarena.com/vv/bigpic/yezz-monte-carlo-55.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'Active noise cancellation with dedicated mic',,,"b'2015, December'","b'Available. Released 2016, March'",b'152 x 77.9 x 7 mm (5.98 x 3.07 x 0.28 in)',b'165 g (5.82 oz)',"b'Hybrid Dual SIM (Micro-SIM/Nano-SIM, dual stand-by)'","b'IPS LCD capacitive touchscreen, 16M colors'","b'5.5 inches, 83.4 cm2 (~70.4% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~267 ppi density)'","b'microSD, up to 64 GB (uses shared SIM slot)'",,,"b'8 GB, 1 GB RAM'",b'Non-removable Li-Po 3000 mAh battery',b'Yes',,b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.0, LE'","b'Yes, with A-GPS'",b'Stereo FM radio',"b'microUSB 2.0, USB Host'","b'Accelerometer, gyro, proximity, compass'",,,,,,b'Up to 300 h (2G) / Up to 250 h (3G)',b'Up to 22 h 10 min (2G) / Up to 18 h 30 min (3G)',b'Black',"b'20 MP, AF'",b'1080p@30fps',,b'HSDPA 850 / 900 / 1900 / 2100 - MCM55TL142',"b'HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps'","b'LED flash, panorama, HDR'",,b'Android 5.1 (Lollipop)',b'Octa-core 1.3 GHz Cortex-A53',,b'8 MP',b'',b'Mediatek MT6753 (28 nm)',,,"b'LTE band 2(1900), 3(1800), 7(2600), 20(800) - MCM55TL142'",,b'Mali-T720MP3',,,,,,,,b'LED flash',,,,,,,,,,,
b'yezz',b'Yezz Classic C23A',b'https://cdn2.gsmarena.com/vv/bigpic/yezz-c23a.jpg',b'GSM',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 - CM22B003',b'No',b'Yes',b'No',"b'2015, November'","b'Available. Released 2016, February'",b'112 x 48.5 x 12.6 mm (4.41 x 1.91 x 0.50 in)',b'81 g (2.86 oz)',b'Dual SIM (Mini-SIM)',"b'TFT, 256K colors'","b'1.8 inches, 10.2 cm2 (~18.8% screen-to-body ratio)'",b'128 x 160 pixels (~114 ppi density)',"b'microSD, up to 8 GB'",b'Yes',b'Yes',"b'4 MB, 4 MB RAM'",b'Video Player Music Player Organizer',b'Yes',,b'Yes',b'No',b'2.1',b'No',b'Stereo FM radio',b'microUSB 2.0',b'',b'SMS',,b'No',b'No',b'Removable Li-Ion 600 mAh battery',b'Up to 200 h',b'Up to 4 h',"b'Black, Blue, Fushsia, Gold, Green, Red, Silver, White'",b'VGA',b'Yes',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'yezz',b'Yezz Andy 4E3I',b'https://cdn2.gsmarena.com/vv/bigpic/andy-4E3I.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'Removable Li-Ion 1400 mAh battery',,,"b'2015, December'","b'Available. Released 2016, March'",b'121 x 64.6 x 10.7 mm (4.76 x 2.54 x 0.42 in)',b'116.9 g (4.13 oz)',"b'Dual SIM, (Mini-SIM)'","b'TFT capacitive touchscreen, 16M colors'","b'4.0 inches, 45.5 cm2 (~58.3% screen-to-body ratio)'","b'480 x 800 pixels, 5:3 ratio (~233 ppi density)'","b'microSD, up to 64 GB'",,,"b'4 GB, 512 MB RAM'",,b'Yes',,b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.0, LE'","b'Yes, with A-GPS'",b'Stereo FM radio',b'microUSB 2.0',b'Accelerometer',,,,,,b'Up to 280 h (2G) / Up to 232 h (3G)',b'Up to 10 h 30 min (2G) / Up to 8 h 40 min (3G)',b'Black',b'5 MP',b'720p@30fps',,b'HSDPA 850 / 1900 - AM4E3I043',b'HSPA 21.1/5.76 Mbps',"b'LED flash, panorama'",,b'Android 4.4 (KitKat)',b'Dual-core 1.3 GHz Cortex-A7',,b'1.3 MP',b'',b'Mediatek MT6572A',,,,,b'Mali-400',,,,,,,,,,,,,,,,,,,
b'yezz',b'Yezz Andy 5E2I',b'https://cdn2.gsmarena.com/vv/bigpic/yezz-andy-5e2i.jpg',b'GSM / HSPA',b'GSM 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 1900 - AM5E3I043',,,"b'2015, October'","b'Available. Released 2015, November'",b'145.5 x 75.3 x 9 mm (5.73 x 2.96 x 0.35 in)',b'104 g (3.67 oz)',b'Dual SIM',"b'TFT capacitive touchscreen, 16M colors'","b'5.0 inches, 68.9 cm2 (~62.9% screen-to-body ratio)'","b'480 x 854 pixels, 16:9 ratio (~196 ppi density)'","b'microSD, up to 64 GB'",,,"b'4 GB, 512 MB RAM'",b'Removable Li-Ion 2000 mAh battery',b'Yes',,b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, LE'","b'Yes, with A-GPS'",b'FM radio',b'microUSB 2.0',"b'Accelerometer, proximity'",,,,,,b'Up to 230 h (3G)',b'Up to 12 h (3G)',"b'Black, Cool Gray'",b'5 MP',b'Yes',,b'HSDPA 900 / 2100 - AM5E3I047',b'HSPA 21.1/5.76 Mbps',b'Panorama',,b'Android 5.1 (Lollipop)',b'Dual-core 1.0 GHz Cortex-A7',,b'1.3 MP',b'',b'Mediatek MT6572M (28 nm)',,,,,b'Mali-400',,,,,,,,,,,,,,,,,,,
